Rowid_,FID,COUNT,AREA,MEAN
,0,566,5.660000000000001,999.660611964788586
,1,1102,11.020000000000001,999.567270822403884
,2,1102,11.020000000000001,999.543398433069115
,3,800,8.000000000000002,999.520154724121085
,4,1103,11.030000000000003,999.574490005064263
,5,1103,11.030000000000003,999.504098375169974
,6,800,8.000000000000002,999.351141662597684
,7,1103,11.030000000000003,999.289779815258839
,8,1303,13.030000000000003,999.311887400020396
,9,1003,10.030000000000001,999.315278225382485
,10,1802,18.020000000000003,999.337746267710372
,11,1600,16.000000000000004,999.248645935058562
,12,1173,11.730000000000002,999.161780888263934
,13,1388,13.880000000000003,999.244128048591733
,14,960,9.600000000000001,999.119827270507813
,15,1069,10.690000000000001,999.044296621495732
,16,960,9.600000000000001,998.987296803792333
,17,958,9.580000000000002,998.959356383640284
,18,842,8.420000000000002,998.886434233386808
,19,794,7.940000000000001,998.791846210470112
,20,1109,11.090000000000002,998.651697955118607
,21,986,9.860000000000001,998.478840856958300
,22,1160,11.600000000000001,998.508463892443388
,23,1077,10.770000000000001,998.583782227922597
,24,1111,11.110000000000003,998.564212225665869
,25,985,9.850000000000001,998.628336671161151
,26,1049,10.490000000000002,998.617656173196906
,27,944,9.440000000000001,998.638081502106274
,28,944,9.440000000000001,998.659297425868203
,29,765,7.650000000000001,998.605823152828862
,30,712,7.120000000000001,998.575852812006246
,31,819,8.190000000000001,998.578477125901486
,32,775,7.750000000000002,998.508971931703627
,33,815,8.150000000000002,998.480912996069833
,34,1022,10.220000000000002,998.437932740452197
,35,1130,11.300000000000002,998.322685039148951
,36,1228,12.280000000000003,998.365678172158141
,37,1227,12.270000000000003,998.406575968523953
,38,1235,12.350000000000003,998.359410484406681
,39,1226,12.260000000000002,998.346775272736522
,40,1987,19.870000000000005,998.251381999353271
,41,1777,17.770000000000003,998.216623627207014
,42,1882,18.820000000000004,998.151372733202265
,43,1985,19.850000000000005,998.068396580309354
,44,1857,18.570000000000004,997.994873079742661
,45,1811,18.110000000000003,997.879721647333099
,46,1434,14.340000000000003,997.803864376647994
,47,1471,14.710000000000003,997.719002356098144
,48,1131,11.310000000000002,997.618453750138201
,49,1246,12.460000000000003,997.412530448999291
,50,892,8.920000000000002,997.180643945531415
,51,488,4.880000000000001,996.888175213923205
,52,441,4.410000000000001,996.814733111669170
,53,934,9.340000000000002,996.796232039719143
,54,1290,12.900000000000002,996.791305754905579
,55,1050,10.500000000000002,996.708135172525999
,56,1118,11.180000000000001,996.656235805777669
,57,1305,13.050000000000002,996.642107709979655
,58,1259,12.590000000000002,996.724462677317092
,59,787,7.870000000000002,996.789110738713021
,60,1120,11.200000000000003,996.781331634521507
,61,1235,12.350000000000003,996.784529194078914
,62,1052,10.520000000000001,996.818853980234849
,63,1051,10.510000000000002,996.911396988452225
,64,790,7.900000000000001,996.888096444818075
,65,1004,10.040000000000003,996.905403228395016
,66,1053,10.530000000000003,996.914902327520281
,67,1090,10.900000000000002,996.930013842101516
,68,998,9.980000000000002,996.902360935249362
,69,884,8.840000000000002,996.894740247079199
,70,1173,11.730000000000002,996.909245665827484
,71,1004,10.040000000000003,996.844788874288042
,72,1169,11.690000000000003,996.753712754457638
,73,1407,14.070000000000002,996.615830714938170
,74,1124,11.240000000000002,996.531211119953809
,75,976,9.760000000000002,996.459306247898780
,76,998,9.980000000000002,996.379459602799329
,77,1219,12.190000000000003,996.301979121270051
,78,1217,12.170000000000002,996.288694483585459
,79,773,7.730000000000001,996.225505873271800
,80,885,8.850000000000001,996.159640520171251
,81,996,9.960000000000003,996.064690647355064
,82,993,9.930000000000001,996.041854320576022
,83,939,9.390000000000002,995.993662678776445
,84,855,8.550000000000002,995.931789822048586
,85,962,9.620000000000001,995.854024399342961
,86,961,9.610000000000001,995.705319471091343
,87,836,8.360000000000001,995.621422580554736
,88,889,8.890000000000002,995.579167540886033
,89,854,8.540000000000001,995.526075448029474
,90,773,7.730000000000001,995.537887750899472
,91,480,4.800000000000001,995.467139307657931
,92,334,3.340000000000001,995.522235619093863
