,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,all_4_harmonics
92,19.04299021,-0.24254603988822127,-6.951767510583705,-0.3277077385207638,-0.48402104145415076,72.56554892229764
91,40.29882796,-1.3149096462356018,-7.045243807446817,-0.7020531980446384,-0.8569546003795457,71.02536355956326
90,46.24730507,-2.381273621455072,-7.010283451985471,-1.0476565171528174,-1.1676829284322838,69.64835662069696
89,50.39761565,-3.4367723913090966,-6.8475237806981974,-1.3503686553543461,-1.393650656428706,68.45290538392868
88,48.96779595,-4.476589957000179,-6.559931945309606,-1.5977965421440874,-1.518455077990245,67.45325176683644
87,51.68813565,-5.495981869468778,-6.152750820812059,-1.7798104507653278,-1.533036800876374,66.65902707024415
86,48.96779595,-6.490296877226168,-5.6334034264721025,-1.8889587104133874,-1.4363373566008366,66.07491119717868
85,56.41238215,-7.454998148948184,-5.0113576022319,-1.9207727785138977,-1.2353760332959953,65.70044168159633
84,62.26789695,-8.385683973995983,-4.297953407490586,-1.8739501833808305,-0.9447403546266003,65.52998264642294
83,59.849463199999995,-9.278107846412098,-3.5061963888312264,-1.7504078475603555,-0.585527190232482,65.55285812848665
82,54.40862665,-10.128197840753165,-2.6505204854772595,-1.5552036087965693,-0.18381136112952412,65.75364827626333
81,57.12896635,-10.93207519135176,-1.7465248947744652,-1.2963291515599866,0.23124709796925333,66.1126409736041
80,54.78002835,-11.686071990234533,-0.8106896947100957,-0.9843828265463302,0.629519628021803,66.60642569979937
79,56.99684075,-12.38674792294499,0.13992459225435266,-0.632135752953796,0.982096138958962,67.20861112764588
78,56.7366938,-13.030905965909302,1.0879880170061942,-0.2540089673625361,1.2633835558927398,67.89064329502469
77,60.0513927,-13.615606973721604,2.0162171333235013,0.13451697519733224,1.4529635874641897,68.62269734608955
76,62.91102629999999,-14.138183089790362,2.9076900796570855,0.5175357769875485,1.537074863318891,69.37461297814458
75,57.3711318,-14.596249919156076,3.7461550691285583,0.8793666032600226,1.5096118542593597,70.11684196452282
74,54.3322767,-14.987717407938627,4.516326663890456,1.205196057473843,1.3725680647469165,70.82137552471599
73,61.626598800000004,-15.31079937977374,5.204164432688707,1.4816846434901596,1.1358913269800348,71.46261990769545
72,61.160255299999996,-15.564021685726056,5.797128911626633,1.6975128861114357,0.816761700565671,72.01819032330233
71,65.7706599,-15.74622893049262,6.284410201898237,1.8438447517260153,0.43834439411653126,72.46959623442196
70,63.908634,-15.856589744206643,6.657125037093818,1.9146893965623712,0.02810823258956468,72.80279490073987
69,65.7706599,-15.894600575787512,6.908478727489001,1.9071464325370124,-0.3841682693438621,73.00859479552884
68,66.94414055,-15.860087990528903,7.033889029030058,1.8215246694833975,-0.7685584913297864,73.08289591927488
67,64.32255635,-15.753209461441536,7.03106967885126,1.6613294724410705,-1.0971600421642442,73.02675990114112
66,58.107836899999995,-15.574452650739959,6.900072074449784,1.4331192515990818,-1.3461201584386295,72.84630888659922
65,64.1768618,-15.324633184751718,6.643284336695783,1.146236960212265,-1.4973671459184124,72.55245832344667
64,64.32255635,-15.004890932401494,6.265387773759203,0.8124275929972333,-1.5399221805552643,72.16049464564527
63,64.32255635,-14.616684804250626,5.773271539627476,0.4453573446687056,-1.470696247186413,71.68951429133588
62,68.60773665,-14.161786095822855,5.175907043011768,0.060054114322175306,-1.2947143671673391,71.16174527280141
61,62.43828185,-13.642270405589109,4.484184396200552,-0.3277077385207638,-1.0247508385427027,70.601776463381
60,64.24650875,-13.060508164487729,3.710713885441067,-0.7020531980446385,-0.6804019662017653,70.03572273419903
59,59.1514709,-12.419153820191791,2.8695960820958812,-1.0476565171528174,-0.28666359134220515,69.4903559560416
58,57.8903618,-11.721133725473196,1.9761647855088866,-1.3503686553543457,0.1278833244532797,68.99223261597167
57,57.8903618,-10.969632785926155,1.0467074837999741,-1.5977965421440874,0.5331473544122736,68.56684836702006
56,54.67426155,-10.168079927973457,0.09816842866187106,-1.7798104507653278,0.8997109044909176,68.23784826121341
55,48.24191581,-9.32013245346167,-0.8521602628161346,-1.8889587104133871,1.200965598642168,68.02631878459913
54,56.762750399999994,-8.429659352231635,-1.7869538480023817,-1.9207727785138977,1.41504374656732,67.95018423254241
53,56.78820225,-7.50072364880523,-2.6891707933492617,-1.8739501833808312,1.526405691194019,68.023725585755
52,53.27248665,-6.537563863736363,-3.5423634460433577,-1.7504078475603553,1.5269678123714843,68.25723505395025
51,52.50149305,-5.544574674213838,-4.330977879053211,-1.5552036087965688,1.4166893064473327,68.65681404922671
50,59.8915245,-4.526286862157308,-5.040637443320426,-1.296329151559987,1.2035751481521564,69.2243167542526
49,57.188864,-3.4873466412985485,-5.658404857862871,-0.9843828265463305,0.9030950197924772,69.95743588558257
