X,Z
0.0,499.79844694589667
0.2,499.79962068060405
0.4,499.8008015166645
0.6000000000000001,499.8019893877346
0.8,499.80318422725054
1.0,499.80438596843146
1.2000000000000002,499.80559454428334
1.4000000000000001,499.8068098876028
1.6,499.8080319309806
1.8,499.8092606068057
2.0,499.8104958472687
2.2,499.81173758436563
2.4000000000000004,499.8129857499016
2.6,499.81424027549457
2.8000000000000003,499.81550109257887
3.0,499.81676813240915
3.2,499.8180413260636
3.4000000000000004,499.8193206044479
3.6,499.8206058982988
3.8000000000000003,499.8218971381878
4.0,499.8231942545244
4.2,499.8244971775602
4.4,499.8258058373921
4.6000000000000005,499.82712016396613
4.800000000000001,499.8284400870807
5.0,499.8297655363905
5.2,499.8310964414097
5.4,499.83243273151584
5.6000000000000005,499.83377433595297
5.800000000000001,499.83512118383544
6.0,499.83647320415116
6.2,499.837830325765
6.4,499.839192477423
6.6000000000000005,499.84055958775434
6.800000000000001,499.84193158527637
7.0,499.84330839839697
7.2,499.8446899554184
7.4,499.8460761845405
7.6000000000000005,499.84746701386405
7.800000000000001,499.8488623713944
8.0,499.85026218504447
8.200000000000001,499.8516663826383
8.4,499.8530748919143
8.6,499.85448764052836
8.8,499.85590455605757
9.0,499.857325566003
9.200000000000001,499.8587505977934
9.4,499.86017957878795
9.600000000000001,499.86161243628004
9.8,499.8630490975
10.0,499.86448948961856
10.200000000000001,499.8659335397497
10.4,499.86738117495446
10.600000000000001,499.8688323222434
10.8,499.8702869085799
11.0,499.8717448608837
11.200000000000001,499.8732061060335
11.4,499.8746705708701
11.600000000000001,499.8761381821996
11.8,499.87760886679666
12.0,499.87908255140684
12.200000000000001,499.8805591627504
12.4,499.8820386275248
12.600000000000001,499.88352087240787
12.8,499.8850058240608
13.0,499.8864934091307
13.200000000000001,499.88798355425445
13.4,499.8894761860604
13.600000000000001,499.890971231172
13.8,499.892468616211
14.0,499.8939682677993
14.200000000000001,499.89547011256286
14.4,499.8969740771334
14.600000000000001,499.89848008815255
14.8,499.8999880722736
15.0,499.90149795616446
15.200000000000001,499.90300966651097
15.4,499.9045231300189
15.600000000000001,499.9060382734173
15.8,499.9075550234609
16.0,499.90907330693256
16.2,499.91059305064687
16.400000000000002,499.91211418145144
16.6,499.9136366262309
16.8,499.9151603119085
17.0,499.9166851654495
17.2,499.9182111138631
17.400000000000002,499.91973808420545
17.6,499.9212660035821
17.8,499.92279479915055
18.0,499.9243243981227
18.2,499.9258547277673
18.400000000000002,499.92738571541287
18.6,499.9289172884497
18.8,499.9304493743326
19.0,499.931981900583
19.200000000000003,499.9335147947918
19.400000000000002,499.93504798462175
19.6,499.9365813978093
19.8,499.9381149621678
20.0,499.9396486055893
20.200000000000003,499.9411822560469
20.400000000000002,499.94271584159765
20.6,499.944249290384
20.8,499.94578253063685
21.0,499.9473154906777
21.200000000000003,499.9488480989203
21.400000000000002,499.9503802838738
21.6,499.9519119741447
21.8,499.9534430984385
22.0,499.9549735855628
22.200000000000003,499.9565033644288
22.400000000000002,499.958032364054
22.6,499.95956051356416
22.8,499.9610877421951
23.0,499.96261397929567
23.200000000000003,499.9641391543289
23.400000000000002,499.9656631968749
23.6,499.9671860366327
23.8,499.9687076034221
24.0,499.97022782718597
24.200000000000003,499.97174663799234
24.400000000000002,499.9732639660365
24.6,499.9747797416426
24.8,499.9762938952663
25.0,499.97780635749626
25.200000000000003,499.9793170590563
25.400000000000002,499.98082593080755
25.6,499.9823329037502
25.8,499.98383790902557
26.0,499.9853408779179
26.200000000000003,499.9868417418564
26.400000000000002,499.98834043241726
26.6,499.98983688132523
26.8,499.9913310204561
27.0,499.99282278183784
27.200000000000003,499.994312097653
27.400000000000002,499.99579890024046
27.6,499.99728312209703
27.8,499.99876469587974
28.0,500.0002435544071
28.200000000000003,500.0017196306615
28.400000000000002,500.00319285779074
28.6,500.00466316910934
28.8,500.0061304981016
29.0,500.0075947784218
29.200000000000003,500.0090559438972
29.400000000000002,500.01051392852906
29.6,500.011968666495
29.8,500.01342009215006
30.0,500.01486814002874
30.200000000000003,500.0163127448471
30.400000000000002,500.01775384150363
30.6,500.0191913650816
30.8,500.0206252508507
31.0,500.0220554342684
31.200000000000003,500.02348185098185
31.400000000000002,500.0249044368294
31.6,500.0263231278425
31.8,500.0277378602472
32.0,500.0291485704656
32.2,500.0305551951179
32.4,500.0319576710238
32.6,500.0333559352038
32.800000000000004,500.0347499248814
33.0,500.0361395774844
33.2,500.0375248306466
33.4,500.0389056222091
33.6,500.0402818902222
33.800000000000004,500.0416535729471
34.0,500.04302060885686
34.2,500.0443829366387
34.4,500.0457404951953
34.6,500.0470932236458
34.800000000000004,500.0484410613283
35.0,500.04978394780073
35.2,500.05112182284284
35.4,500.0524546264572
35.6,500.0537822988711
35.800000000000004,500.0551047805382
36.0,500.0564220121397
36.2,500.05773393458617
36.4,500.05904048901857
36.6,500.06034161681055
36.800000000000004,500.06163725956935
37.0,500.0629273591374
37.2,500.06421185759393
37.4,500.06549069725656
37.6,500.06676382068235
37.800000000000004,500.06803117067005
38.0,500.0692926902608
38.2,500.0705483227401
38.400000000000006,500.07179801163915
38.6,500.0730417007362
38.800000000000004,500.07427933405864
39.0,500.0755108558835
39.2,500.07673621073957
39.400000000000006,500.077955343409
39.6,500.079168198928
39.800000000000004,500.0803747225894
40.0,500.08157485994326
40.2,500.0827685567987
40.400000000000006,500.08395575922526
40.6,500.0851364135543
40.800000000000004,500.08631046638084
41.0,500.0874778645646
41.2,500.0886385552316
41.400000000000006,500.08979248577583
41.6,500.09093960386036
41.800000000000004,500.0920798574191
42.0,500.093213194658
42.2,500.094339564057
42.400000000000006,500.09545891437097
42.6,500.0965711946311
42.800000000000004,500.0976763541473
43.0,500.0987743425085
43.2,500.0998651095848
43.400000000000006,500.10094860552886
43.6,500.1020247807771
43.800000000000004,500.10309358605156
44.0,500.1041549723612
44.2,500.1052088910031
44.400000000000006,500.1062552935645
44.6,500.1072941319239
44.800000000000004,500.1083253582524
45.0,500.10934892501575
45.2,500.1103647849753
45.400000000000006,500.11137289118943
45.6,500.11237319701587
45.800000000000004,500.1133656561122
46.0,500.1143502224377
46.2,500.1153268502551
46.400000000000006,500.1162954941317
46.6,500.1172561089412
46.800000000000004,500.118208649865
47.0,500.1191530723936
47.2,500.12008933232846
47.400000000000006,500.1210173857833
47.6,500.1219371891855
47.800000000000004,500.12284869927765
