X,S,C
0,1.0635200181778917,-0.0
1,1.063513295030003,-0.0
2,1.063499848776725,-0.0
3,1.0634796795030637,-0.0
4,1.063452787336515,-0.0
5,1.0634191724470856,-0.0
6,1.0633788350472742,-0.0
7,1.0633317753920757,-0.0
8,1.0632779937789856,-0.0
9,1.0632174905479825,-0.0
10,1.0631502660815553,-0.0
11,1.0630763208046634,-0.0
12,1.0629956551847588,-0.0
13,1.0629082697317713,-0.0
14,1.062814164998132,-0.0
15,1.0627133415787249,-0.0
16,1.0626058001109087,-0.0
17,1.062491541274536,-0.0
18,1.0623705657918805,-0.0
19,1.0622428744277173,-0.0
20,1.0621084679892654,-0.0
21,1.0619673473261706,-0.0
22,1.0618195133305512,-0.0
23,1.0616649669369593,-0.0
24,1.0615037091223698,-0.0
25,1.061335740906184,-0.0
26,1.0611610633502302,-0.0
27,1.0609796775587768,-0.0
28,1.0607915846784337,-0.0
29,1.060596785898266,-0.0
30,1.0603952824497256,-0.0
31,1.0601870756066205,-0.0
32,1.0599721666851494,-0.0
33,1.059750557043877,-0.0
34,1.0595222480837734,-0.0
35,1.0592872412480432,-0.0
36,1.0590455380223815,-0.0
37,1.0587971399346827,-0.0
38,1.058542048555239,-0.0
39,1.0582802654966486,-0.0
40,1.0580117924137937,-0.0
41,1.0577366310038272,-0.0
42,1.0574547830062428,-0.0
43,1.0571662502027621,-0.0
44,1.0568710344173624,-0.0
45,1.0565691375162842,-0.0
46,1.0562605614080383,-0.0
47,1.0559453080432348,-0.0
48,1.0556233794148469,-0.0
49,1.0552947775579824,-0.0
50,1.0549595045498563,-0.0
51,1.054617562510039,-0.0
52,1.054268953600058,-0.0
53,1.0539136800237188,-0.0
54,1.053551744026933,-0.0
55,1.0531831478976912,-0.0
56,1.052807893966083,-0.0
57,1.0524259846044188,-0.0
58,1.0520374222268387,-0.0
59,1.0516422092897812,-0.0
60,1.0512403482915644,-0.0
61,1.0508318417726485,-0.0
62,1.0504166923153946,-0.0
63,1.0499949025442419,-0.0
64,1.0495664751255447,-0.0
65,1.0491314127677214,-0.0
66,1.048689718220956,-0.0
67,1.048241394277568,-0.0
68,1.0477864437716136,-0.0
69,1.0473248695791284,-0.0
70,1.046856674618013,-0.0
71,1.0463818618479905,-0.0
72,1.045900434270635,-0.0
73,1.0454123949293859,-0.0
74,1.0449177469093485,-0.0
75,1.0444164933375504,-0.0
76,1.0439086373827138,-0.0
77,1.0433941822552981,-0.0
78,1.0428731312074149,-0.0
79,1.042345487533069,-0.0
80,1.0418112545677047,-0.0
81,1.0412704356885598,-0.0
82,1.0407230343145244,-0.0
83,1.0401690539059416,-0.0
84,1.0396084979649771,-0.0
85,1.0390413700351502,-0.0
86,1.0384676737016463,-0.0
87,1.0378874125912034,-0.0
88,1.0373005903718848,-0.0
89,1.036707210753434,-0.0
90,1.03610727748692,-0.0
91,1.0355007943648786,-0.0
92,1.034887765221299,-0.0
93,1.0342681939314815,-0.0
94,1.033642084412051,-0.0
95,1.0330094406211003,-0.0
96,1.0323702665579049,-0.0
97,1.031724566263108,-0.0
98,1.0310723438185505,-0.0
99,1.0304136033472702,-0.0
100,1.029748349013616,-0.0
101,1.0290765850230628,-0.0
102,1.0283983156221979,-0.0
103,1.027713545098905,-0.0
104,1.0270222777817395,-0.0
105,1.0263245180408802,-0.0
106,1.025620270287149,-0.0
107,1.024909538972679,-0.0
108,1.024192328590189,-0.0
109,1.0234686436738372,-0.0
110,1.0227384887982112,-0.0
111,1.022001868579352,-0.0
112,1.0212587876736308,-0.0
113,1.0205092507786162,-0.0
114,1.0197532626326193,-0.0
115,1.0189908280146511,-0.0
116,1.0182219517444224,-0.0
117,1.0174466386825998,-0.0
118,1.0166648937303506,-0.0
119,1.0158767218295992,-0.0
120,1.0150821279627706,-0.0
121,1.01428111715299,-0.0
122,1.01347369446394,-0.0
123,1.012659864999904,-0.0
124,1.0118396339053959,-0.0
125,1.011013006365829,-0.0
126,1.0101799876066195,-0.0
127,1.009340582893799,-0.0
128,1.0084947975338991,-0.0
129,1.0076426368734417,-0.0
130,1.0067841062996195,-0.0
131,1.0059192112395579,-0.0
132,1.0050479571608832,-0.0
133,1.0041703495712682,-0.0
134,1.0032863940186587,-0.0
135,1.0023960960909903,-0.0
136,1.0014994614164152,-0.0
137,1.0005964956630748,-0.0
138,0.9996872045391854,-0.0
139,0.9987715937929238,-0.0
140,0.9978496692123713,-0.0
141,0.9969214366255983,-0.0
142,0.9959869019004657,-0.0
143,0.9950460709448805,-0.0
144,0.9940989497061992,-0.0
145,0.9931455441718811,-0.0
146,0.9921858603689202,-0.0
147,0.9912199043640726,-0.0
148,0.9902476822637425,-0.0
149,0.9892692002138119,-0.0
150,0.988284464400067,-0.0
151,0.9872934810474021,-0.0
152,0.9862962564205588,-0.0
153,0.9852927968235292,-0.0
154,0.9842831085997545,-0.0
155,0.9832671981321823,-0.0
156,0.9822450718428684,-0.0
157,0.981216736193403,-0.0
158,0.9801821976843996,-0.0
159,0.9791414628558925,-0.0
160,0.978094538286939,-0.0
161,0.97704143059579,-0.0
162,0.975982146439776,-0.0
163,0.9749166925152508,-0.0
164,0.9738450755576196,-0.0
165,0.9727673023411967,-0.0
166,0.9716833796791491,-0.0
167,0.9705933144238088,-0.0
168,0.9694971134659056,-0.0
169,0.9683947837353344,-0.0
170,0.9672863322005298,-0.0
171,0.9661717658686655,-0.0
172,0.9650510917856536,-0.0
173,0.9639243170358327,-0.0
174,0.9627914487423084,-0.0
175,0.961652494066584,-0.0
176,0.9605074602087029,-0.0
177,0.959356354407106,-0.0
178,0.9581991839385466,-0.0
179,0.9570359561182897,-0.0
180,0.9558666782997989,-0.0
181,0.9546913578747649,-0.0
182,0.9535100022729637,-0.0
183,0.9523226189626541,-0.0
184,0.951129215449896,-0.0
185,0.9499297992789195,-0.0
186,0.948724378031983,-0.0
187,0.9475129593291456,-0.0
188,0.9462955508287223,-0.0
189,0.9450721602265162,-0.0
190,0.9438427952563586,-0.0
191,0.9426074636898534,-0.0
192,0.941366173336263,-0.0
193,0.9401189320424237,-0.0
194,0.9388657476930291,-0.0
195,0.9376066282101192,-0.0
196,0.9363415815533926,-0.0
197,0.9350706157200079,-0.0
198,0.9337937387442992,-0.0
199,0.9325109586984297,-0.0
200,0.9312222836914827,-0.0
201,0.9299277218700013,-0.0
202,0.9286272814176186,-0.0
203,0.9273209705552006,-0.0
204,0.9260087975408453,-0.0
205,0.9246907706694287,-0.0
206,0.9233668982731729,-0.0
207,0.9220371887209069,-0.0
208,0.9207016504184367,-0.0
209,0.9193602918088004,-0.0
210,0.9180131213712741,-0.0
211,0.9166601476223093,-0.0
212,0.9153013791147373,-0.0
213,0.9139368244381103,-0.0
214,0.912566492218815,-0.0
215,0.9111903911193053,-0.0
216,0.909808529838898,-0.0
217,0.9084209171130908,-0.0
218,0.9070275617137895,-0.0
219,0.9056284724493082,-0.0
220,0.9042236581641134,-0.0
221,0.9028131277388525,-0.0
222,0.9013968900903251,-0.0
223,0.8999749541713982,-0.0
224,0.898547328971091,-0.0
225,0.8971140235142059,-0.0
226,0.89567504686147,-0.0
227,0.8942304081095926,-0.0
228,0.8927801163910374,-0.0
229,0.8913241808738803,-0.0
230,0.889862610761952,-0.0
231,0.8883954152948377,-0.0
232,0.886922603747422,-0.0
233,0.8854441854303445,-0.0
234,0.883960169689459,-0.0
235,0.8824705659062033,-0.0
236,0.8809753834972582,-0.0
237,0.8794746319144906,-0.0
238,0.8779683206451239,-0.0
239,0.8764564592114823,-0.0
240,0.8749390571708204,-0.0
241,0.8734161241157494,-0.0
242,0.871887669673356,-0.0
243,0.8703537035061686,-0.0
244,0.8688142353112767,-0.0
245,0.8672692748203872,-0.0
246,0.8657188318004216,-0.0
247,0.8641629160523223,-0.0
248,0.8626015374122744,-0.0
249,0.8610347057505408,-0.0
250,0.8594624309719734,-0.0
251,0.8578847230159283,-0.0
252,0.8563015918560382,-0.0
253,0.854713047500212,-0.0
254,0.8531190999906073,-0.0
255,0.8515197594034589,-0.0
256,0.8499150358491931,-0.0
257,0.8483049394723139,-0.0
258,0.8466894804511185,-0.0
259,0.8450686689978966,-0.0
260,0.8434425153587313,-0.0
261,0.841811029813698,-0.0
262,0.8401742226761826,-0.0
263,0.8385321042933924,-0.0
264,0.8368846850464138,-0.0
265,0.8352319753493589,-0.0
266,0.833573985650105,-0.0
267,0.8319107264296122,-0.0
268,0.8302422082026055,-0.0
269,0.828568441516552,-0.0
270,0.8268894369525697,-0.0
271,0.8252052051244618,-0.0
272,0.8235157566792282,-0.0
273,0.8218211022971786,-0.0
274,0.8201212526908535,-0.0
275,0.8184162186063304,-0.0
276,0.8167060108220312,-0.0
277,0.8149906401492331,-0.0
278,0.8132701174316708,-0.0
279,0.8115444535460483,-0.0
280,0.8098136594012431,-0.0
281,0.8080777459384763,-0.0
282,0.8063367241317678,-0.0
283,0.8045906049869131,-0.0
284,0.8028393995422789,-0.0
285,0.8010831188683483,-0.0
286,0.7993217740675505,-0.0
287,0.7975553762744312,-0.0
288,0.7957839366553685,-0.0
289,0.7940074664089138,-0.0
290,0.7922259767649393,-0.0
291,0.7904394789853768,-0.0
292,0.7886479843639904,-0.0
293,0.7868515042254671,-0.0
294,0.785050049926781,-0.0
295,0.7832436328558856,-0.0
296,0.781432264432226,-0.0
297,0.7796159561065679,-0.0
298,0.777794719360827,-0.0
299,0.7759685657081832,-0.0
300,0.7741375066928526,-0.0
301,0.7723015538900881,-0.0
302,0.7704607189060084,-0.0
303,0.7686150133775413,-0.0
304,0.7667644489725944,-0.0
305,0.7649090373898844,-0.0
306,0.763048790358198,-0.0
307,0.7611837196375291,-0.0
308,0.7593138370180554,-0.0
309,0.7574391543203092,-0.0
310,0.7555596833955747,-0.0
311,0.7536754361247517,-0.0
312,0.7517864244195493,-0.0
313,0.7498926602215192,-0.0
314,0.7479941555021696,-0.0
315,0.7460909222630789,-0.0
316,0.7441829725360094,-0.0
317,0.7422703183818271,-0.0
318,0.7403529718918662,-0.0
319,0.7384309451866784,-0.0
320,0.736504250416715,-0.0
321,0.7345728997615879,-0.0
322,0.7326369054306383,-0.0
323,0.7306962796623679,-0.0
324,0.7287510347246666,-0.0
325,0.7268011829146417,-0.0
326,0.7248467365585043,-0.0
327,0.7228877080111147,-0.0
328,0.7209241096572896,-0.0
329,0.7189559539096422,-0.0
330,0.7169832532102873,-0.0
331,0.7150060200297048,-0.0
332,0.7130242668672508,-0.0
333,0.7110380062507602,-0.0
334,0.7090472507365462,-0.0
335,0.7070520129095144,-0.0
336,0.7050523053825373,-0.0
337,0.7030481407971934,-0.0
338,0.7010395318228007,-0.0
339,0.6990264911570421,-0.0
340,0.6970090315256812,-0.0
341,0.6949871656821642,-0.0
342,0.6929609064080751,-0.0
343,0.6909302665121118,-0.0
344,0.6888952588319626,-0.0
345,0.6868558962314069,-0.0
346,0.6848121916029868,-0.0
347,0.682764157865904,-0.0
348,0.6807118079670431,-0.0
349,0.6786551548807438,-0.0
350,0.6765942116080055,-0.0
351,0.6745289911774535,-0.0
352,0.6724595066448273,-0.0
353,0.6703857710921284,-0.0
354,0.66830779762887,-0.0
355,0.6662255993913391,-0.0
356,0.6641391895421975,-0.0
357,0.6620485812709376,-0.0
358,0.659953787793313,-0.0
359,0.6578548223523057,-0.0
