X,S,C
0,1.062954620003453,-0.0
1,1.0629479004297853,-0.0
2,1.062934461324927,-0.0
3,1.0629143027738377,-0.0
4,1.0628874249039466,-0.0
5,1.0628538278851716,-0.0
6,1.0628135119298934,-0.0
7,1.0627664772929775,-0.0
8,1.062712724271755,-0.0
9,1.0626522532060338,-0.0
10,1.0625850644780854,-0.0
11,1.0625111585126508,-0.0
12,1.0624305357769384,-0.0
13,1.0623431967806027,-0.0
14,1.062249142075773,-0.0
15,1.0621483722570275,-0.0
16,1.0620408879613876,-0.0
17,1.0619266898683293,-0.0
18,1.061805778699764,-0.0
19,1.06167815522004,-0.0
20,1.0615438202359648,-0.0
21,1.061402774596715,-0.0
22,1.0612550191939505,-0.0
23,1.0611005549617154,-0.0
24,1.060939382876466,-0.0
25,1.0607715039570742,-0.0
26,1.0605969192647926,-0.0
27,1.0604156299032965,-0.0
28,1.0602276370186026,-0.0
29,1.060032941799129,-0.0
30,1.059831545475685,-0.0
31,1.0596234493213856,-0.0
32,1.0594086546517545,-0.0
33,1.059187162824621,-0.0
34,1.0589589752401878,-0.0
35,1.0587240933409348,-0.0
36,1.0584825186117328,-0.0
37,1.0582342525796875,-0.0
38,1.0579792968142385,-0.0
39,1.0577176529271313,-0.0
40,1.0574493225723742,-0.0
41,1.0571743074462248,-0.0
42,1.0568926092872317,-0.0
43,1.0566042298761786,-0.0
44,1.0563091710360837,-0.0
45,1.0560074346321784,-0.0
46,1.0556990225719574,-0.0
47,1.0553839368050077,-0.0
48,1.0550621793232509,-0.0
49,1.0547337521606934,-0.0
50,1.054398657393449,-0.0
51,1.054056897139965,-0.0
52,1.0537084735606186,-0.0
53,1.0533533888580493,-0.0
54,1.0529916452769612,-0.0
55,1.0526232451041366,-0.0
56,1.0522481906684504,-0.0
57,1.0518664843408985,-0.0
58,1.0514781285343844,-0.0
59,1.051083125704011,-0.0
60,1.0506814783468101,-0.0
61,1.050273189001814,-0.0
62,1.0498582602501045,-0.0
63,1.0494366947146432,-0.0
64,1.0490084950604484,-0.0
65,1.0485736639944037,-0.0
66,1.0481322042653147,-0.0
67,1.0476841186639803,-0.0
68,1.0472294100229504,-0.0
69,1.046768081216726,-0.0
70,1.0463001351616583,-0.0
71,1.045825574815936,-0.0
72,1.0453444031794845,-0.0
73,1.044856623294109,-0.0
74,1.0443622382433801,-0.0
75,1.0438612511525491,-0.0
76,1.0433536651887039,-0.0
77,1.0428394835605985,-0.0
78,1.042318709518625,-0.0
79,1.0417913463549695,-0.0
80,1.0412573974034132,-0.0
81,1.0407168660393182,-0.0
82,1.0401697556797558,-0.0
83,1.0396160697832642,-0.0
84,1.0390558118501616,-0.0
85,1.0384889854220347,-0.0
86,1.0379155940821931,-0.0
87,1.0373356414554138,-0.0
88,1.036749131207884,-0.0
89,1.0361560670472727,-0.0
90,1.0355564527227443,-0.0
91,1.0349502920247744,-0.0
92,1.0343375887853057,-0.0
93,1.033718346877606,-0.0
94,1.033092570216212,-0.0
95,1.032460262757084,-0.0
96,1.0318214284974374,-0.0
97,1.0311760714756844,-0.0
98,1.030524195771548,-0.0
99,1.029865805505878,-0.0
100,1.0292009048407493,-0.0
101,1.0285294979794912,-0.0
102,1.0278515891663744,-0.0
103,1.0271671826869806,-0.0
104,1.026476282867634,-0.0
105,1.0257788940761543,-0.0
106,1.025075020721033,-0.0
107,1.0243646672519873,-0.0
108,1.0236478381593912,-0.0
109,1.0229245379749727,-0.0
110,1.0221947712709607,-0.0
111,1.0214585426607954,-0.0
112,1.0207158567985033,-0.0
113,1.0199667183791092,-0.0
114,1.019211132138409,-0.0
115,1.0184491028528129,-0.0
116,1.0176806353396017,-0.0
117,1.0169057344567847,-0.0
118,1.0161244051028575,-0.0
119,1.015336652217215,-0.0
120,1.0145424807795962,-0.0
121,1.013741895810469,-0.0
122,1.0129349023708016,-0.0
123,1.0121215055621633,-0.0
124,1.0113017105263964,-0.0
125,1.0104755224460575,-0.0
126,1.0096429465438064,-0.0
127,1.0088039880830308,-0.0
128,1.0079586523671367,-0.0
129,1.0071069447401158,-0.0
130,1.0062488705860915,-0.0
131,1.0053844353294608,-0.0
132,1.0045136444347236,-0.0
133,1.0036365034068808,-0.0
134,1.0027530177907238,-0.0
135,1.0018631931713742,-0.0
136,1.0009670351738293,-0.0
137,1.0000645494633602,-0.0
138,0.9991557417450565,-0.0
139,0.9982406177641394,-0.0
140,0.99731918330545,-0.0
141,0.9963914441941597,-0.0
142,0.9954574062948609,-0.0
143,0.9945170755123911,-0.0
144,0.9935704577908666,-0.0
145,0.9926175591147057,-0.0
146,0.9916583855075487,-0.0
147,0.9906929430329967,-0.0
148,0.989721237794214,-0.0
149,0.9887432759338424,-0.0
150,0.987759063634229,-0.0
151,0.9867686071171988,-0.0
152,0.9857719126439406,-0.0
153,0.9847689865152063,-0.0
154,0.9837598350710834,-0.0
155,0.9827444646910521,-0.0
156,0.981722881793786,-0.0
157,0.9806950928374931,-0.0
158,0.9796611043192343,-0.0
159,0.9786209227756331,-0.0
160,0.977574554782251,-0.0
161,0.9765220069537577,-0.0
162,0.9754632859440164,-0.0
163,0.9743983984457998,-0.0
164,0.9733273511908749,-0.0
165,0.9722501509500603,-0.0
166,0.9711668045328565,-0.0
167,0.970077318787844,-0.0
168,0.9689817006023134,-0.0
169,0.9678799569022942,-0.0
170,0.9667720946525264,-0.0
171,0.965658120856574,-0.0
172,0.9645380425564554,-0.0
173,0.9634118668328711,-0.0
174,0.9622796008051182,-0.0
175,0.9611412516308064,-0.0
176,0.9599968265062557,-0.0
177,0.958846332665928,-0.0
178,0.9576897773828819,-0.0
179,0.9565271679683747,-0.0
180,0.9553585117719763,-0.0
181,0.9541838161814269,-0.0
182,0.9530030886226655,-0.0
183,0.9518163365598298,-0.0
184,0.9506235674951142,-0.0
185,0.9494247889686562,-0.0
186,0.9482200085586783,-0.0
187,0.9470092338813174,-0.0
188,0.9457924725906253,-0.0
189,0.9445697323784543,-0.0
190,0.9433410209744864,-0.0
191,0.9421063461461472,-0.0
192,0.9408657156986351,-0.0
193,0.9396191374745229,-0.0
194,0.9383666193543831,-0.0
195,0.9371081692559926,-0.0
196,0.9358437951349003,-0.0
197,0.9345735049838879,-0.0
198,0.9332973068331682,-0.0
199,0.9320152087504425,-0.0
200,0.9307272188405875,-0.0
201,0.9294333452458261,-0.0
202,0.9281335961454431,-0.0
203,0.9268279797558705,-0.0
204,0.925516504330858,-0.0
205,0.9241991781608476,-0.0
206,0.9228760095736845,-0.0
