,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_108,harmonic_109,harmonic_110,harmonic_111,harmonic_112,harmonic_113,harmonic_114,all_8_harmonics
0,3.208,-0.750902332667435,0.7955399209662198,-0.4844016324810877,0.05074991555591939,-0.1639281090154606,0.1526534392229408,-0.04921384043041562,0.06071909011217836,0.038136095470897316,0.1526534392229408,-0.16392810901546054,0.05074991555591943,-0.48440163248108775,0.7955399209662198,-0.7509023326674349,0.0,-0.7509362516851462
1,2.455,-0.768259817236609,0.7944742233402224,-0.486203248342287,0.00541153407938947,-0.13791350857284643,0.027365025154230227,0.016688116540970518,-0.007416640581187427,0.15738895612343287,0.027365025154230227,-0.13791350857284634,0.005411534079389478,-0.48620324834228706,0.7944742233402224,-0.7682598172366089,0.0,-0.9635911510725845
2,2.984,-0.7832841219909487,0.7837646848661785,-0.4747425070259838,-0.04018880479765274,-0.10149140320459059,-0.10088881400205578,0.08013672236681242,-0.07413367414801254,0.23870281580980074,-0.1008888140020558,-0.1014914032045905,-0.04018880479765276,-0.4747425070259838,0.7837646848661785,-0.7832841219909487,0.0,-1.1889560682815055
3,2.782,-0.7959296186107131,0.7635413048336376,-0.450332027679364,-0.0838437147667288,-0.05741035064767604,-0.21820978470997573,0.13180427913681228,-0.12666999754796465,0.2624767655641613,-0.2182097847099757,-0.05741035064767596,-0.08384371476672882,-0.450332027679364,0.7635413048336375,-0.7959296186107129,0.0,-1.4167573360086312
4,2.43,-0.8061579031382831,0.7340495676808781,-0.41363766454563283,-0.12343998235318823,-0.008996883424993595,-0.3118843393709014,0.1640950429407481,-0.15497616450808024,0.2229800354207176,-0.3118843393709014,-0.00899688342499356,-0.12343998235318825,-0.41363766454563283,0.7340495676808779,-0.806157903138283,0.0,-1.6280354964508568
5,2.017,-0.8139379126097173,0.6956474631463689,-0.3656603441960128,-0.15706086173694228,0.04009552460290795,-0.37176138647684553,0.17226188835111023,-0.1536376106726917,0.12973341082706727,-0.3717613864768454,0.04009552460290798,-0.15706086173694234,-0.3656603441960128,0.6956474631463689,-0.8139379126097173,0.0,-1.796997346034996
6,1.898,-0.8192460193919544,0.6488011407582893,-0.3077087628621017,-0.183078859117324,0.08616216398697477,-0.3913523188857659,0.1551041921882963,-0.12291038222055022,0.005214223533069198,-0.3913523188857659,0.0861621639869748,-0.18307885911732402,-0.3077087628621018,0.6488011407582893,-0.8192460193919542,0.0,-1.8954372775229487
7,1.88,-0.8220661029391556,0.5940792514107206,-0.241363688614191,-0.20023451518754304,0.1257266618812199,-0.36853415508651904,0.1151443393740916,-0.06867215789777,-0.12056186536655221,-0.36853415508651904,0.12572666188121992,-0.2002345151875431,-0.24136368861419102,0.5940792514107206,-0.8220661029391554,0.0,-1.898874780961167
8,1.884,-0.8223895987502753,0.5321460447121065,-0.16843484212906276,-0.20769737207700167,0.1558033230410227,-0.305779597187045,0.05825690241863086,-0.001297933250255759,-0.2172762155058159,-0.30577959718704484,0.15580332304102265,-0.2076973720770017,-0.1684348421290627,0.5321460447121065,-0.8223895987502752,0.0,-1.7930213311179515
9,2.229,-0.8202155243791671,0.46375330589482316,-0.09091153222751723,-0.2051061735203825,0.17412244232722224,-0.2098890752730449,-0.007194990443745347,0.06632456743981746,-0.2616155912311467,-0.20988907527304487,0.17412244232722218,-0.20510617352038252,-0.09091153222751719,0.46375330589482305,-0.8202155243791667,0.0,-1.5789791285912067
