,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_89,harmonic_92,harmonic_93,all_6_harmonics
92,9.124751758,0.08309242469842215,-0.6731558657251936,0.00600541118869527,-0.0075953016304259125,0.08309242469842204,0.0,6.6239024979525585
91,9.072158457,0.19006032183444127,-0.6388631716692897,0.04453573422206477,0.03376283380191996,0.19006032183444144,0.0,6.976455831158537
90,8.627364091,0.2961610173141922,-0.5929238335361633,0.08124275906365636,0.07267016860768258,0.296161017314192,0.0,7.365792901663691
89,8.82015,0.40091039799947126,-0.5361753375734278,0.11462369580356298,0.10630246945739465,0.4009103979994711,0.0,7.779633771574269
88,8.568156661,0.5038305164915443,-0.46965222382612715,0.14331192496955933,0.13221841094337597,0.5038305164915444,0.0,8.20468509325139
87,8.82015,0.6044517718955049,-0.3945672261989236,0.16613294708886572,0.14853678824718727,0.6044517718955047,0.0,8.627842841754116
86,9.072158457,0.7023150525014503,-0.31228916399723766,0.1821524668345615,0.15407307137482282,0.7023150525014502,0.0,9.037341672451456
85,10.83618856,0.7969738306059114,-0.22431798799037542,0.19071464318604425,0.1484253886635616,0.7969738306059114,0.0,9.423725646677777
84,10.33218678,0.8879961999153481,-0.1322574359134914,0.19146893963747122,0.13200369812844193,0.887996199915348,0.0,9.780535788497325
83,10.58417953,0.9749668462355053,-0.03778579590579794,0.18438447520349496,0.10600002913788543,0.9749668462355051,0.0,10.104642383489375
82,11.34020548,1.0574889424548237,0.05737468912475002,0.1697512886904317,0.07230195453691478,1.0574889424548237,0.0,10.396190430126165
81,11.34020548,1.1351859591755338,0.15148921844379368,0.14816846447345258,0.033355574165111965,1.1351859591755336,0.0,10.658170621574135
80,11.088197599999999,1.2077033827309382,0.24284205936539624,0.12051960591187498,-0.00801204438069896,1.2077033827309382,0.0,10.895670696291406
79,11.34020548,1.2747103327499603,0.3297678255113181,0.08793666052381278,-0.04879807894266454,1.2747103327499603,0.0,11.11489814754889
