,raw_series,harmonic_1,harmonic_3,harmonic_4,harmonic_6,harmonic_8,harmonic_10,harmonic_13,harmonic_14,harmonic_16,harmonic_18,harmonic_20,harmonic_22,harmonic_24,harmonic_27,harmonic_29,harmonic_31,harmonic_32,harmonic_34,harmonic_36,harmonic_37,harmonic_40,harmonic_41,harmonic_43,harmonic_45,all_24_harmonics
92,-0.09,-0.010985557573470622,-0.009724889215961458,0.01681754990398495,0.019074742198669333,0.008380199725172928,0.007379137218072642,-0.0077411951066329605,-0.0026764469824973585,-0.0023003217804562063,-0.006097038257736718,0.005218980277311008,0.001905061828313519,0.00018464257299777957,-6.860832043317449e-05,-0.0010796507154761448,-0.0032795698924731184,-0.002761502901951215,-7.321246410936496e-05,0.0027688541943318027,0.0011811874681527564,-0.0020882545267801858,0.00045650140816448235,0.0021380138842524597,-0.00029448395510610164,-0.07783710850101985
91,-0.13,-0.009681848594141255,0.012252809495877436,0.008523516951491594,0.013872053800980295,0.0134054190625357,0.005743438229039886,-0.010439960558360701,-0.007031159898383149,0.0031291396192211223,-0.0011667482323004816,-0.00022681362384831293,-0.0025063019741778684,0.0012052157159828593,-0.0015980501855107111,0.0009254191684873925,0.0028494623655913993,-0.0005235994128059185,0.0007359856572487562,-0.0030535944483081035,-0.0013902136423105073,0.0009391986584544866,-0.0013048093280906942,-0.0020419439523157294,0.00038933488184886696,-0.08443805961071037
90,-0.11,-0.008333963560306981,0.03372887674731113,-0.000389227120096891,0.006420922208584575,0.01460894475081327,0.0015843572527709598,-0.005589894175963916,-0.0055506991325277345,0.005244626130116184,0.005286602678085987,-0.005317786442477257,-0.002327880315008901,-0.0003067289215695513,0.0008697189717827301,0.00037859223275150413,0.0004301075268817191,0.003345132425217778,-0.0009043157412766308,0.0018650249877949676,0.0010459378299212158,0.00038808986486579534,0.0019750174774249662,0.0018322293265168237,-0.0004801907058495898,-0.07046253180713567
89,-0.09,-0.00694805256222609,0.05382407982173516,-0.009273717696276398,-0.002070940558211055,0.011647668793310802,-0.0032708117449160266,0.0033020621033358465,0.0005362979604047622,0.001805691486552639,0.004838877991905997,-0.0020897583555564204,0.002113583601794629,-0.0011741445861102745,0.0011620556602491272,-0.0012122246565322615,-0.0032795698924731184,-0.003205048853109985,0.0004651167487097752,0.00022338873127919357,-0.0002853810507171464,-0.0016417301920681826,-0.0023756458865843507,-0.00152054170549385,0.0005661191234064489,-0.03662555180594259
88,0.01,-0.0055304391939100805,0.0717157187441965,-0.017485041047390272,-0.010227136215322999,0.005365808701408006,-0.00668894823496145,0.009806393315991502,0.006178220301894757,-0.003545595104033601,-0.0019254671891576894,0.004407431033779474,0.0026844463749738515,0.0004256678163354708,-0.0014522633595167762,0.0005397379762704026,0.0028494623655913993,0.000227371837463628,0.0002865526963270155,-0.002204021016547218,-0.0005887567619907013,0.0025838177627977407,0.00245201083571201,0.001124228110075473,-0.0006462383926755834,0.026986880255433637
87,-0.02,-0.004087591700014571,0.08667130771503126,-0.024427147785758187,-0.016725672872939405,-0.0024457668690423297,-0.007168292521355287,0.009220006740214589,0.006692825241044692,-0.00514185169583653,-0.0061763277298556305,0.004009754832371694,-0.0016607117748657651,0.0011310251439127115,-0.00043402868311025395,0.0008033419581854403,0.0004301075268817191,0.0029516090786228283,-0.0008457129467881161,0.003121248966502454,0.001228570672178752,-0.0030355716903304264,-0.0021936889015321437,-0.0006653454322609378,0.0007197263815355982,0.04068076836939005
86,-0.12,-0.0026260934627225082,0.09807856316456641,-0.029596119323147395,-0.0205132392670615,-0.009560089211752536,-0.004498244491458566,0.001966901453931042,0.0016530411081984336,-0.0012925323545060524,-0.0023646749385822794,-0.0026606730942809074,-0.0029646119921741803,-0.0005402387832851994,0.0016698441365057821,-0.0011483159196418009,-0.0032795698924731184,-0.0035173797276451817,0.000836714110577715,-0.0025325249960132137,-0.0013794161441056344,0.0029112621866351574,0.0016359397010829156,0.00016943285562075628,-0.0007858290037756519,0.019106219557459347
85,-0.14,-0.0011526129632812127,0.1054704707144023,-0.032616746672156374,-0.020975930059262637,-0.013948966564283398,0.0001481091364576805,-0.006708413066479333,-0.00475860515106795,0.003925667985121927,0.004533799674975373,-0.005168816183036979,0.001160575410977991,-0.001076299853217046,-0.0004030726394748481,6.657369055616955e-05,0.0028494623655913993,0.0009690344579923572,-0.00026560170299958646,0.0007218988567926531,0.000981257010135951,-0.002234479588735118,-0.0008548931351163385,0.00033590953175706943,0.0008438679570404211,-0.004573686430070938
84,-0.07,0.00032612664474806563,0.1085444048009365,-0.0332697663834237,-0.018038750300856516,-0.01436119263263276,0.004729390953347435,-0.010533069212309815,-0.007221075464883989,0.00498631490512053,0.00551389982351245,0.00040899659958902796,0.003160403538452857,0.0006492661692585431,-0.0014677817809686281,0.0010978825030021019,0.0004301075268817191,0.002437246509549719,-0.00048394479568208976,0.0014370317533050829,-0.00019255973404367136,0.001133657597202617,-4.284195228167168e-05,-0.0008225568242677584,-0.0008932476831301573,0.022600299235866744
83,-0.02,0.0018033782116978112,0.10717451820149429,-0.031507776597054116,-0.012177770942415128,-0.010679247648112384,0.00723281287754542,-0.006741569364404777,-0.0036907607879550944,0.0007661100914264999,-0.0007037869302433694,0.00534698619278231,-0.0006274085957885719,0.0010105302695609657,0.0011388790798808508,-0.000898283112593142,-0.0032795698924731184,-0.003685708662856016,0.0009083719566991267,-0.002902617887568042,-0.0006727758946965223,0.0001822997137698588,0.0009347293332686293,0.0012634245945872822,0.0009334614792337343,0.03433688083552004
82,0.05,0.0032724013774906614,0.10141689423441173,-0.027458677882585193,-0.004342965170451955,-0.003952801576128109,0.006558495439985021,0.001924563212761108,0.002902523658788074,-0.004265458200405351,-0.006002757619026559,0.001920295582872747,-0.0032662487062515293,-0.0007516312057377895,0.0008968559303513945,-0.0004173811503004424,0.0028494623655913993,0.0016710246939541649,-0.0007225450318159225,0.002967738045226201,0.0012703481900127388,-0.0014636618284039774,-0.001699030961887998,-0.0016339762814966895,-0.000964096697385168,0.06699489077160276
81,0.0,0.004726493326356465,0.09150725070139323,-0.02141638910135236,0.004195767404452301,0.0039005318097933167,0.003002700288787698,0.00919910010658494,0.007086997907901398,-0.004779611775915837,-0.0034657915750410102,-0.004510453363271883,7.638547512050646e-05,-0.0009343912778732487,-0.0015884774999085061,0.0012144734465644655,0.0004301075268817191,0.001823102782011339,5.130455507134761e-05,-0.0016009728081115685,-0.001362324686418289,0.002467263395424082,0.002231423591984463,0.001913588775840034,0.0009848389787901514,0.004143550267619373
80,-0.04,0.006159019370243284,0.07785128957301427,-0.013819512214847392,0.012054431634577917,0.010641879246151875,-0.001872332489704929,0.009822035268611555,0.00538995839934143,-0.00023182650209631773,0.0035953823804724255,-0.003885171380122698,0.003279135098764767,0.000846283488926635,-0.00010054411477525708,-0.0005026526470862053,-0.0032795698924731184,-0.0037031442523571445,0.0006544028755754094,-0.0005382358004963219,0.0009120989396746827,-0.003002649956408067,-0.0024592383644046582,-0.00208670020272665,-0.0009954754795726776,-0.034891272074026314
79,0.09,0.007563443221377232,0.06100808750237798,-0.005219494733156456,0.01795926082602251,0.014349378793113883,-0.005924755206031315,0.0033429424012112927,-0.0007802183798912543,0.004561479042465437,0.005963181948488587,0.002817967353964459,0.00047681160743944027,0.0008486641672411288,0.0016388807738527654,-0.0008336850275394277,0.0028494623655913993,0.002304602982608424,-0.0009204753904813287,0.00241775437921285,-9.885981146928263e-05,0.00296822067605489,0.0023513797329779706,0.0021436760199888814,0.000995897054841233,-0.007477260664540143
78,0.01,0.008933356815844446,0.04166720716124841,0.003759399149654002,0.020953174419419244,0.013966075244242775,-0.0073741342454724775,-0.005553334887225804,-0.006302890363023495,0.004523863362042116,0.0005467064482865673,0.0051127543757328656,-0.0031986959639863383,-0.000932251758314558,-0.0007210351172973971,0.0011342172184494186,0.0004301075268817191,0.0011343210123719325,0.0005681626020220249,-0.003130745747311311,-0.0007537253053028177,-0.002370509232827207,-0.0019225698468337007,-0.002081345230057002,-0.0009860993786630797,-0.03281837466287471
77,-0.02,0.010262509552116944,0.020620466463248388,0.012465403089469668,0.020550905795910495,0.009601242970713304,-0.0055836843210706295,-0.010434157237121733,-0.006594781010394565,-0.00030483594085675334,-0.005583433905980467,-0.000590712902790183,-0.001016438436459106,-0.000754228613827007,-0.0012774222178566531,-2.5550040549768747e-05,-0.0032795698924731184,-0.003568972681065796,0.00016584795548729353,0.002333203152503888,0.0013063294004229385,0.001322943916350579,0.001231339052671318,0.0019031768622997957,0.0009661829884541793,-0.04562658275984013
76,-0.03,0.011544836811113771,-0.001270478554558964,0.02026655947171604,0.016817656414627603,0.0024992333576819726,-0.0013400403556913468,-0.007770343965691783,-0.0014136496891498894,-0.004810692936882447,-0.004425018297204345,-0.0053700849348440535,0.0030272206326214354,0.0010086538631239824,0.0013614133446360394,-0.0011148615866759261,0.0028494623655913993,0.0028438305543753415,-0.0007884400662602108,-0.00040992794039819164,-0.0013390172536497998,-2.43222291077219e-05,-0.0003720368031013024,-0.0016190869036799454,-0.0009363522533292575,-0.0480076936922501
75,-0.01,0.012774487627666897,-0.023109410031067788,0.026596592400778114,0.010358527674823738,-0.0053152720159129535,0.003492350900226197,0.0005119790273421279,0.004940672340391145,-0.004221693988308612,0.002509769708873446,-0.0017486417180937728,0.0015271370114773434,0.0006520536542006342,0.0005949388132889783,0.0008701220993720603,0.0004301075268817191,0.00039910000720895977,0.0008813496297304068,-0.001711130843512179,0.0008387791709508203,-0.001278915111522449,-0.0005380465589712259,0.0012448864230272575,0.0008969132769981304,-0.0595639146736907
74,-0.04,0.013945851387133262,-0.044002239545664304,0.03099601293802431,0.0022204434326996334,-0.011614469198722199,0.00679037632799206,0.008424104876584222,0.007194720499416637,0.0008383703545476979,0.0061683307038494705,0.004608329183654632,-0.0027695893627976286,-0.0010747058143709975,-0.0016596591848158004,0.0004556938283853583,-0.0032795698924731184,-0.00328868694887513,-0.0003821589982495249,0.003006596793408257,-4.708814249660302e-06,0.002339451471068984,0.0013746893296427253,-0.0008014016036552486,-0.0008482707567274176,-0.06786772352406074
73,-0.09,0.015053583425342588,-0.0630936122032177,0.0331454728121412,-0.0062775399993434036,-0.014602546977715033,0.007105047077026676,0.010245005504152875,0.003477855706322526,0.005010542611859382,0.0017748176005883722,0.003756154876849783,-0.0019943726419842578,-0.0005431877417125885,0.00023705674143207042,-0.0012153365003629067,0.0028494623655913993,0.00326663136911023,-0.00037377017345751863,-0.002851428633809049,-0.0008312356402155585,-0.0029560278194228355,-0.002023694068477945,0.0003133146590364762,0.000790923830598943,-0.09344561914722285
72,-0.19,0.016092629415074097,-0.0796019249639867,0.03288894549889783,-0.013758032273009787,-0.013427647024727454,0.004298112422179165,0.004658040627038634,-0.0031252885029306975,0.0038762043213903235,-0.004935523752797907,-0.002972046261777621,0.0024331344459207166,0.0011297298296532377,0.0015408214397579021,0.00046499378211328,0.0004301075268817191,-0.00035246019914140716,0.0008785965079865503,0.00132049248095459,0.0013363501293989044,0.0030116358553212985,0.0023964749625069756,0.00019220985945319122,-0.000725460955677575,-0.12129259235156795
71,-0.31,0.017058248427792386,-0.09285132556390106,0.030245051985611796,-0.01900856246026776,-0.008424716547877086,-0.0003971997223755851,-0.004297017948655241,-0.007134749524244591,-0.0013633019539046284,-0.005203084250362558,-0.005050858822937793,0.0024048476106631896,0.0004287479879441144,-0.001009478332699762,0.0008630768471534761,-0.0032795698924731184,-0.0028737619865932067,-0.0007931722244705047,0.0008475598420509474,-0.0013096001922700937,-0.0024957227869902383,-0.0024421493346380003,-0.0006870369096748987,0.0006525538696454306,-0.15430623731538815
70,-0.24,0.017946034565416928,-0.10229938198566178,0.025405709097659677,-0.021178101648058473,-0.0010200196229829268,-0.00491800200283708,-0.010145027824185587,-0.005223067625844594,-0.005158977339291157,0.001321406770507765,0.0007717551918533891,-0.0020274315266596977,-0.0011731612881145169,-0.001034764839054889,-0.0011188243548354464,0.0028494623655913993,0.003555695911780858,0.0001748862786849438,-0.0026066783102033407,0.0007616322452524187,0.0015061939458388372,0.002154482867700426,0.0011436268186746483,-0.0005729506978642496,-0.132096055640929
69,-0.12,0.018751937063424498,-0.10755928968926247,0.018722198503269498,-0.019915001429273466,0.006675470338437072,-0.0072780780471560415,-0.008657463147572562,0.00102324855605269,-0.0034909395527920506,0.006120947275446673,0.005387056312578771,-0.0027468796318692364,-0.0003099086996306067,0.0015282111871025527,-1.5502762516392074e-05,0.0004301075268817191,-0.0010895906435266103,0.0005608901569250678,0.0031081168401768597,8.946366820936925e-05,-0.00023083319523243347,-0.001572740556713521,-0.0015365680072707544,0.00048746827659681003,-0.08408194332660762
68,-0.09,0.0194722787735586,-0.10841570743530485,0.010679667629597557,-0.015423990615659343,0.012467878980425647,-0.006440527458523012,-0.0009099386707457328,0.0064203687119100345,0.0018742442303721965,0.0029302675117898755,0.0015749926213931061,0.0015640270761795043,0.00120455452421887,0.0002686648313081686,0.0011305685930551351,-0.0032795698924731184,-0.0023411848709274613,-0.0009198545306033583,-0.002109939487321545,-0.00090495323755432,-0.0010883329983191945,0.000776327238767161,0.0018439912752664144,-0.00039698377116151334,-0.07891670438071428
