,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,all_6_harmonics
92,-0.2,-0.06119570986620636,-0.1336529747677448,-0.1565222491033646,0.11945409283125234,-0.15269865566916507,0.10592856447619092,-0.3840778621666263
91,-0.7,-0.06718440987679683,-0.06851480408600527,-0.2580120128580468,0.14614941737453688,-0.12357132127225122,0.09931405260487915,-0.37059549630996114
90,-0.6,-0.07286656283454523,-0.002127590459553,-0.3489387344911962,0.1622359439188832,-0.080476517456149,0.07660228441364147,-0.34163582691395805
89,-0.85,-0.07821624237876476,0.06429840970198751,-0.4255798633357157,0.16654597221834247,-0.02828532068285704,0.041474482694861814,-0.30069941006840545
88,-0.8,-0.08320903914869841,0.12955223290022957,-0.48479770257176036,0.15876664286902467,0.027103012348121406,-0.00037568470293880557,-0.252047219194481
87,-0.85,-0.08782217215783353,0.1924442847319114,-0.5241678669032055,0.13946264737033293,0.07942784737452462,-0.0421649594798055,-0.20011762517566797
86,-0.65,-0.0920345927383183,0.2518280265085437,-0.5420785371765242,0.11003523789622026,0.12277482234558859,-0.07711995307829671,-0.14893740875588785
85,-0.15,-0.09582708058120532,0.3066208769590242,-0.5377964484463124,0.0726205122043866,0.15224435747945816,-0.09957500714636734,-0.10160014797604652
84,0.05,-0.09918233143431306,0.3558239479716688,-0.5114969099283089,0.029934357050871146,0.16450546281388187,-0.10589050824029238,-0.05987783911759788
83,0.1,-0.10208503605755959,0.398540254587878,-0.4642566278195053,-0.014924694532104281,0.15817224547306286,-0.09504281230133883,-0.02401622393962613
82,0.1,-0.10452195007551379,0.43399106727445197,-0.3980096248199336,-0.05870038175871561,0.13396055941585036,-0.06879016136504898,0.0072573044447414295
81,0.0,-0.10648195440844267,0.4615301083683197,-0.3154680610160885,-0.09821508386663245,0.09460709128692328,-0.03138769999671704,0.03650973477268151
80,0.25,-0.10795610600612193,0.48065533388874815,-0.22001119772832148,-0.1306004795160795,0.044560028230115546,0.011102217163498145,0.06718521327694288
79,0.35,-0.10893767865292302,0.4910180859314933,-0.11554705015533888,-0.15350575454212445,-0.010523728010955103,0.05179263837411868,0.10304150897875405
78,0.45,-0.10942219365799222,0.49242944879432904,-0.006352392772794797,-0.165268244527579,-0.06441796998888195,0.08408828207313802,0.1475062822556833
77,0.3,-0.10940744029048978,0.4848636929601126,0.10310233231624195,-0.16503412547189697,-0.1110309430072937,0.10275452897955249,0.2030311509152762
76,0.45,-0.10889348586664785,0.4684587441526669,0.2083360358062421,-0.15282039177583653,-0.14509390616038031,0.10476587209709623,0.2705246305646465
75,0.6,-0.10788267544262171,0.4435136689144665,0.30504043751188986,-0.12951362263979416,-0.1627566667718051,0.08979630413011258,0.34893877598073747
74,0.75,-0.1063796211145366,0.4104832225447088,0.3892564478650713,-0.09680562642136677,-0.1620227739971605,0.06027215817288963,0.43506928328531835
73,0.95,-0.1043911809745508,0.3699695587902992,0.4575362535069661,-0.057070634445350515,-0.14297518094224237,0.020978837022261533,0.5236064503437238
72,1.4,-0.10192642781895417,0.32271125242426607,0.5070844711720586,-0.013192958609361136,-0.10776686833724426,-0.02171482585225977,0.6074471032393672
71,1.65,-0.09899660775107955,0.26956983483289887,0.5358725910074714,0.03164237710245507,-0.06037748958838052,-0.06088885471207563,0.6782483400119675
70,1.75,-0.09561508886791267,0.21151408807140437,0.5427220240046824,0.07418083340882073,-0.006163544016482925,-0.0901937515042826,0.727175947009114
69,1.45,-0.09179730026453185,0.14960238371158843,0.5273523535720116,0.11133459854662495,0.04874707705971215,-0.10487965029631321,0.7457767470340073
68,1.25,-0.08756066163468576,0.08496338844902673,0.49039281582283184,0.1404067285503858,0.09814773594487212,-0.10256619633530752,0.7268876415410329
67,1.15,-0.0829245037887263,0.018775488211593756,0.43335653857515627,0.15928691494163444,0.13645459502067125,-0.08362836436469706,0.6654866673689316
66,0.85,-0.07790998045155481,-0.04775469412672342,0.3585785937209824,0.16660466930375434,0.15933776708368988,-0.05113568107661501,0.5593939899387504
65,0.6,-0.07253997174302702,-0.11341429579898449,0.2691203991086758,0.161828805271256,0.16421072960820318,-0.010354702791055308,0.40974330085472555
64,0.25,-0.06683897978121398,-0.17700632495334906,0.16864438373655563,0.14530599666399693,0.1505226836358346,0.03210461104292285,0.22116539371042626
63,0.15,-0.06083301688485711,-0.2373714821301629,0.06126404747938727,0.11823561288103752,0.11982081148655199,0.06936026900490147,0.0016536072405589333
62,-0.55,-0.05454948688512399,-0.29340929459679543,-0.04862444607980728,0.08258265822048717,0.07557539619967114,0.09537371099334668,-0.23788753873296617
61,-0.95,-0.04801706008821209,-0.34409817825573197,-0.1565222491033646,0.04093513474799749,0.022787569741704174,0.10592856447619092,-0.4843771485490049
60,-1.2,-0.041265542459317364,-0.3885140613920469,-0.25801201285804676,-0.0036838174404063635,-0.03257597315457483,0.09931405260487913,-0.7235137728957902
59,-1.35,-0.03432573962485142,-0.4258472307444288,-0.3489387344911962,-0.0480353660647571,-0.08425740029654895,0.07660228441364147,-0.9408668368131804
58,-1.9,-0.027229316313433786,-0.4554170927914418,-0.4255798633357157,-0.08890008932544513,-0.12641507508348024,0.041474482694861814,-1.1230038024409144
57,-2.55,-0.020008651876997796,-0.4766845811508839,-0.4847977025717602,-0.12331166958574565,-0.15428384628684677,-0.0003756847029388151,-1.258548817063632
56,-2.7,-0.012696692551234276,-0.489261983902076,-0.5241678669032055,-0.1487722145491041,-0.1647136609208446,-0.042164959479805496,-1.3390747844178623
55,-2.7,-0.005326801129474675,-0.49292001167640986,-0.5420785371765242,-0.163433576044208,-0.15652561990558772,-0.07711995307829671,-1.3597469115236025
54,-2.5,0.0020673952640828507,-0.4875919776629981,-0.5377964484463122,-0.16623150472073406,-0.13064523096654337,-0.09957500714636734,-1.3196601321239028
53,-2.7,0.00945215860722843,-0.4733750133268197,-0.5114969099283088,-0.15696290253916953,-0.08999779697610191,-0.10589050824029238,-1.2218428297545694
52,-2.85,0.016793793918597665,-0.4505282976765024,-0.4642566278195053,-0.13630056539595473,-0.03917776416486678,-0.09504281230133886,-1.0729318267296293
51,-2.7,0.024058803000143285,-0.41946833236265424,-0.39800962481993357,-0.10574434573577356,0.016070595682536704,-0.06879016136504897,-0.8825552698270794
50,-1.45,0.031214037281729716,-0.3807613487429475,-0.3154680610160885,-0.06751228019407363,0.06950246970270332,-0.03138769999671704,-0.6624875485600744
49,-0.55,0.038226849070455614,-0.33511298533516315,-0.22001119772832156,-0.024379585174042113,0.11507836540900396,0.011102217163498143,-0.4256609193494651
48,0.25,0.04506524051458855,-0.28335542384094653,-0.11554705015533896,0.02052279253823383,0.1476467644476989,0.051792638374118696,-0.18513004208716213
47,0.55,0.05169800960242333,-0.22643221825395324,-0.006352392772794835,0.0639354471689987,0.1635264071792422,0.08408828207313804,0.04691288733251833
