,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_5,harmonic_6,harmonic_8,harmonic_10,harmonic_11,harmonic_12,harmonic_14,harmonic_15,harmonic_17,harmonic_18,harmonic_19,harmonic_21,harmonic_22,harmonic_24,harmonic_26,harmonic_27,harmonic_29,harmonic_30,harmonic_31,harmonic_32,harmonic_34,harmonic_36,harmonic_37,harmonic_38,harmonic_40,harmonic_42,harmonic_43,harmonic_44,harmonic_46,all_32_harmonics
92,19.04299021,-0.24254603988822127,-6.951767510583705,-0.3277077385207638,-2.516190901995366,-0.09114266059863665,0.12650759029424288,-0.7181065376223987,-0.5286798293038786,-0.18481979109370633,-0.7258491057247743,-0.7509600125995967,-0.5023524310142782,-1.0925304792207016,-0.6040176257960309,-0.4328018242713217,-0.24414632765028993,-0.13028837657014397,-0.5811012956072426,-0.24250795102395795,-0.687962825744422,-1.0616750793500442,-0.3684309369354829,-0.3146346142909179,0.006574110032327401,-0.45295197125008074,-0.6415602308815748,-0.32125022052773794,-0.3788659412549839,-0.4557125462209359,-0.6271115721500836,-0.06217575226171182,-0.5859225218592518,53.67063804436629
91,40.29882796,-1.3149096462356018,-7.045243807446817,-0.7020531980446384,-2.7006962042210474,-0.23107606407018888,-0.09679132173725734,-1.1977779463103855,-1.0746077423819718,-0.7357560273341044,-0.7590481591321867,-0.8176744518941199,-0.7113146619476143,-1.1406657083916176,-0.32904280105179157,-0.5685940739952414,-0.545835336799526,0.01711948685352202,-0.15459347851041916,-0.32053777166058023,-0.021332168777874933,0.42418138344374895,0.34387435112903186,0.15832825522943597,-0.21944514559807551,0.28583959526319164,0.45678984839944986,0.2513893282868728,0.22662732730807456,0.5053783802817564,0.642816880157619,0.08604652502623132,0.5775029984771274,62.874397282654165
90,46.24730507,-2.381273621455072,-7.010283451985471,-1.0476565171528174,-2.5799373783739457,-0.33355564771287727,-0.2924964093725011,-1.1512051135009558,-1.0538427619176884,-0.8290033355937826,-0.16231162504702065,-0.11408070183203264,-0.08066998056961408,0.3002120946919681,0.4176441594119566,0.2605999504165773,0.15206274256428098,0.12855420100999165,0.6382161827496582,0.40319515932654193,0.7041231759791023,0.6880610784135376,0.024556585806451044,0.13815419460520295,0.28489056355797837,0.01918574186374786,-0.09021810613935256,-0.10087735073467277,-0.03138142211682635,-0.5086901577044564,-0.6227461192519482,-0.10746837846360462,-0.5684245336975106,65.06788091684585
89,50.39761565,-3.4367723913090966,-6.8475237806981974,-1.3503686553543461,-2.1675639928955954,-0.3819710720813997,-0.4048149452808293,-0.5988498327608395,-0.47733527138544146,-0.4065557207209274,0.5691276517439136,0.696985280810147,0.645194266670867,1.3491961832997517,0.5656010526101278,0.6475182166140118,0.5714886456809785,-0.030141813717283777,-0.08119683814096104,0.11841399630126821,-0.512081815082013,-1.0302175331392704,-0.3684309369354829,-0.3123216799023506,-0.15894342567826553,-0.3149542702212032,-0.31226024488229687,-0.08199824334622609,-0.16981976647590322,0.4653441173385511,0.5680163306114641,0.12583163785553136,0.5586974862134032,65.90251015373121
88,48.96779595,-4.476589957000179,-6.559931945309606,-1.5977965421440874,-1.5101872889029075,-0.36847495329143565,-0.40172651791427105,0.21661037237936137,0.3508943084848709,0.2687964509183975,0.8282467504983719,0.8514409603844315,0.6094974284175158,0.6369537484644057,-0.09728149404296495,-0.06449546154540363,-0.055651389574908054,-0.1255008853858482,-0.6082178394079666,-0.4625566953821172,-0.31619161746269053,0.21934247443979857,0.34387435112903186,0.20997483054094707,-0.07378362128143456,0.45876247975048845,0.5904597019593483,0.23856704324233216,0.3387940906272299,-0.37931602247062773,-0.48167350874945136,-0.14061367732234276,-0.5483329547624392,66.4918284360337
87,51.68813565,-5.495981869468778,-6.152750820812059,-1.7798104507653278,-0.682111635042027,-0.29525480134572907,-0.2841115938361897,0.9369027198507993,0.9940802643793557,0.7769394460163819,0.40000221219386667,0.20377796911303148,-0.14562539851736467,-0.9067614179779788,-0.6207023622326268,-0.6670510254159164,-0.580877153755819,0.04285484478391529,0.3059042034872208,0.1134680177202384,0.7516152320858598,0.8370232472763363,0.024556585806451044,0.07827346050143488,0.25694203500951085,-0.3812252455735369,-0.6336574901367124,-0.31859842172867286,-0.4434751263188686,0.25849649790294693,0.3685230762371694,0.15139379396948402,0.537342765463022,68.04969050805136
86,48.96779595,-6.490296877226168,-5.6334034264721025,-1.8889587104133874,0.22306421735061016,-0.1741784589386385,-0.08550050927031695,1.245566465640681,1.1130393798959601,0.8017747019421574,-0.3602049631385132,-0.6358585368678056,-0.7288579246555537,-1.266799755545945,-0.2542911599470231,-0.13752464697635863,-0.04234382474379802,0.12115976084781349,0.4952008853494185,0.40567460343820694,-0.2532003425721423,-0.9565827600763545,-0.3684309369354829,-0.29722225924234186,-0.26748401606625977,0.11975302355846178,0.42466098427711163,0.29641659702934103,0.4639974502445234,-0.11396729011164146,-0.23486243719712055,-0.15786518126411692,-0.5257394583205107,66.76810208221733
85,56.41238215,-7.454998148948184,-5.0113576022319,-1.9207727785138977,1.103026754855277,-0.024870509569541916,0.13748555020291345,1.0069900639852014,0.6450387314509425,0.3278530463634481,-0.8214773181403604,-0.8764705324374897,-0.4517761843084466,0.02682899917069694,0.47666904863737164,0.6254009221284536,0.5737336602408606,-0.0551281271511932,-0.4888572164608577,-0.31683475096991603,-0.5598013448944755,0.005523658760636325,0.34387435112903186,0.2530250116191167,0.09832734778270619,0.19949808688952897,-0.04665033623211259,-0.17913797399882364,-0.39646652076808575,-0.04101516702084655,0.08813049434154753,0.15984366087464177,0.5135362729188454,69.4791837754142
84,62.26789695,-8.385683973995983,-4.297953407490586,-1.8739501833808305,1.8583123664489216,0.1284685608428261,0.32127644154299095,0.32599215669949033,-0.1631221920006433,-0.3500148954169511,-0.6010040015550403,-0.2913841986752797,0.35856379947825234,1.2854354602270497,0.5242817588252604,0.32693079035080774,0.1391339164759874,-0.11557537320812787,-0.3145915542447071,-0.24684373816186572,0.6772822017370046,0.951717586049586,0.024556585806451044,0.015188201727996956,0.13688669413243487,-0.42249461133666627,-0.3499270435185376,0.0043880488969952666,0.2536977489279871,0.19223565203643006,0.0635063642625745,-0.1572729244614122,-0.5007471333139423,73.19020065589109
83,59.849463199999995,-9.278107846412098,-3.5061963888312264,-1.7504078475603555,2.403549878836044,0.2609848846377897,0.4134760047404857,-0.49823054092809854,-0.8852608551054749,-0.8101504146154789,0.1182437396172623,0.568207023883121,0.7456696498333985,0.8660479758890098,-0.17971008633257676,-0.5263881161671784,-0.5502614718858736,0.06683572033362462,0.6050837306047426,0.4405787670548765,0.0467209496588355,-0.8437853764222109,-0.3684309369354829,-0.26995452436681905,-0.28013877731070597,0.4416443494017296,0.6072342259176817,0.17176965635347172,-0.06278450525485568,-0.32582399715438937,-0.2116087667339826,0.15022613623513204,0.48738663214609257,71.31245950758723
82,54.40862665,-10.128197840753165,-2.6505204854772595,-1.5552036087965693,2.6771102003952736,0.35119963606257704,0.38779946022404965,-1.1035554420908225,-1.1405584414770251,-0.7663187748740823,0.7393607644615274,0.8925063307736072,0.2526173566931096,-0.6838694377432948,-0.6260715309367365,-0.4863503554228412,-0.23196419998796422,0.10880502584085838,0.09104209201514407,0.02597937091840629,-0.7126760202298879,-0.20852129615718873,0.34387435112903186,0.2857163189924232,0.2351906059432717,-0.24770786356320437,-0.6228635156001276,-0.29281997378096114,-0.14004341585457927,0.4295272806879312,0.34793405187229076,-0.13890385067346758,-0.47347001398949573,69.18569705078384
81,57.12896635,-10.93207519135176,-1.7465248947744652,-1.2963291515599866,2.648072358636046,0.38449041335798484,0.25156682437296624,-1.2240327983790302,-0.7943841251595912,-0.24578615609422305,0.7468808100804935,0.37600043205329853,-0.5386141954949472,-1.34107087186557,-0.17490372394403164,0.3790942093466949,0.51112861678026,-0.07785748858225289,-0.6387194237837657,-0.4536023572692507,0.4931723078292789,1.0274484950278975,0.024556585806451044,-0.04851886380872311,-0.03223884674626064,-0.06574364233481168,0.39059448948382,0.31992736671277966,0.3162951599245945,-0.49383368324384624,-0.4648950156910004,0.12362830465851246,0.4590131579579239,68.19545459283155
