,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_160,harmonic_161,harmonic_162,harmonic_163,harmonic_164,harmonic_165,harmonic_166,harmonic_167,harmonic_168,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,all_15_harmonics
0,3.6172,0.1378076922691402,0.21533123357600803,0.11398748104034262,-0.013104268044227263,-0.16598631960683105,0.06624287318618223,-0.1713867643539235,-0.03340334967288324,-0.05121131496752526,0.0488218462926758,0.0043283355673829306,-0.018733525364225036,-0.049786422298991946,0.0082230559899555,-0.08605469618013102,-0.0006480499914053306,-0.04978642229899196,-0.018733525364225068,0.004328335567382874,0.04882184629267595,-0.051211314967525366,-0.033403349672883165,-0.17138676435392342,0.06624287318618237,-0.1659863196068309,-0.01310426804422743,0.11398748104034256,0.2153312335760078,0.13780769226914036,0.0,0.0873353050646683
1,3.3302,0.14971065376535858,0.24596329741031114,0.14008998763282968,0.01998991212147375,-0.12174318457882836,0.07112737200187857,-0.1895621133638066,-0.01825271233175771,-0.03499437729660445,0.0064120595391240105,0.01733068508285393,0.01699181613557472,-0.06520389038443647,0.013793837397182457,-0.09855438427834437,-0.04002594948809504,-0.06520389038443641,0.01699181613557469,0.017330685082853802,0.006412059539124204,-0.03499437729660452,-0.018252712331757657,-0.18956211336380638,0.07112737200187867,-0.12174318457882834,0.0199899121214736,0.14008998763282957,0.2459632974103109,0.14971065376535872,0.0,0.3509325150986846
2,3.5474,0.16141615827808672,0.2752981614680485,0.16453104357512682,0.05266294457632875,-0.07349637837497194,0.0726476265569401,-0.1955510829784255,-0.0015719832017506595,-0.015071651923849294,-0.03683426574305202,0.027603525500250452,0.04954039668651198,-0.06635395764131907,0.01587456858252748,-0.08252037188352151,-0.06626390676662611,-0.066353957641319,0.049540396686511924,0.02760352550025028,-0.036834265743051875,-0.015071651923849383,-0.0015719832017506374,-0.19555108297842522,0.0726476265569402,-0.07349637837497199,0.052662944576328655,0.1645310435751268,0.2752981614680483,0.16141615827808678,0.0,0.6967313634882295
3,4.0543,0.17290876713577208,0.3031811149468283,0.1870207808404548,0.08422647347659304,-0.02283255529540717,0.07073173053010659,-0.18896866031405912,0.015240522430594282,0.006447111060100856,-0.07527507069597407,0.03352892820057684,0.07282698921161497,-0.05298497542663696,0.013938792975132825,-0.04259486452234249,-0.07074837868881648,-0.05298497542663684,0.07282698921161486,0.03352892820057666,-0.07527507069597392,0.006447111060100779,0.015240522430594252,-0.18896866031405898,0.07073173053010674,-0.02283255529540724,0.0842264734765929,0.18702078084045484,0.30318111494682815,0.17290876713577208,0.0,1.1126978619651027
4,4.6993,0.1841733224600649,0.3294651043577622,0.20729247381027754,0.11401551801285698,0.028582143850227205,0.06547030363683827,-0.170238009570054,0.03077544269340789,0.027283146511099546,-0.10389524056310617,0.03417366749177451,0.08249797211001526,-0.02802223894597053,0.008476291184524982,0.009662809649288999,-0.05200717776904342,-0.028022238945970494,0.08249797211001517,0.034173667491774334,-0.10389524056310599,0.027283146511099518,0.030775442693407866,-0.1702380095700539,0.06547030363683838,0.028582143850226976,0.11401551801285671,0.2072924738102776,0.3294651043577621,0.18417332246006535,0.0,1.569279134775158
5,5.0962,0.19519496715790813,0.3540115090791959,0.2251057026085262,0.14140248223379756,0.0790568847889758,0.05711220541925288,-0.14056326807235608,0.043730513380525984,0.0452299878509635,-0.11896089317390013,0.0294361996810929,0.0767452749221678,0.003072102762523333,0.0008691590726020689,0.059122884115205436,-0.016192770103282086,0.0030721027625233537,0.07674527492216772,0.02943619968109274,-0.1189608931739001,0.04522998785096353,0.04373051338052596,-0.14056326807235603,0.05711220541925302,0.0790568847889757,0.1414024822337974,0.2251057026085261,0.3540115090791959,0.19519496715790835,0.0,2.0249466103618725
6,5.4098,0.20595916451691368,0.37669087243586413,0.24024920445283554,0.16581037724528763,0.12693174490501213,0.04605276447120872,-0.10185213589842407,0.053019734399334884,0.05838712451022782,-0.1185065135809513,0.020062655774275275,0.0566444120975682,0.033494231183726624,-0.006957883476629973,0.09146556010128104,0.024937490558604603,0.03349423118372667,0.05664441209756814,0.02006265577427521,-0.11850651358095128,0.05838712451022785,0.0530197343993348,-0.10185213589842404,0.04605276447120878,0.1269317449050119,0.1658103772452874,0.24024920445283546,0.3766908724358638,0.20595916451691376,0.0,2.4353324402090135
7,5.557,0.2164517173781836,0.397383584447787,0.2525433792061042,0.18672497721940978,0.170632301793027,0.032815079842875926,-0.05659323556422641,0.05786440718999061,0.06536125965123202,-0.10259138165117354,0.007529329019542525,0.025953406648597174,0.05658741621021489,-0.01302447590076477,0.09732690888443038,0.057881132559429914,0.05658741621021483,0.025953406648597153,0.007529329019542537,-0.10259138165117361,0.06536125965123205,0.05786440718999058,-0.05659323556422646,0.032815079842876,0.17063230179302666,0.18672497721940962,0.25254337920610415,0.39738358444778665,0.2164517173781836,0.0,2.763508048326224
8,5.9676,0.2266587868612846,0.41598051264812486,0.2618424194128352,0.2037056531104318,0.20872141003427166,0.018025279047215174,-0.0076961259510067576,0.05785841161417809,0.06541385565070564,-0.07329183821798574,-0.006189834992228027,-0.009589803418960652,0.06729858930208234,-0.015795678238842387,0.07500993877942042,0.07182323313326931,0.06729858930208228,-0.009589803418960607,-0.006189834992227946,-0.07329183821798585,0.06541385565070572,0.057858411614178006,-0.007696125951006938,0.018025279047215192,0.20872141003427153,0.20370565311043148,0.2618424194128351,0.41598051264812463,0.2266587868612847,0.0,2.9885121238757426
9,6.2874,0.2365669106166795,0.4323835776430808,0.2680360395582767,0.21639465583288153,0.2399464634536494,0.0023829029366765975,0.041695744503651114,0.05300225027014973,0.05853934276793399,-0.0344303987779158,-0.018934126352046585,-0.04334012020391983,0.06328401607561719,-0.014570334238516164,0.030975912220705084,0.06218680164572211,0.06328401607561716,-0.04334012020391977,-0.018934126352046474,-0.034430398777915955,0.05853934276793405,0.05300225027014965,0.04169574450365103,0.0023829029366765897,0.23994646345364912,0.21639465583288114,0.26803603955827665,0.4323835776430805,0.23656691061667984,0.0,3.109646896277339
10,6.2555,0.2461630205815445,0.44650627037837554,0.27105078404155725,0.2245246533236159,0.2632805885816334,-0.013372181788038714,0.08840712067243706,0.0437030063608251,0.04546570896170116,0.008922944543876089,-0.028696373442124626,-0.06898764207371005,0.04542213376884145,-0.009658474529920521,-0.02202633435456404,0.032135339639038446,0.045422133768841376,-0.06898764207370994,-0.028696373442124452,0.008922944543875922,0.045465708961701254,0.04370300636082504,0.08840712067243704,-0.013372181788038753,0.2632805885816331,0.2245246533236156,0.2710507840415573,0.44650627037837526,0.24616302058154485,-0.0,3.1452305985756217
11,6.2959,0.25543446021555194,0.45827410838425175,0.2708508983504057,0.2279243626969677,0.2779564146244345,-0.02849477743623672,0.12943506836155882,0.03074021864679207,0.027577408396365896,0.051112170961546174,-0.033939063918164696,-0.0817373521060102,0.01762133853604649,-0.002302874170657546,-0.06865146405132304,-0.00846569112037292,0.01762133853604645,-0.08173735210601013,-0.03393906391816453,0.05111217096154603,0.02757740839636596,0.030740218646791984,0.12943506836155866,-0.028494777436236744,0.2779564146244342,0.22792436269696764,0.27085089835040577,0.4582741083842515,0.25543446021555205,-0.0,3.1260904820846647
12,6.2339,0.26436900119388484,0.46762502859279403,0.26743875310542875,0.22652215883465587,0.2834913093762935,-0.04226960233528633,0.16214202393830285,0.015200534125042197,0.006768752368850953,0.08663313423691799,-0.03383649635611308,-0.07920558627004422,-0.014035218961043847,0.00563538830639371,-0.09540045806936377,-0.04628755752313204,-0.014035218961043879,-0.07920558627004416,-0.0338364963561129,0.08663313423691783,0.006768752368851022,0.015200534125042124,0.16214202393830268,-0.04226960233528636,0.2834913093762936,0.22652215883465568,0.267438753105429,0.467625028592794,0.26436900119388507,-0.0,3.085634956413265
13,6.1778,0.2729548595354702,0.4745097146558603,0.26085481594483295,0.22034758338464555,0.27970325116054745,-0.05404512284485216,0.18442535538169483,-0.0016133836190696423,-0.014756691932181428,0.11085165183123186,-0.02840482471021034,-0.06186567918614862,-0.04262070058439088,0.012147812009012434,-0.09452888383585242,-0.06891388605477712,-0.04262070058439085,-0.061865679186148555,-0.028404824710210216,0.11085165183123173,-0.014756691932181366,-0.0016133836190696253,0.18442535538169466,-0.05404512284485228,0.27970325116054745,0.22034758338464558,0.2608548159448328,0.47450971465586045,0.27295485953547033,-0.0,3.049386700153243
14,5.7959,0.28118071114515364,0.47889185703736686,0.25117717158302977,0.20953072237735168,0.2667168148315774,-0.0632643701612893,0.19485253418516355,-0.018292054338904393,-0.03471945183341618,0.12060809571075072,-0.01849951413399005,-0.03295947029288092,-0.061880256787545954,0.015586654896034934,-0.06628908160250443,-0.06891677923086963,-0.061880256787545884,-0.032959470292880884,-0.018499514133989977,0.12060809571075068,-0.03471945183341615,-0.01829205433890435,0.19485253418516346,-0.06326437016128945,0.2667168148315773,0.20953072237735154,0.25117717158303005,0.47889185703736664,0.2811807111451538,0.0,3.0270663727073948
15,5.7575,0.2890357067493223,0.48074834450820697,0.2385205957351788,0.19429946557157202,0.24495907498076386,-0.0694912843122024,0.19275322831523223,-0.03343733530071204,-0.051005537721332025,0.11462960788690194,-0.0056806088615831765,0.002108784922345598,-0.06759966344200183,0.01508183752290277,-0.018857106293808767,-0.046295287263405184,-0.0675996634420018,0.0021087849223456467,-0.0056806088615831765,0.11462960788690191,-0.05100553772133199,-0.03343733530071203,0.19275322831523212,-0.06949128431220253,0.2449590749807638,0.19429946557157204,0.2385205957351789,0.4807483445082068,0.2890357067493223,0.0,3.009610202029073
16,5.8844,0.2965094862052722,0.4800693860338735,0.22303519389080811,0.17497470527028863,0.2151455610744482,-0.07243133930001733,0.17826239584629494,-0.04577962505464962,-0.06189030748319978,0.09369616168604718,0.008032968115731296,0.0367827853070463,-0.05852744511033375,0.01076108634704609,0.03403442342327585,-0.008475719862524059,-0.05852744511033367,0.036782785307046234,0.008032968115731202,0.09369616168604719,-0.06189030748319984,-0.04577962505464958,0.17826239584629486,-0.0724313393000175,0.21514556107444827,0.17497470527028874,0.22303519389080817,0.4800693860338732,0.2965094862052723,0.0,2.9720796428710177
17,5.5851,0.3035921921654494,0.47685856241195146,0.20490462108049812,0.15196357575773853,0.1782567264060992,-0.07194547384859915,0.15231160891102127,-0.05428429182297095,-0.06622110034786352,0.06053880384551767,0.02048138682309813,0.06457993891907168,-0.03664871302714721,0.0037176169955445227,0.07707222566264414,0.03212630418648704,-0.03664871302714721,0.06457993891907156,0.020481386823097976,0.06053880384551779,-0.06622110034786355,-0.054284291822970926,0.15231160891102136,-0.07194547384859928,0.17825672640609935,0.15196357575773833,0.20490462108049828,0.4768585624119513,0.3035921921654495,0.0,2.8816918213924048
18,5.4927,0.3102744830785441,0.4711328073871447,0.18434390374898663,0.12575087578937816,0.13550570470951417,-0.0680566688443545,0.11656916572358036,-0.05823840480652343,-0.06353929981241942,0.019483353109157102,0.02970407432552042,0.08030333735383169,-0.006750798721452445,-0.004266465881155065,0.09779589322913385,0.06218172569159141,-0.0067507987214524,0.0803033373538316,0.02970407432552026,0.01948335310915726,-0.06353929981241953,-0.058238404806523335,0.11656916572358036,-0.06805666884435461,0.13550570470951417,0.12575087578937832,0.18434390374898676,0.4711328073871445,0.3102744830785442,0.0,2.7086762191213856
