,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25,harmonic_26,harmonic_27,harmonic_28,harmonic_29,harmonic_30,harmonic_31,harmonic_145,harmonic_146,harmonic_147,harmonic_148,harmonic_149,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,harmonic_156,harmonic_157,harmonic_158,harmonic_159,harmonic_160,harmonic_161,harmonic_162,harmonic_163,harmonic_164,harmonic_165,harmonic_166,harmonic_167,harmonic_168,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,all_30_harmonics
0,7.6964,0.04809459325933944,-0.10361234718609148,-0.2235042862116066,0.39816089864313275,-0.06615014251549636,0.013444426600565797,0.07585222162046942,-0.04792051017280327,-0.014263329946755495,-0.09824067336379526,-0.0009924505153026657,-0.0068352205524254694,-0.047306542897304966,0.0068376623617632595,0.01140246805618577,-0.014760944830797111,-0.04258937499798801,-0.009486119877346317,-0.011047646258892317,0.01267103446203091,-0.033391314058748685,-0.053129399809777905,-0.018459194550722743,-0.025489469210174115,-0.04197831821632128,-0.021070085380956324,-0.04699097299598628,0.011933264944021464,-0.013551382288537746,-0.013995748724659758,-0.03474993006264647,0.011933264944021495,-0.04699097299598588,-0.02107008538095636,-0.04197831821632107,-0.025489469210174052,-0.018459194550722917,-0.05312939980977792,-0.03339131405874818,0.01267103446203112,-0.011047646258892405,-0.00948611987734634,-0.04258937499798795,-0.014760944830797023,0.011402468056185878,0.0068376623617629265,-0.047306542897305064,-0.006835220552425497,-0.0009924505153026016,-0.09824067336379472,-0.014263329946755221,-0.04792051017280315,0.07585222162046962,0.013444426600565884,-0.0661501425154963,0.39816089864313253,-0.2235042862116065,-0.10361234718609151,0.048094593259339624,0.0,-0.7599406082794095
1,7.9141,0.03823360139942964,-0.110556354871957,-0.21236155527594272,0.40710176818273824,-0.09641488505799432,0.005449374678609902,0.10258752552605975,-0.07547243986365115,-0.043115472566005446,-0.10508576421924162,-0.0235278757642639,-0.0579248819010916,-0.05280237131760949,-0.015959539252646475,0.010127114432586992,-0.02022453218876342,-0.04009934735600853,-0.02418268765323662,-0.02666110683803975,0.0037442453155103763,-0.011996898405721271,-0.03490852586229328,-0.01754223848778262,-0.004158282436812552,-0.03304344189884226,-0.009830979967875788,-0.02228586906138223,0.01225960602730067,0.018205945433461837,0.002838880890056544,-0.022952725560246315,0.012259606027300536,-0.02228586906138197,-0.009830979967875778,-0.033043441898842084,-0.004158282436812727,-0.017542238487782264,-0.03490852586229319,-0.011996898405720633,0.0037442453155105302,-0.02666110683803989,-0.02418268765323681,-0.040099347356008376,-0.02022453218876334,0.01012711443258734,-0.015959539252646513,-0.05280237131760969,-0.057924881901091615,-0.02352787576426393,-0.10508576421924105,-0.04311547256600529,-0.07547243986365107,0.1025875255260599,0.005449374678610043,-0.09641488505799442,0.40710176818273774,-0.2123615552759427,-0.11055635487195704,0.038233601399429835,0.0,-0.919211528606579
2,7.7927,0.02832218232268236,-0.11691729313101046,-0.1987002414632975,0.4074658127363378,-0.12350890804386688,-0.002803426503167933,0.1227277852791164,-0.0966976517263051,-0.06740183061250399,-0.09822101815833761,-0.04235776077347662,-0.09818500617598934,-0.04674440146230197,-0.03471873520510684,0.0059197344745531245,-0.01904869717828144,-0.02280248945768731,-0.028906979088807728,-0.03007483434799747,-0.007072760834295808,0.01604442002155507,0.0044382219553948015,-0.005079963225013714,0.020137259766355116,0.0013121885991380117,0.009541980393438159,0.02218619603661666,0.0009633007930520494,0.0315661171272925,0.016623796343420937,0.014993394285697004,0.0009633007930518805,0.02218619603661654,0.00954198039343822,0.0013121885991380063,0.020137259766354804,-0.005079963225013054,0.004438221955394969,0.016044420021555483,-0.007072760834295798,-0.030074834347997598,-0.028906979088808005,-0.022802489457687123,-0.019048697178281414,0.005919734474553599,-0.03471873520510653,-0.04674440146230231,-0.09818500617598933,-0.04235776077347679,-0.09822101815833707,-0.067401830612504,-0.09669765172630494,0.12272778527911653,-0.0028034265031677045,-0.12350890804386706,0.4074658127363374,-0.19870024146329757,-0.11691729313101049,0.02832218232268252,0.0,-0.7371825222620045
3,7.6642,0.0183734084381999,-0.12266161465039974,-0.1826823663363826,0.39924536260886395,-0.14654119191221018,-0.010923628781626987,0.13497824402071532,-0.10981687472432763,-0.08455055986658584,-0.0785420326929479,-0.05451647884078641,-0.12008862924495164,-0.030458190497119467,-0.044693564195927224,-1.5411334007924514e-06,-0.011619449482904554,0.0029142708351651532,-0.021710826123367957,-0.01972675694210782,-0.014319206921229488,0.0351962991666224,0.04109905523153206,0.010725659410271069,0.030077356845990433,0.034658335160206964,0.02102019529776555,0.04697970723970787,-0.011246256008180518,0.01302864394919577,0.01255032707147504,0.03585827483132398,-0.011246256008180565,0.04697970723970752,0.021020195297765606,0.03465833516020677,0.030077356845990243,0.010725659410271584,0.041099055231532185,0.03519629916662234,-0.014319206921229639,-0.019726756942107872,-0.021710826123368197,0.0029142708351653215,-0.01161944948290455,-1.541133400309331e-06,-0.044693564195926704,-0.03045819049711982,-0.12008862924495158,-0.05451647884078665,-0.07854203269294749,-0.08455055986658594,-0.10981687472432747,0.13497824402071543,-0.010923628781626706,-0.14654119191221038,0.399245362608864,-0.18268236633638252,-0.12266161465039975,0.018373408438200133,0.0,-0.5162253023468364
4,7.6354,0.008400401423239626,-0.12775902412724838,-0.16449789999580183,0.38261360634323205,-0.1647542922824063,-0.018527155771802896,0.13855135652179149,-0.11373034817443382,-0.09274566716359967,-0.04861619345721835,-0.05808908364831926,-0.1195406871166489,-0.0075073586055938255,-0.04336024309426131,-0.005922370548735257,-0.0003757040238308888,0.027554925993582502,-0.005561724636101279,-0.00035200369427119266,-0.014336850909125443,0.034847606525372936,0.052887642099128565,0.019472253540928606,0.018575914675836046,0.04134136892841901,0.015106937521419176,0.030103492845956415,-0.012793866928903021,-0.018674308409579614,-0.005005536031623583,0.01587158023531303,-0.01279386692890291,0.030103492845956106,0.015106937521419192,0.04134136892841877,0.01857591467583607,0.019472253540928644,0.052887642099128586,0.03484760652537247,-0.014336850909125669,-0.0003520036942711406,-0.005561724636101401,0.027554925993582596,-0.0003757040238309252,-0.005922370548734926,-0.043360243094260675,-0.00750735860559416,-0.11954068711664878,-0.05808908364831955,-0.0486161934572181,-0.0927456671635999,-0.11373034817443368,0.1385513565217917,-0.018527155771802584,-0.1647542922824066,0.38261360634323166,-0.16449789999580183,-0.1277590241272485,0.008400401423239681,0.0,-0.46583819972468127
5,7.5991,-0.001583685083282882,-0.13218263804477162,-0.1443625080571748,0.35792094198201707,-0.17754924942436984,-0.025254369245579982,0.1332174181025048,-0.1081100126910826,-0.09111931800604645,-0.012347724572798924,-0.05251290515277537,-0.09664362211634765,0.017086174262181005,-0.03105612237573955,-0.010128541111662656,0.010991379650260905,0.042020824234119555,0.012880879368142228,0.019183821302595355,-0.007116785538144538,0.015191535872238947,0.032669788457430717,0.015403300623437775,-0.006167921287833538,0.016219944183137873,-0.0033053426222567637,-0.013473702888463812,-0.002212328673296216,-0.03150682271366639,-0.01718412030126766,-0.022196827874506844,-0.002212328673296049,-0.013473702888463798,-0.0033053426222568088,0.016219944183137786,-0.006167921287833299,0.015403300623437319,0.03266978845743059,0.015191535872238298,-0.0071167855381447185,0.01918382130259548,0.012880879368142303,0.042020824234119486,0.010991379650260834,-0.01012854111166256,-0.031056122375738966,0.017086174262180825,-0.09664362211634756,-0.05251290515277564,-0.012347724572798889,-0.09111931800604675,-0.1081100126910825,0.13321741810250481,-0.025254369245579653,-0.1775492494243702,0.3579209419820166,-0.1443625080571746,-0.13218263804477176,-0.0015836850832827154,0.0,-0.5555693085965638
6,7.8816,-0.011565682829443563,-0.13590912645477857,-0.122514993882494,0.3256875948772474,-0.18450528577028194,-0.030787079613180893,0.11931933165676628,-0.09342701081010807,-0.07984373733897578,0.02553166936354198,-0.03866616772112631,-0.0556782304435922,0.037941045289566926,-0.010894331331889637,-0.011402272284624813,0.018750151832698292,0.04097037987331127,0.02601176242526272,0.029941409875879663,0.003696065000307317,-0.012881432092131058,-0.0073191043006285116,0.0011967576513843246,-0.026514770938514405,-0.021379696819495288,-0.01898288243165257,-0.0451000897497897,0.010466594575807741,-0.012501609307670766,-0.010902382682554126,-0.03497747782845175,0.010466594575807793,-0.045100089749789365,-0.01898288243165264,-0.02137969681949515,-0.026514770938514128,0.001196757651383669,-0.00731910430062865,-0.012881432092131521,0.0036960650003072595,0.029941409875879812,0.026011762425262926,0.04097037987331115,0.018750151832698226,-0.011402272284624985,-0.010894331331889245,0.0379410452895669,-0.055678230443592075,-0.03866616772112654,0.025531669363541773,-0.07984373733897615,-0.09342701081010794,0.11931933165676642,-0.030787079613180522,-0.1845052857702823,0.3256875948772471,-0.12251499388249384,-0.1359091264547786,-0.011565682829443286,0.0,-0.5940997346005438
7,7.942,-0.021532426318234293,-0.1389188360188088,-0.09921446640055541,0.28659265757638347,-0.18539364369142897,-0.03486359593093536,0.09775056345423583,-0.07091219196395993,-0.060112971503401544,0.06008011713627072,-0.01872967353272315,-0.004303331819742892,0.05049395614541562,0.012023890891139085,-0.009374790379225484,0.020353519463480147,0.02479147332243049,0.028416108931813573,0.026998246622920954,0.012643021528051813,-0.033817419829290624,-0.04287863573567181,-0.01379742420151619,-0.027959776764007904,-0.04253165604110075,-0.01895456049552872,-0.036723920727193535,0.013222725311622944,0.01913651337936154,0.00709141759293432,-0.007910001499261339,0.01322272531162284,-0.03672392072719314,-0.01895456049552876,-0.04253165604110053,-0.0279597767640078,-0.013797424201516624,-0.04287863573567194,-0.03381741982929068,0.012643021528051914,0.026998246622921048,0.028416108931813858,0.024791473322430327,0.020353519463480088,-0.009374790379225876,0.012023890891139161,0.05049395614541577,-0.00430333181974283,-0.0187296735327233,0.06008011713627026,-0.0601129715034019,-0.0709121919639599,0.09775056345423586,-0.034863595930934986,-0.18539364369142936,0.2865926575763833,-0.09921446640055519,-0.13891883601880878,-0.0215324263182341,0.0,-0.43498815246608746
8,8.274,-0.03147077017185501,-0.14119589365898808,-0.07473726710577121,0.24145978269229712,-0.18018510846819413,-0.03729110358698022,0.06989770487512278,-0.042452932604887854,-0.0340164427159705,0.08679031380074241,0.004156664477036536,0.047876110377664476,0.05199817792000014,0.03189988622224611,-0.0046330967944113255,0.015275120062955453,-0.0005417751690017826,0.01910243241098059,0.011701080059572863,0.01520736894462685,-0.036016806315075575,-0.05248895768958191,-0.01971091394930769,-0.009472823342864575,-0.03096345322812305,-0.003243809525683778,0.004225369531223183,0.003443130241194235,0.031437138666880186,0.017467146700667246,0.02816895187776709,0.0034431302411940725,0.004225369531223206,-0.0032438095256837616,-0.030963453228122904,-0.009472823342864702,-0.019710913949307608,-0.05248895768958199,-0.03601680631507513,0.015207368944627061,0.011701080059572879,0.019102432410980807,-0.0005417751690019353,0.015275120062955455,-0.004633096794411817,0.031899886222245856,0.051998177920000395,0.047876110377664496,0.0041566644770365015,0.08679031380074187,-0.03401644271597089,-0.042452932604887826,0.06989770487512281,-0.037291103586979873,-0.18018510846819458,0.24145978269229684,-0.07473726710577104,-0.1411958936589881,-0.03147077017185493,0.0,-0.11370278817675424
9,8.4179,-0.04136760646946709,-0.14272829027195358,-0.04937369268079745,0.19123983018004068,-0.1690509690512798,-0.037954784214354303,0.03755133261149162,-0.010434920858113792,-0.0043176862332569505,0.10217755861757293,0.026388345532759278,0.09110471667750267,0.042124568673069414,0.0437047261683622,0.001449982029172253,0.00518211894605256,-0.025674971203388082,0.0019114373097592562,-0.008950329829649965,0.010094541141059114,-0.018261017578146868,-0.030334114190707466,-0.01265178373051929,0.015767114210241538,0.004425341141303283,0.01515077115878021,0.04142687166458926,-0.009600703902616529,0.01197045215795772,0.009078508188039992,0.032156398909081674,-0.009600703902616602,0.041426871664588964,0.015150771158780272,0.004425341141303271,0.015767114210241254,-0.012651783730518746,-0.030334114190707362,-0.018261017578146233,0.010094541141059319,-0.008950329829650053,0.0019114373097593408,-0.02567497120338813,0.005182118946052575,0.001449982029171789,0.0437047261683617,0.04212456867306978,0.09110471667750263,0.026388345532759372,0.10217755861757233,-0.004317686233257208,-0.010434920858113829,0.037551332611491496,-0.037954784214354005,-0.16905096905128014,0.1912398301800405,-0.0493736926807972,-0.14272829027195366,-0.041367606469467064,0.0,0.19120213095008887
