Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,-0.3236,1.3030,3.3891
1,-0.1839,1.2486,3.3416
2,-0.3922,1.2316,3.3901
3,-0.2895,1.0662,3.7661
4,-0.1458,0.8851,4.1571
5,-0.1311,0.8265,4.3074
6,-0.0164,1.5734,4.7338
7,0.0073,1.6956,4.7183
8,0.0240,1.4429,4.4546
9,0.1807,1.5241,4.1996
10,0.2874,1.3334,4.3262
11,0.3470,1.0789,4.6204
12,0.4897,1.1911,4.8001
13,0.3924,0.8078,4.9723
14,0.2981,0.4611,5.0981
15,0.4628,1.0462,5.1719
16,0.4805,0.7876,5.1369
17,0.1732,0.7908,5.1291
18,0.4119,0.9815,5.1295
19,0.5056,0.5967,4.9625
20,0.2753,0.9617,4.6691
21,-0.0410,0.9129,4.3159
22,0.1177,1.0202,4.2035
23,0.1014,0.5589,4.2002
24,-0.5160,0.5901,4.2131
25,-0.2983,0.4133,4.3931
26,-0.4856,0.3061,4.3871
27,-0.3389,0.8160,4.2002
28,-0.0912,1.2401,4.2060
29,0.0475,1.1027,4.2101
30,0.1302,1.0871,4.3263
31,0.2179,0.9178,4.3639
32,0.0796,0.7966,4.3512
33,-0.3337,0.9408,4.3479
34,-0.7290,1.0985,4.3430
35,-0.5393,1.5919,4.2091
36,-0.2347,1.9380,4.0137
37,-0.0700,1.3139,4.0527
38,0.0367,0.7325,3.9217
39,0.1074,1.0297,3.8965
40,-0.1509,1.0566,3.7574
41,-0.0552,0.7649,3.7392
42,-0.0935,0.7590,3.6010
43,-0.1558,0.7619,3.4866
44,-0.1041,1.5211,3.4445
45,-0.1004,1.2607,3.2968
46,-0.0407,1.1894,3.4461
47,-0.2600,1.2014,3.4515
48,-0.1223,1.4044,3.5374
49,-0.0637,0.9266,4.0627
50,0.0720,0.9173,4.2058
51,0.2027,0.9694,4.3661
52,0.2254,0.8874,4.4629
53,0.2071,0.8725,4.8288
54,0.2028,0.8779,4.7859
55,0.2175,0.8956,4.7862
56,-0.4668,1.1524,4.3633
57,-0.3061,1.5918,4.5106
58,0.0546,1.3987,4.5190
59,0.0673,0.9431,4.2580
60,0.1370,0.7291,3.9800
61,-0.1114,0.6801,3.7885
62,-0.2827,0.8164,3.4896
63,-0.1340,1.4841,3.1568
64,0.0967,1.7271,3.3446
65,0.1124,1.5682,3.2528
66,0.2581,1.0303,3.4055
67,0.1038,1.2174,3.2909
68,0.0765,1.0620,3.3274
69,0.1852,0.7681,3.8741
70,0.2349,0.6662,3.6054
71,0.3036,0.6520,3.2794
72,-0.0227,0.7574,3.4729
73,-0.3370,0.9688,3.4562
74,-0.1124,1.0265,3.4498
75,-0.1427,0.6864,3.8721
76,-0.3820,0.6173,4.1176
77,-0.1023,0.7471,3.8602
78,-0.0066,0.7525,3.6735
79,-0.0639,0.7435,3.4156
80,-0.0842,0.6884,3.0911
