,X,Y,Z,Label
154,130.8,96.828,600.231,CL
155,131.0,96.809,600.227,CL
156,131.2,96.79,600.2239999999999,CL
157,131.4,96.772,600.221,CL
158,131.6,96.753,600.2180000000001,CL
159,131.8,96.734,600.217,CL
160,132.0,96.716,600.2149999999999,CL
161,132.2,96.697,600.2139999999999,CL
162,132.4,96.679,600.2139999999999,CL
163,132.6,96.66,600.2139999999999,CL
164,132.8,96.642,600.2149999999999,CL
165,133.0,96.624,600.216,CL
166,133.2,96.605,600.2180000000001,CL
167,133.4,96.587,600.221,CL
168,133.6,96.569,600.227,CL
169,133.8,96.55,600.227,CL
170,134.0,96.532,600.231,CL
171,134.2,96.514,600.238,CL
172,134.4,96.496,600.243,CL
173,134.6,96.478,600.245,CL
174,134.8,96.46,600.253,CL
175,135.0,96.442,600.256,CL
176,135.2,96.424,600.261,CL
177,135.4,96.406,600.267,CL
178,135.6,96.388,600.2719999999999,CL
179,135.8,96.37,600.278,CL
180,136.0,96.352,600.283,CL
181,136.2,96.334,600.288,CL
182,136.4,96.316,600.293,CL
183,136.6,96.299,600.297,CL
184,136.8,96.281,600.3009999999999,CL
185,137.0,96.263,600.3050000000001,CL
186,137.2,96.246,600.308,CL
187,137.4,96.228,600.31,CL
188,137.6,96.211,600.3119999999999,CL
189,137.8,96.193,600.3130000000001,CL
190,138.0,96.176,600.3140000000001,CL
191,138.2,96.159,600.3140000000001,CL
192,138.4,96.141,600.3130000000001,CL
193,138.6,96.124,600.3119999999999,CL
194,138.8,96.107,600.309,CL
195,139.0,96.089,600.306,CL
196,139.2,96.072,600.3030000000001,CL
197,139.4,96.055,600.299,CL
198,139.6,96.038,600.2940000000001,CL
199,139.8,96.021,600.289,CL
200,140.0,96.004,600.283,CL
201,140.2,95.987,600.277,CL
202,140.4,95.97,600.27,CL
203,140.6,95.953,600.263,CL
204,140.8,95.937,600.256,CL
205,141.0,95.92,600.249,CL
206,141.2,95.903,600.242,CL
207,141.4,95.886,600.235,CL
208,141.6,95.87,600.2280000000001,CL
209,141.8,95.853,600.222,CL
210,142.0,95.837,600.2149999999999,CL
211,142.2,95.82,600.21,CL
212,142.4,95.804,600.204,CL
213,142.6,95.787,600.2,CL
214,142.8,95.771,600.1959999999999,CL
215,143.0,95.755,600.192,CL
216,143.2,95.738,600.19,CL
217,143.4,95.722,600.1890000000001,CL
218,143.6,95.706,600.1880000000001,CL
219,143.8,95.69,600.1890000000001,CL
220,144.0,95.674,600.19,CL
