,raw_series,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_17,harmonic_94,harmonic_95,harmonic_96,harmonic_97,harmonic_98,harmonic_99,all_13_harmonics
0,0.0373,0.045538045979864876,-0.05944734238216239,0.02573364687975167,0.010128833830983506,-0.02171513468359438,0.0015112039298396534,0.008270692798707058,0.010128833830983508,0.025733646879751666,-0.05944734238216239,0.04553804597986487,0.058738025435783346,0.0,0.10682562302126078
1,0.0081,0.03377413551030336,-0.05825666615987923,0.031337457458767655,-0.0020718536575980045,-0.019352462520871038,0.0037435151915137708,0.0033852730712779873,-0.002071853657598002,0.03133745745876765,-0.05825666615987924,0.03377413551030335,0.061688679422042786,0.0,0.09708556149284202
2,0.0589,0.021466786557424886,-0.05496044223631486,0.034932455624803745,-0.014065650471523103,-0.014217276574949742,0.005249034495954159,-0.0050731596951641075,-0.0140656504715231,0.034932455624803745,-0.05496044223631486,0.021466786557424886,0.06439093486890467,0.0,0.08922214482309053
3,0.0497,0.008814028972994721,-0.04967780473229456,0.03628819265846161,-0.024654882872868825,-0.007045264813136802,0.005735469902044128,-0.008177086234735204,-0.02465488287286882,0.036288192658461595,-0.04967780473229457,0.008814028972994712,0.0668339107474287,0.0,0.07316721945319979
4,0.0505,-0.0039805496370405175,-0.04259968193099138,0.03531776229475365,-0.032782133786074044,0.0011360807107043838,0.005108381472245462,-0.0026504429140105008,-0.032782133786074044,0.03531776229475364,-0.04259968193099138,-0.003980549637040529,0.06900777005598518,0.0,0.05077700623204132
5,0.0613,-0.016711079713343163,-0.03398189563231352,0.03208337164040238,-0.037635834103268324,0.009154666615408922,0.003489516495920089,0.005673631187488444,-0.03763583410326831,0.03208337164040237,-0.033981895632313505,-0.016711079713343163,0.07090375943038862,0.0,0.03407622634448562
6,0.0621,-0.02917272226145911,-0.02413591508651835,0.02679235353673469,-0.038731304161135814,0.015861717135692465,0.0011931726276649117,0.008009426711568459,-0.038731304161135814,0.026792353536734686,-0.024135915086518345,-0.029172722261459103,0.07251424439060601,0.0,0.03339068959381578
7,0.0629,-0.041164964787917736,-0.013417599683983037,0.019783875986066447,-0.035959152768601337,0.020296352487287946,-0.0013348220353684287,0.0018916099352824958,-0.035959152768601337,0.019783875986066443,-0.013417599683983041,-0.04116496478791773,0.0738327400821131,0.0,0.046725626381725185
8,0.0636,-0.05249484762131132,-0.00221433726965358,0.01150720060186446,-0.02959620076662916,0.021823248477085805,-0.0036036651069127463,-0.00622272139719536,-0.029596200766629156,0.01150720060186446,-0.002214337269653589,-0.05249484762131131,0.07485393738811508,0.0,0.06060626395726317
9,0.0544,-0.06298006870564023,0.009068957063000632,0.0024928837724977,-0.02027783831787223,0.02022365567344866,-0.005172867684889597,-0.007769232579811342,-0.02027783831787224,0.0024928837724977043,0.009068957063000633,-0.06298006870564023,0.07557372430748588,0.0,0.061767366072653415
10,0.0652,-0.07245191690863666,0.020024475658460845,-0.006681233381222063,-0.00893457626543293,0.015726738354090802,-0.005737773916551439,-0.0011156462440575295,-0.008934576265432932,-0.006681233381222058,0.020024475658460845,-0.07245191690863666,0.07598920251234553,0.0,0.048800468784338316
11,0.036,-0.08075798664703779,0.030256257530361853,-0.015427066122657462,0.003300872599789052,0.008976743484295075,-0.005188708994996519,0.0067154576783170295,0.003300872599789052,-0.015427066122657457,0.030256257530361843,-0.08075798664703779,0.07609869901860346,0.0,0.03286462103346994
12,0.0268,-0.08776463014947182,0.03939449942320549,-0.023183983858341965,0.015206703706237031,0.0009407032333702358,-0.0036322721855062846,0.007458679074716024,0.015206703706237026,-0.02318398385834195,0.0393944994232055,-0.08776463014947182,0.07590177292247513,0.0,0.026849555467635403
13,0.0276,-0.09335910789912878,0.047108921465527386,-0.02945474801509491,0.025594027374890933,-0.007230106051604153,-0.001370640906151419,0.00032957908768428316,0.02559402737489093,-0.029454748015094904,0.04710892146552739,-0.09335910789912877,0.07539921717584577,0.0,0.033236284168731166
14,0.0184,-0.09745140265478881,0.053120704344987446,-0.033837386323994086,0.03342558868487292,-0.01436510045459973,0.0011570960882556064,-0.007147377734789514,0.033425588684872914,-0.03383738632399408,0.05312070434498743,-0.09745140265478881,0.07459305539333315,0.0,0.04207454369313577
15,0.0091,-0.09997566786193025,0.05721256656477446,-0.036050960286818895,0.03791934543108171,-0.019442091181605836,0.0034601864370186718,-0.007080578616915054,0.037919345431081705,-0.03605096028681888,0.057212566564774456,-0.09997566786193025,0.0734865337039057,0.0,0.0408878051889139
16,0.0099,-0.10089128714844073,0.05923661756302232,-0.03595357406344182,0.03862656111055269,-0.021733727552955114,0.005091492234551568,0.0004594727879436181,0.03862656111055269,-0.03595357406344181,0.05923661756302233,-0.10089128714844073,0.07208410767986675,0.0,0.027016471348036045
17,0.0107,-0.10018352785724885,0.05911970286304088,-0.033551470363713566,0.035476614746501746,-0.02091170026853698,0.005734300479095049,0.007514570031696919,0.03547661474650174,-0.03355147036371356,0.05911970286304088,-0.10018352785724884,0.07039142439583763,0.0,0.010605810451872906
18,0.0115,-0.09786377810029136,0.05686604806670578,-0.028998630273547942,0.028784052941194946,-0.017093776355351534,0.005263811927617644,0.006638355342704577,0.028784052941194953,-0.028998630273547942,0.05686604806670578,-0.09786377810029133,0.06841529968998109,0.0,0.005314416503344831
19,0.0423,-0.09396936351952914,0.052557106130196846,-0.022586902667394018,0.019217179955409516,-0.010826927376376458,0.003771370484896204,-0.0012443636068527788,0.019217179955409516,-0.022586902667394018,0.05255710613019685,-0.09396936351952914,0.06616369071902668,0.0,0.01547029004958699
20,0.0631,-0.08856294670339564,0.04634861344193823,-0.014727295937391931,0.007731322338934673,-0.003008968023291951,0.0015467290654296868,-0.007813709218737324,0.007731322338934673,-0.014727295937391931,0.04634861344193824,-0.08856294670339564,0.06364566391760915,0.0,0.03181045319401135
21,0.0639,-0.08173151892229188,0.038464961103753526,-0.005923631287962687,-0.004526567843075112,0.005240068527786443,-0.0009782050434647476,-0.006136014094535811,-0.004526567843075112,-0.005923631287962691,0.03846496110375353,-0.08173151892229188,0.060871358490935876,0.0,0.03987404548455184
