Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.2159,1.683,5.2538
1,0.2532,1.3403,5.2521
2,0.2704,1.565,5.206
3,0.3376,1.5298,5.2205
4,0.3448,1.3185,5.2232
5,0.3420,0.9821,5.0937
6,0.3493,1.1522,5.1659
7,0.3365,1.3611,5.0957
8,0.3237,1.3898,5.0822
9,0.3609,1.2802,5.2573
10,0.3681,0.9015,5.2682
11,0.3254,0.8326,5.4958
12,0.2826,1.0079,5.4198
13,0.3098,0.9776,5.0649
14,0.2770,1.0961,4.8261
15,0.2642,0.8746,4.4106
16,0.1915,0.8835,4.5169
17,0.1687,0.9899,4.49
18,0.1659,0.9712,4.5361
19,0.1831,0.8613,4.4902
20,0.1903,0.7532,3.8229
21,0.2176,0.6987,3.5785
22,0.1948,0.7343,3.4371
23,0.1620,0.7652,3.5638
24,0.1492,0.6803,4.0119
25,0.1264,0.6535,4.0475
26,0.0237,0.4205,3.975
27,-0.1391,0.6433,4.0287
28,-0.3319,1.1414,4.0271
29,-0.6047,1.359,4.0287
30,-0.3975,1.6311,4.1974
31,-0.2302,2.1313,4.4868
32,-0.4430,2.5477,4.7959
33,-0.5858,2.9813,5.0628
34,-0.7086,3.1533,4.907
35,-0.7314,3.3616,4.7702
36,-0.5841,3.4017,4.7554
37,-0.4969,3.1222,4.8446
38,-0.3797,3.0264,4.688
39,-0.2325,3.039,4.7676
40,-0.1353,2.9634,4.827
41,-0.0480,2.6909,4.6918
42,0.0392,2.8467,4.6567
43,0.1564,2.9731,4.6107
44,0.2536,1.7236,4.5758
45,0.2408,1.2471,4.4225
46,0.2581,1.0689,4.0393
47,0.2653,1.0313,3.9834
48,0.2325,0.8052,3.9001
49,0.1997,0.7972,3.4808
50,0.2070,0.7869,3.3053
51,0.2142,0.7799,3.1876
52,0.1814,0.6734,2.7222
53,0.0586,0.6574,2.6146
54,-0.0542,0.772,2.7277
55,-0.1070,0.6338,2.7277
56,-0.1697,0.6053,2.6105
57,-0.1325,0.5768,2.7559
58,-0.1453,0.5487,3.0607
59,-0.1581,0.6029,2.9163
60,-0.1509,0.7491,2.9656
61,-0.1636,0.7737,2.9384
62,-0.2364,0.7996,2.8531
