,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_10_harmonics
0,0.427,-0.06568011567191247,0.11553932440672614,0.0671531680365532,-0.0022653430463997447,-0.005983909500810107,0.010334462505967841,0.014093816271622954,0.0007536914671429157,-0.008325526520171772,0.003903358866871374,0.023082208840014197,0.000753691467142926,0.014093816271622952,0.010334462505967841,-0.005983909500810103,-0.002265343046399744,0.0671531680365532,0.11553932440672612,-0.06568011567191248,0.0,0.2865502301244953
1,0.275,-0.06300095996657232,0.11077899019449862,0.0669572639737775,0.0017778760611156241,-0.0006727999085001383,0.011109068583932952,0.019365474432452956,0.004382684489586371,-0.0019107488402514135,0.005476094768834154,0.024253408385739913,0.00438268448958638,0.019365474432452952,0.011109068583932952,-0.0006727999085001347,0.0017778760611156248,0.0669572639737775,0.1107789901944986,-0.06300095996657233,0.0,0.3292139500349058
2,0.32,-0.06025291363647948,0.10553424764448534,0.06610288912644487,0.00579003236460072,0.004656661911455249,0.011447754052466367,0.023604046395242433,0.007706720773423281,0.004672037998560516,0.006455410832228617,0.02225053840544799,0.00770672077342329,0.02360404639524243,0.011447754052466367,0.004656661911455254,0.005790032364600718,0.06610288912644487,0.10553424764448531,-0.0602529136364795,0.0,0.3625568644995147
3,0.274,-0.05743898162994954,0.09982803068139805,0.06459844558333017,0.009701026025422372,0.009859102133477763,0.011337228870667421,0.026583417885877793,0.010494506629469012,0.010844019838875452,0.006735182965931581,0.017335716638134574,0.010494506629469018,0.02658341788587779,0.011337228870667421,0.009859102133477767,0.009701026025422369,0.06459844558333017,0.099828030681398,-0.05743898162994955,0.0,0.3848404718023277
4,0.201,-0.05456224094031785,0.09368529114014046,0.062458728335467444,0.013442524704613426,0.014792611750060124,0.010781830054213295,0.028144648952923984,0.012552061842033111,0.016062503964706223,0.0062850935181444,0.010152151071284417,0.012552061842033111,0.028144648952923984,0.010781830054213298,0.01479261175006013,0.013442524704613426,0.062458728335467444,0.09368529114014044,-0.05456224094031785,0.0,0.395090660232403
5,0.111,-0.05162583724129269,0.08713288965778287,0.05970477977932441,0.016949157456024627,0.0193226174795617,0.009803351490567826,0.028204452906300515,0.013736217235096326,0.01986863722371782,0.005153916664392168,0.001639962622800954,0.013736217235096328,0.028204452906300505,0.009803351490567828,0.019322617479561707,0.016949157456024627,0.05970477977932441,0.08713288965778286,-0.05162583724129269,0.0,0.39311777403764214
6,0.045,-0.04863298144720706,0.08019947821883075,0.05636368278177424,0.02015965687843181,0.02332555257452528,0.008440188745349998,0.02675963939613822,0.013964576695607411,0.021927752267693168,0.003464232968796272,-0.007086849490202215,0.013964576695607406,0.02675963939613822,0.008440188745349998,0.023325552574525284,0.020159656878431808,0.056363682781774255,0.08019947821883074,-0.04863298144720706,0.0,0.37946472343318843
7,0.0,-0.045586946201931176,0.07291537486738632,0.05246829434190398,0.023017929571075096,0.02669222740043327,0.006745832417718536,0.023887284607753287,0.01322125047460705,0.022058794329353818,0.0013991458779184136,-0.014886198021816543,0.013221250474607043,0.023887284607753283,0.006745832417718536,0.026692227400433272,0.023017929571075093,0.052468294341904,0.07291537486738629,-0.04558694620193118,0.0,0.3552942371433484
8,-0.054,-0.04249106230028426,0.06531243113405609,0.048056922468881394,0.025474036189779423,0.029330807844301157,0.004786769165610163,0.019740619493380126,0.011557960830591286,0.020250241085045702,-0.0008175603788170589,-0.020737373878158848,0.011557960830591279,0.019740619493380122,0.004786769165610165,0.029330807844301157,0.025474036189779423,0.048056922468881394,0.06531243113405608,-0.04249106230028426,0.0,0.3222322764807006
9,-0.072,-0.039348715045859475,0.05742389275731154,0.04317294945352616,0.02748506398025167,0.031169320309886096,0.0026398727647444285,0.014540855390365372,0.00909044308203954,0.016661115794647834,-0.0029456712827513666,-0.023874627409464198,0.009090443082039532,0.014540855390365367,0.002639872764744429,0.031169320309886096,0.02748506398025167,0.04317294945352615,0.0574238927573115,-0.03934871504585947,0.0,0.28218818248696287
