,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,all_10_harmonics
76,19.544,0.22895270403430595,0.8676322077180986,0.30071457255898687,-0.25449982704047835,-0.4456903879196825,-0.12244324304780664,-0.07155393208755353,0.04830856011981954,0.3303869739731328,-0.07353417585619368,18.54949795088947
77,20.107,0.2535549674368182,0.8140878893540363,0.2812143145658297,-0.20839799615652996,-0.3595402454544214,-0.13729912458938903,-0.1658404813371747,-0.07324126948444136,0.34996078808948117,-0.014473476334824618,18.422189165004855
78,19.438,0.27774064069361265,0.7551955915133322,0.2575603006292706,-0.15682905127150357,-0.2586704830960712,-0.14407289857451377,-0.2468632608929718,-0.18715585819681313,0.3234688354257003,0.046933147577818385,18.288064138810686
79,18.366,0.3014699868070345,0.6913421947825947,0.23010191908370492,-0.10114585232552062,-0.14721072076727648,-0.1423658270645768,-0.30814214310868754,-0.28155986125549876,0.2543982841288911,0.10073264151594725,18.16457830286131
80,17.756,0.3247040185237277,0.6229471706460405,0.19924475175634937,-0.04280919261888597,-0.02972413423374429,-0.1322783967567157,-0.34477609915076657,-0.3466118694442803,0.1518409753872731,0.1382049480346218,18.070227546689647
81,18.436,0.3474045623905893,0.5504598258556429,0.16544458320561248,0.01665052364615137,0.08897936184775489,-0.11440440383834419,-0.3538351787923524,-0.37553035430906634,0.029296653248974236,0.1532763916860202,18.02215589583561
82,19.250999999999998,0.3695343214736527,0.4743563508047549,0.12920066842575847,0.07567342999636217,0.20404003240057583,-0.08979600019798777,-0.33459484514694315,-0.36530062755014137,-0.0971040232065417,0.14350412691903908,18.033699629580138
83,19.061,0.3910569366368526,0.39513669129529266,0.09104835845914608,0.13271111923185577,0.3107472800532314,-0.0599017585458432,-0.28859392246448906,-0.31698911563187965,-0.21072277826204905,0.11047208517796375,18.11218313335276
84,19.17,0.4119370462799893,0.31332126424874995,0.05155119284153118,0.18626726434776858,0.4047324975492526,-0.026481402238296977,-0.2195115223783131,-0.23563218717464837,-0.2966038361553291,0.05953424436149151,18.257270639901346
85,19.254,0.432140344437746,0.22944753893649147,0.011292575681218015,0.23493687318387332,0.48214791904155807,0.008497780768077853,-0.13287279192882173,-0.12971112262822343,-0.34344256814400087,-0.0010531673481631643,18.460126871928566
86,19.295,0.45163363714429905,0.14406650618821132,-0.029132841677102787,0.2774431469954499,0.5398241480783271,0.042976742244532525,-0.035607017367367336,-0.010267959480896482,-0.34507353462025486,-0.061469877084567325,18.70355315008585
87,19.855,0.47038489697091673,0.05773905877335571,-0.06912794411901807,0.31267097599749655,0.5753999130661253,0.07492587948295769,0.06450657380699552,0.110245615807791,-0.30128204947102266,-0.11192328010423397,18.963153242896244
88,20.162,0.4883633156469407,-0.028967693266170613,-0.10810197261886585,0.3396961931600191,0.5874187380063771,0.10246450777928688,0.15946098833272035,0.21926632867215973,-0.21783243947374936,-0.1442356680233225,19.20945828881937
89,20.543000000000003,0.5055393546776935,-0.11548414812636405,-0.14547925021379488,0.35780981881019785,0.5753885707938768,0.12397156686446255,0.24166185916789934,0.3054290101195866,-0.10570927890892327,-0.15316970758435514,19.41081782576528
90,21.324,0.5218847938761486,-0.2012419541205891,-0.18070768520392916,0.36653666000842294,0.5398019278877887,0.13818104455327,0.3045348360055475,0.359751390544792,0.020328523394190914,-0.13727733055313676,19.53675985952629
91,21.465,0.5373727777286221,-0.2856777433466609,-0.21326692597970376,0.36564777676208454,0.48211573062994095,0.14425650050171224,0.3430513957853377,0.3765704815358204,0.1436904572870941,-0.09913444295599999,19.561450773484896
92,21.374000000000002,0.5519778595183128,-0.3682368326140053,-0.24267604702317763,0.35516648803840406,0.4046916587139105,0.14184030323488608,0.3541310193589997,0.35413292993258805,0.2481382404545596,-0.044923410956935944,19.466855942195124
93,21.42,0.5656760431341898,-0.4483768673184253,-0.2685006525550563,0.3353677600145396,0.3106994627408816,0.13107468210965376,0.33688756858830327,0.29477780102875795,0.31992328338642856,0.016569004108995686,19.245219403709918
94,20.871,0.578444822496541,-0.5255713843268105,-0.2903592929009885,0.30677099261361473,0.2039871942576042,0.11259335498915839,0.29270015886115114,0.20469273617107278,0.349596433038859,0.07537584247039453,18.900545337780848
95,19.528,0.5902632185344019,-0.5993132704661621,-0.3079290988023742,0.2701263935647178,0.08892366607394293,0.08748422446579175,0.22510285870690327,0.0932689047888937,0.3332517764123317,0.12196543438225432,18.448868995859094
96,18.391,0.6011118136541149,-0.6691180938971181,-0.32095055044849546,0.22639529744984568,-0.029780407446872822,0.0572253385179797,0.13950203823460053,-0.027878004317069816,0.2730407806594076,0.14878633487605997,17.91723853498704
97,16.382,0.6109727836423844,-0.7345272864872185,-0.329231310787626,0.17672494604800534,-0.14726526758776412,0.023597885274198475,0.042743972606931545,-0.1461186929267984,0.1768890928307054,0.15149129501114345,17.341476445193464
98,15.353,0.6198299269514125,-0.7951111562779785,-0.33264906649610865,0.12241839158904401,-0.25872107037067826,-0.011418656555991398,-0.05743271677222558,-0.24912682990057983,0.057453277255084235,0.1296418830098503,16.762932422002628
99,14.899000000000001,0.6276686913179993,-0.8504717102559975,-0.3311533346420587,0.06490031247538681,-0.3595848021341819,-0.04576303961815004,-0.15301599010473807,-0.3261640440283601,-0.0695451835106892,0.08677954719897255,16.224561222079853
100,14.259,0.6344761976728736,-0.9002452688845063,-0.32476620835785497,0.005679638262197024,-0.4457270898488917,-0.07741358315722034,-0.23636118479772125,-0.3691993755569009,-0.1873893266691267,0.029851602564874343,15.766744121243494
101,13.138,0.6402412613009691,-0.9441048552197304,-0.31358203050724964,-0.053690035607596914,-0.5136212581344787,-0.1045071791754775,-0.3008024285708897,-0.37374648604073707,-0.2805671834514509,-0.031914820466224965,15.423310127174007
102,12.065,0.6449544102178829,-0.981762342917276,-0.2977660001672909,-0.11165120483338171,-0.5604877117641044,-0.12544896421136892,-0.3411857698118314,-0.3393313492355052,-0.3368136385484879,-0.08850834971266364,15.218197751309285
103,12.953,0.6486079007323201,-1.0129703490176594,-0.2775517325084122,-0.1666833158319304,-0.5844077326195981,-0.13900620091430727,-0.35428138590203917,-0.2695416672889824,-0.34872490224752695,-0.13075605825790987,15.16313093698251
