,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_5_harmonics
0,0.374,0.12640909141681886,0.4280511698814433,-0.21124625487712084,0.11603950654077161,0.06609630785820876,-0.011131329702482345,-0.21124625487712084,0.42805116988144337,0.12640909141681886,0.0,0.8574324975387808
1,0.361,0.1348805875237846,0.43114727104376754,-0.2375583481179077,0.11712210812769493,0.05579000907429779,-0.03956955731550915,-0.23755834811790763,0.4311472710437676,0.1348805875237846,0.0,0.7902815807857726
2,0.357,0.14313047517961616,0.4314110407255414,-0.2603615182730295,0.11513212778489694,0.04319966076383735,-0.06567852449703808,-0.2603615182730295,0.43141104072554154,0.14313047517961616,0.0,0.7210132593159525
3,0.349,0.15114519984055744,0.4288407461472171,-0.27931894463794105,0.11012177066595218,0.028840713265960785,-0.08792132792317534,-0.2793189446379411,0.42884074614721723,0.1511451998405574,0.0,0.6523751587084047
4,0.266,0.15891159333503538,0.4234532723194105,-0.29415061115956054,0.1022224785028378,0.013301023578335843,-0.10498864584707941,-0.2941506111595606,0.42345327231941055,0.15891159333503538,0.0,0.5869633652238649
5,0.198,0.16641689549893154,0.415284011120368,-0.304637442492951,0.09164148136292517,-0.0027832115773900597,-0.11587581127197392,-0.304637442492951,0.4152840111203681,0.16641689549893154,0.0,0.5271093867662584
6,0.105,0.17364877514049787,0.4043866287964534,-0.31062453991595523,0.07865636117442788,-0.01875350172412415,-0.11994195163430763,-0.3106245399159551,0.40438662879645343,0.17364877514049787,0.0,0.47478263585798836
7,0.082,0.1805953503004727,0.3908327134130089,-0.31202346930478797,0.06360776964080514,-0.033956021306829676,-0.11694771374194389,-0.31202346930478797,0.39083271341300907,0.1805953503004727,0.0,0.43151322340941906
8,0.115,0.18724520777410836,0.3747113045715896,-0.30881356737539034,0.04689049158238787,-0.04776837738757053,-0.10706935329038021,-0.3088135673753904,0.37471130457158963,0.18724520777410833,0.0,0.3983386508450524
9,0.151,0.1935874218630367,0.35612830848299387,-0.3010422468963391,0.028943088149564665,-0.059625090485518215,-0.09088835957818107,-0.3010422468963392,0.3561283084829939,0.1935874218630367,0.0,0.37577660498524823
10,0.188,0.199611572326163,0.3352058022386465,-0.2888242963650755,0.010236391607521414,-0.06904074537333811,-0.06935722616234083,-0.2888242963650755,0.33520580223864654,0.199611572326163,0.0,0.3638245764713105
11,0.24,0.20530776150009442,0.31208123185077513,-0.27234018449178504,-0.00873884647959487,-0.07562986403363042,-0.0437433823625997,-0.272340184491785,0.3120812318507752,0.20530776150009442,0.0,0.36198552484234414
12,0.351,0.2106666305609752,0.2869065093296895,-0.2518333945350319,-0.027484829627493896,-0.07912268717425416,-0.015554586084500908,-0.25183339453503195,0.28690650932968953,0.2106666305609752,0.0,0.36931738782501655
13,0.368,0.2156793749010095,0.25984701472972216,-0.22760682786309983,-0.04550977562702778,-0.07937621820544298,0.013549830290281532,-0.22760682786309985,0.25984701472972216,0.2156793749010095,0.0,0.3845029599930744
14,0.566,0.22033775859440902,0.23108050971968247,-0.2000183298632591,-0.062340817960954635,-0.07638007753699132,0.041856636439177156,-0.2000183298632591,0.23108050971968247,0.22033775859440902,0.0,0.405935617842896
15,0.481,0.22463412792899748,0.20079596981489278,-0.1694754042847883,-0.07753641098635268,-0.07025692751989716,0.06769955333411962,-0.1694754042847883,0.2007959698148928,0.22463412792899748,0.0,0.43181560174607375
16,0.523,0.22856142398123938,0.16919234294221489,-0.1364291940890488,-0.09069791344507167,-0.06125745063529995,0.08955733869084696,-0.13642919408904877,0.1691923429422149,0.22856142398123938,0.0,0.46025112027928633
17,0.513,0.23211319421403329,0.13647724249341253,-0.10136781771417704,-0.1014800464203544,-0.049750086524248734,0.10614333483599568,-0.10136781771417708,0.1364772424934126,0.23211319421403329,0.0,0.48935843987793015
18,0.496,0.23528360307821278,0.10286558345256112,-0.06480915918298968,-0.10959995138554611,-0.036205948025507806,0.11648120776032149,-0.06480915918298967,0.10286558345256115,0.23528360307821278,0.0,0.517355363044836
19,0.435,0.23806744160033885,0.06857817055717982,-0.027293218549862164,-0.11484461071599895,-0.021179533760584304,0.11996241898166535,-0.027293218549862153,0.0685781705571798,0.23806744160033885,0.0,0.5426430617203951
20,0.407,0.24046013594102944,0.03384024776786502,0.010625864323521094,-0.11707643599442867,-0.00528602689501296,0.11638204713871643,0.010625864323521094,0.033840247767865,0.24046013594102944,0.0,0.5638720803141059
21,0.474,0.24245775490976543,-0.001119981424620391,0.04838799484845883,-0.11623687750609374,0.010823890532722027,0.10595085067886731,0.04838799484845883,-0.0011199814246204084,0.24245775490976543,0.0,0.5799894003727033
22,0.54,0.24405701642382657,-0.0360728531342696,0.08543539674551218,-0.11234796023228455,0.026490676610294216,0.0892828615705167,0.08543539674551216,-0.03607285313426964,0.24405701642382657,0.0,0.5902646980186647
23,0.555,0.24525529290074458,-0.07078875180851463,0.12122085083753828,-0.10551170604686166,0.041072931274918636,0.06735924033545546,0.12122085083753834,-0.07078875180851465,0.24525529290074458,0.0,0.5942952494230489
