,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_6_harmonics
0,2.508,-0.7776132494798442,-0.186329358827301,0.17131063334303426,-0.5537700879371152,-0.30222798483528446,-0.09491887031169194,-0.20474267352517997,-0.5537700879371154,0.1713106333430342,-0.18632935882730103,-0.7776132494798442,0.0,-3.2946936544746093
1,2.502,-0.8050836189511102,-0.34805369026178157,0.19413336397881398,-0.6212093120826659,-0.3357046952777057,-0.19520017507990953,-0.10662928565320114,-0.6212093120826659,0.1941333639788139,-0.34805369026178157,-0.8050836189511104,0.0,-3.7979606706443034
2,2.495,-0.831231238150416,-0.507491556049701,0.21408859259683694,-0.6723517282438624,-0.3554376160518308,-0.28399102923707403,1.2214752686645625e-05,-0.6723517282438626,0.21408859259683688,-0.5074915560497008,-0.8312312381504162,0.0,-4.233388290230503
3,2.488,-0.8560131466080747,-0.6635955626047108,0.23088156482230515,-0.7058556660371094,-0.36061887906264734,-0.35606476265346626,0.10665273823385026,-0.7058556660371096,0.23088156482230515,-0.6635955626047108,-0.8560131466080747,0.0,-4.599196524337443
4,2.481,-0.8793886277135626,-0.8153402174287706,0.24426423528705668,-0.7208421830024079,-0.35103636279371997,-0.4071787578527637,0.20476327346520032,-0.720842183002408,0.24426423528705668,-0.8153402174287707,-0.8793886277135626,0.0,-4.896065432896652
5,2.475,-0.9013192756128026,-0.96172866586982,0.2540389314541605,-0.7169181227839411,-0.3270823765869963,-0.43432419152253476,0.286497029763582,-0.7169181227839413,0.2540389314541604,-0.9617286658698198,-0.9013192756128026,0.0,-5.126763803970755
6,1.922,-0.9217690583088808,-1.1017992397491294,0.260061273396294,-0.6941864291957435,-0.28973759945225364,-0.4359031487799142,0.34531701621452265,-0.6941864291957436,0.260061273396294,-1.1017992397491292,-0.9217690583088808,0.0,-5.295710639732565
7,2.436,-0.9407043768625248,-1.2346317748385078,0.26224230640048707,-0.6532434455932035,-0.24053093095321323,-0.41182268436819064,0.37651886421399644,-0.6532434455932037,0.26224230640048707,-1.2346317748385074,-0.940704376862525,0.0,-5.408509332894905
8,2.988,-0.9580941205950707,-1.3593536556860133,0.2605498148989868,-0.5951632703987035,-0.18147689787976398,-0.3635002938756793,0.37760707855751635,-0.5951632703987038,0.2605498148989869,-1.359353655686013,-0.9580941205950707,0.0,-5.471492576759529
9,3.028,-0.9739097182032279,-1.475145548079968,0.2550087983184562,-0.5214695791986078,-0.11499317928448699,-0.29378047291379517,0.3484946248593063,-0.5214695791986079,0.25500879831845624,-1.4751455480799678,-0.9739097182032277,0.0,-5.49131112166567
10,3.266,-0.9881251847016543,-1.5812467814930464,0.245701101818838,-0.4340956526308381,-0.04380162641817831,-0.2067672759950203,0.2915098904827035,-0.43409565263083816,0.2457011018188381,-1.5812467814930462,-0.9881251847016543,0.0,-5.474592045943896
11,3.046,-1.0007171641162198,-1.6769603461476061,0.23276420737616313,-0.3353336586916213,0.029183170180163226,-0.10758273152581335,0.21121046225295517,-0.33533365869162146,0.2327642073761632,-1.6769603461476057,-1.00071716411622,0.0,-5.427683022251263
12,3.087,-1.0116649678578105,-1.7616574718750921,0.21638920306595646,-0.2277745199896082,0.10097320436245195,-0.002065333806380095,0.11401861484025928,-0.2277745199896083,0.21638920306595652,-1.7616574718750915,-1.0116649678578107,0.0,-5.356489027916777
13,3.522,-1.0209506087136253,-1.8347817586896478,0.19681796054251743,-0.11423994347009973,0.16862938369429414,0.10357363970614765,0.007707663118071306,-0.11423994347009984,0.19681796054251754,-1.8347817586896478,-1.0209506087136253,0.0,-5.266398014143197
14,3.512,-1.0285588304001199,-1.8958528319410155,0.1743395624049201,0.0022916042580887384,0.22938185624458068,0.20311575500037066,-0.09921974043572841,0.002291604258088744,0.1743395624049202,-1.895852831941015,-1.0285588304001196,0.0,-5.162283120547029
15,3.036,-1.0344771326290412,-1.9444694980349455,0.14928603222033732,0.11876303402950514,0.28074340864899033,0.29070146938356434,-0.19821164009078535,0.1187630340295052,0.1492860322203374,-1.9444694980349455,-1.0344771326290412,0.0,-5.048561890886518
16,3.0,-1.038695791645367,-1.980312379990288,0.12202743027559351,0.2321188338134551,0.3206112929173604,0.3611750532312962,-0.2813507544451641,0.232118833813455,0.12202743027559365,-1.9803123799902873,-1.0386957916453667,0.0,-4.929288223389719
17,3.914,-1.0412078762034114,-2.0031460155190173,0.09296638749654204,0.339385227030836,0.34735331318346635,0.4103880818085231,-0.3419876933351748,0.339385227030836,0.09296638749654212,-2.0031460155190164,-1.0412078762034114,0.0,-4.808250852733286
18,3.354,-1.0420092589548409,-2.0128204038463,0.06253215827356227,0.437748186622753,0.35987464799555985,0.43544363212808324,-0.37527276996606923,0.4377481866227532,0.06253215827356239,-2.0128204038462996,-1.0420092589548409,0.0,-4.689053125652077
19,2.91,-1.0410986232298995,-2.0092719911090966,0.031174280037609674,0.5246272582494801,0.3576626724352394,0.4348668102081358,-0.378543874416833,0.5246272582494802,0.03117428003760978,-2.009271991109096,-1.0410986232298995,0.0,-4.5751525438772696
