X,Z
0.0,1000.0
0.2,1000.0070835349258
0.4,1000.0141670027951
0.6000000000000001,1000.0212503365518
0.8,1000.0283334691412
1.0,1000.0354163335104
1.2000000000000002,1000.0424988626087
1.4000000000000001,1000.0495809893887
1.6,1000.0566626468062
1.8,1000.0637437678217
2.0,1000.0708242854002
2.2,1000.0779041325122
2.4000000000000004,1000.0849832421342
2.6,1000.0920615472492
2.8000000000000003,1000.0991389808473
3.0,1000.106215475927
3.2,1000.1132909654943
3.4000000000000004,1000.1203653825655
3.6,1000.127438660165
3.8000000000000003,1000.1345107313286
4.0,1000.141581529102
4.2,1000.1486509865434
4.4,1000.1557190367217
4.6000000000000005,1000.1627856127196
4.800000000000001,1000.1698506476322
5.0,1000.1769140745688
5.2,1000.183975826653
5.4,1000.1910358370233
5.6000000000000005,1000.1980940388341
5.800000000000001,1000.205150365256
6.0,1000.2122047494757
6.2,1000.2192571246984
6.4,1000.2263074241463
6.6000000000000005,1000.2333555810609
6.800000000000001,1000.2404015287026
7.0,1000.2474452003515
7.2,1000.2544865293083
7.4,1000.2615254488946
7.6000000000000005,1000.2685618924539
7.800000000000001,1000.2755957933513
8.0,1000.2826270849748
8.200000000000001,1000.2896557007364
8.4,1000.2966815740713
8.6,1000.3037046384397
8.8,1000.3107248273271
9.0,1000.3177420742443
9.200000000000001,1000.3247563127287
9.4,1000.3317674763448
9.600000000000001,1000.3387754986843
9.8,1000.3457803133678
10.0,1000.3527818540433
10.200000000000001,1000.3597800543896
10.4,1000.3667748481145
10.600000000000001,1000.3737661689568
10.8,1000.380753950686
11.0,1000.3877381271034
11.200000000000001,1000.3947186320431
11.4,1000.4016953993716
11.600000000000001,1000.408668362989
11.8,1000.4156374568295
12.0,1000.422602614862
12.200000000000001,1000.4295637710907
12.4,1000.4365208595555
12.600000000000001,1000.443473814333
12.8,1000.4504225695364
13.0,1000.4573670593174
13.200000000000001,1000.4643072178648
13.4,1000.4712429794071
13.600000000000001,1000.4781742782118
13.8,1000.4851010485862
14.0,1000.4920232248787
14.200000000000001,1000.4989407414786
14.4,1000.5058535328167
14.600000000000001,1000.5127615333666
14.8,1000.5196646776445
15.0,1000.5265629002105
15.200000000000001,1000.5334561356682
15.4,1000.5403443186663
15.600000000000001,1000.5472273838986
15.8,1000.5541052661052
16.0,1000.5609779000721
16.2,1000.5678452206325
16.400000000000002,1000.5747071626671
16.6,1000.5815636611051
16.8,1000.5884146509243
17.0,1000.5952600671517
17.2,1000.6020998448647
17.400000000000002,1000.6089339191906
17.6,1000.6157622253085
17.8,1000.6225846984482
18.0,1000.6294012738932
18.2,1000.6362118869783
18.400000000000002,1000.6430164730932
18.6,1000.6498149676802
18.8,1000.656607306237
19.0,1000.6633934243166
19.200000000000003,1000.6701732575272
19.400000000000002,1000.6769467415338
19.6,1000.6837138120577
19.8,1000.6904744048782
20.0,1000.6972284558324
20.200000000000003,1000.7039759008163
20.400000000000002,1000.710716675785
20.6,1000.7174507167525
20.8,1000.7241779597948
21.0,1000.7308983410472
21.200000000000003,1000.7376117967077
21.400000000000002,1000.7443182630356
21.6,1000.7510176763531
21.8,1000.7577099730454
22.0,1000.764395089562
22.200000000000003,1000.7710729624162
22.400000000000002,1000.7777435281862
22.6,1000.7844067235161
22.8,1000.7910624851158
23.0,1000.7977107497617
23.200000000000003,1000.8043514542975
23.400000000000002,1000.8109845356347
23.6,1000.8176099307532
23.8,1000.8242275767012
24.0,1000.8308374105972
24.200000000000003,1000.8374393696288
24.400000000000002,1000.8440333910548
24.6,1000.8506194122052
24.8,1000.8571973704813
25.0,1000.8637672033565
25.200000000000003,1000.8703288483775
25.400000000000002,1000.8768822431643
25.6,1000.8834273254105
25.8,1000.8899640328841
26.0,1000.896492303429
26.200000000000003,1000.9030120749635
26.400000000000002,1000.909523285483
26.6,1000.9160258730594
26.8,1000.9225197758414
27.0,1000.929004932056
27.200000000000003,1000.9354812800084
27.400000000000002,1000.9419487580828
27.6,1000.948407304743
27.8,1000.9548568585324
28.0,1000.9612973580754
28.200000000000003,1000.9677287420773
28.400000000000002,1000.9741509493251
28.6,1000.9805639186884
28.8,1000.9869675891189
29.0,1000.9933618996522
29.200000000000003,1000.9997467894075
29.400000000000002,1001.0061221975883
29.6,1001.0124880634836
29.8,1001.0188443264674
30.0,1001.0251909259996
30.200000000000003,1001.0315278016274
30.400000000000002,1001.0378548929845
30.6,1001.0441721397924
30.8,1001.050479481861
31.0,1001.0567768590889
31.200000000000003,1001.0630642114638
31.400000000000002,1001.0693414790635
31.6,1001.075608602056
31.8,1001.0818655207
32.0,1001.0881121753463
32.2,1001.0943485064369
32.4,1001.1005744545066
32.6,1001.1067899601836
32.800000000000004,1001.112994964189
33.0,1001.1191894073387
33.2,1001.1253732305427
33.4,1001.131546374806
33.6,1001.1377087812302
33.800000000000004,1001.1438603910124
34.0,1001.1500011454463
34.2,1001.1561309859235
34.4,1001.1622498539327
34.6,1001.1683576910618
34.800000000000004,1001.1744544389966
35.0,1001.1805400395228
35.2,1001.1866144345257
35.4,1001.1926775659915
35.6,1001.1987293760067
35.800000000000004,1001.2047698067598
36.0,1001.2107988005409
36.2,1001.2168162997428
36.4,1001.222822246861
36.6,1001.2288165844948
36.800000000000004,1001.2347992553476
37.0,1001.2407702022269
37.2,1001.2467293680456
37.4,1001.2526766958223
37.6,1001.2586121286812
37.800000000000004,1001.2645356098534
38.0,1001.2704470826774
38.2,1001.2763464905984
38.400000000000006,1001.2822337771706
38.6,1001.2881088860564
38.800000000000004,1001.2939717610275
39.0,1001.2998223459647
39.2,1001.3056605848599
39.400000000000006,1001.3114864218147
39.6,1001.3172998010423
39.800000000000004,1001.3231006668675
40.0,1001.328888963727
40.2,1001.3346646361705
40.400000000000006,1001.3404276288602
40.6,1001.3461778865726
40.800000000000004,1001.351915354198
41.0,1001.3576399767413
41.2,1001.3633516993227
41.400000000000006,1001.3690504671775
41.6,1001.3747362256577
41.800000000000004,1001.3804089202312
42.0,1001.3860684964837
42.2,1001.3917149001178
42.400000000000006,1001.3973480769548
42.6,1001.4029679729338
42.800000000000004,1001.4085745341132
43.0,1001.4141677066712
43.2,1001.4197474369056
43.400000000000006,1001.4253136712346
43.6,1001.4308663561975
43.800000000000004,1001.436405438455
44.0,1001.4419308647899
44.2,1001.4474425821071
44.400000000000006,1001.4529405374341
44.6,1001.4584246779219
44.800000000000004,1001.4638949508459
45.0,1001.469351303605
45.2,1001.4747936837229
45.400000000000006,1001.4802220388488
45.6,1001.4856363167576
45.800000000000004,1001.4910364653497
46.0,1001.4964224326532
46.2,1001.5017941668225
46.400000000000006,1001.5071516161394
46.6,1001.5124947290144
46.800000000000004,1001.5178234539858
47.0,1001.5231377397212
47.2,1001.5284375350174
47.400000000000006,1001.5337227888009
47.6,1001.5389934501293
47.800000000000004,1001.5442494681901
48.0,1001.549490792302
48.2,1001.5547173719159
48.400000000000006,1001.5599291566145
48.6,1001.5651260961133
48.800000000000004,1001.5703081402606
49.0,1001.575475239038
49.2,1001.5806273425615
49.400000000000006,1001.5857644010811
49.6,1001.5908863649817
49.800000000000004,1001.5959931847837
50.0,1001.6010848111426
50.2,1001.6061611948508
50.400000000000006,1001.6112222868368
50.6,1001.616268038166
50.800000000000004,1001.6212984000417
51.0,1001.6263133238049
51.2,1001.6313127609349
51.400000000000006,1001.6362966630495
51.6,1001.6412649819066
51.800000000000004,1001.6462176694026
52.0,1001.6511546775746
52.2,1001.6560759586002
52.400000000000006,1001.6609814647977
52.6,1001.665871148627
52.800000000000004,1001.6707449626895
53.0,1001.6756028597291
53.2,1001.680444792632
53.400000000000006,1001.6852707144276
53.6,1001.6900805782889
53.800000000000004,1001.6948743375326
54.0,1001.6996519456197
54.2,1001.7044133561562
54.400000000000006,1001.709158522893
54.6,1001.7138873997264
54.800000000000004,1001.7185999406992
55.0,1001.7232960999996
55.2,1001.7279758319639
55.400000000000006,1001.7326390910747
55.6,1001.7372858319623
55.800000000000004,1001.7419160094053
56.0,1001.7465295783304
56.2,1001.7511264938134
56.400000000000006,1001.7557067110791
56.6,1001.7602701855021
56.800000000000004,1001.764816872607
57.0,1001.7693467280686
57.2,1001.7738597077131
57.400000000000006,1001.778355767517
57.6,1001.7828348636091
57.800000000000004,1001.7872969522701
58.0,1001.7917419899331
58.2,1001.7961699331838
58.400000000000006,1001.8005807387613
58.6,1001.804974363558
58.800000000000004,1001.8093507646204
59.0,1001.8137098991494
59.2,1001.8180517245005
59.400000000000006,1001.8223761981844
59.6,1001.8266832778672
59.800000000000004,1001.8309729213711
60.0,1001.8352450866738
60.2,1001.8394997319107
60.400000000000006,1001.8437368153733
60.6,1001.847956295511
60.800000000000004,1001.8521581309305
61.0,1001.8563422803971
61.2,1001.8605087028342
61.400000000000006,1001.8646573573241
61.6,1001.8687882031084
61.800000000000004,1001.8729011995882
62.0,1001.8769963063246
62.2,1001.8810734830391
62.400000000000006,1001.8851326896137
62.6,1001.8891738860912
62.800000000000004,1001.8931970326765
63.0,1001.8972020897354
63.2,1001.9011890177965
