,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_70,harmonic_71,harmonic_72,harmonic_73,harmonic_74,all_11_harmonics
6,3.5380000000000003,0.10480863924250314,-0.0866113329802203,0.00029235024012366247,0.08349607941902523,0.05777268591860177,0.009226618576334805,0.08349607941902523,0.000292350240123673,-0.0866113329802203,0.10480863924250311,0.0,3.6321654923287157
7,3.6,0.09145860025728887,-0.07820122847218217,0.027606783880277645,0.09757742168801742,0.020791282266044406,-0.006213942915302589,0.09757742168801742,0.027606783880277663,-0.07820122847218217,0.09145860025728884,0.0,3.631114367887541
8,3.6010000000000004,0.07744959996145188,-0.0675414170016176,0.05313963839951094,0.10051102077272848,-0.01988146841355926,-0.02007633830320908,0.10051102077272848,0.05313963839951096,-0.0675414170016176,0.07744959996145186,0.0,3.6000033960856785
9,3.603,0.06288257352313914,-0.05493856193626489,0.07524317385440082,0.09196172732573497,-0.05702440316441841,-0.028839910443297544,0.09196172732573497,0.07524317385440085,-0.05493856193626489,0.06288257352313911,0.0,3.5488976678538324
10,3.605,0.047862476701641364,-0.040755224470393765,0.09249095834198687,0.07290625630942707,-0.08404305320803558,-0.030278959375397915,0.07290625630942707,0.09249095834198688,-0.040755224470393765,0.04786247670164134,0.0,3.4895714759979004
11,3.4160000000000004,0.03249752963874213,-0.025399433399359825,0.10376992150758804,0.04552160208859231,-0.09614044584031765,-0.02402800728981576,0.04552160208859231,0.10376992150758806,-0.025399433399359825,0.032497529638742105,0.0,3.433146996639139
12,3.4,0.016898437130116576,-0.00931294687405829,0.10835218554520518,0.012936327471748678,-0.09116877344859435,-0.011674619574900227,0.012936327471748678,0.1083521855452052,-0.00931294687405829,0.016898437130116562,0.0,3.388059108297485
13,3.32,0.001177590994741759,0.007041456176770211,0.10594203814110532,-0.021126859288171443,-0.07001072175988353,0.003643791980464223,-0.021126859288171443,0.10594203814110534,0.007041456176770211,0.0011775909947417472,0.0,3.3586956571777735
14,3.145,-0.014551739710734616,0.02319328935374003,0.09669501600366076,-0.05277640570424242,-0.036422755151890564,0.018036783223637873,-0.05277640570424242,0.09669501600366077,0.02319328935374003,-0.014551739710734616,0.0,3.3449234582297156
15,3.195,-0.030176224798142796,0.03867789382391837,0.08120786744090362,-0.07839650589389632,0.003631817374215645,0.027848940640065406,-0.07839650589389632,0.08120786744090362,0.03867789382391837,-0.03017622479814281,0.0,3.342538344542646
16,3.484,-0.04558328949439376,0.053049805709446604,0.06048004174188041,-0.09506018871638115,0.04304158607843442,0.030588253207092676,-0.09506018871638115,0.06048004174188042,0.053049805709446604,-0.04558328949439376,0.0,3.344504559286622
17,3.602,-0.06066192554529897,0.0658955712722522,0.035849190610158295,-0.10086370991000376,0.07480962163810995,0.02555901285341435,-0.10086370991000376,0.035849190610158295,0.0658955712722522,-0.06066192554529898,0.0,3.3427061447790845
18,3.4139999999999997,-0.07530349103258549,0.07684564122531969,0.008904844006817972,-0.09514404556296323,0.09329573110517064,0.014038504671905205,-0.09514404556296323,0.008904844006817963,0.07684564122531969,-0.07530349103258549,0.0,3.329846008132168
19,3.383,-0.08940249314140672,0.08558500199284153,-0.018614168744756156,-0.07855463935247577,0.09521783479113423,-0.0010473874409093124,-0.07855463935247577,-0.018614168744756174,0.08558500199284153,-0.08940249314140672,0.0,3.301111719739324
20,3.198,-0.10285734823849071,0.09186223807725019,-0.04493193275497859,-0.052990749800595,0.08023467660433364,-0.015867272707628426,-0.052990749800595,-0.04493193275497861,0.09186223807725019,-0.10285734823849071,0.0,3.255282416423688
