,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_69,harmonic_70,harmonic_71,harmonic_72,harmonic_73,harmonic_74,all_7_harmonics
0,3.445,0.16610040534973292,-0.08150895856620208,-0.10832737015331415,-0.0881168227358267,-0.004561682043996441,-0.006712139579499415,0.02377392468550079,0.016424702781453443,-0.004561682043996459,-0.0881168227358267,-0.10832737015331415,-0.08150895856620208,0.16610040534973292,0.0,-0.19934236841175812
1,3.376,0.15851170659441954,-0.08904440351894677,-0.1035987078925953,-0.06673258201902595,0.03555916580474321,0.008739322249044022,0.01860379069668436,0.009390753330232446,0.0355591658047432,-0.06673258201902595,-0.1035987078925953,-0.08904440351894677,0.15851170659441952,0.0,-0.09387577578684972
2,3.397,0.149780927360806,-0.09401820310518876,-0.09218439562149379,-0.03772447019041622,0.0693667319954316,0.021971242905257433,0.007052915523930841,-0.001812019079641843,0.06936673199543157,-0.03772447019041622,-0.09218439562149379,-0.09401820310518876,0.14978092736080595,0.0,0.01765332022782401
3,3.4,0.1399709731133358,-0.09628727016660595,-0.07482104577954815,-0.004406522149998992,0.09085871915396783,0.02962308803092071,-0.00691697356292759,-0.012210384593169539,0.0908587191539678,-0.004406522149998992,-0.07482104577954815,-0.09628727016660595,0.13997097311333578,0.0,0.12112543821712464
4,3.402,0.12915252479715666,-0.0957863277751214,-0.0526291866282829,0.02941484949409876,0.09621937499110782,0.029751504947562665,-0.018514474204830964,-0.017188212495287986,0.09621937499110779,0.02941484949409876,-0.0526291866282829,-0.0957863277751214,0.12915252479715666,0.0,0.20679128800536156
5,3.589,0.1174035295802907,-0.09252978713127459,-0.027040949961454463,0.05987571844923519,0.08449695248450638,0.022323879383093537,-0.023761867495829748,-0.01453570315514449,0.08449695248450635,0.05987571844923519,-0.027040949961454463,-0.09252978713127459,0.1174035295802907,0.0,0.2684372355747257
6,3.538,0.10480863924250311,-0.08661133298022036,0.000292350240123685,0.08349607941902522,0.05777268591860175,0.009226618576334805,-0.02085939880386615,-0.005430381042435545,0.05777268591860175,0.08349607941902522,0.000292350240123685,-0.08661133298022036,0.10480863924250308,0.0,0.3024536824100999
7,3.6,0.09145860025728887,-0.07820122847218221,0.027606783880277676,0.09757742168801742,0.020791282266044382,-0.0062139429153025855,-0.010802558877027378,0.006085641933968706,0.020791282266044386,0.09757742168801742,0.027606783880277676,-0.07820122847218221,0.09145860025728884,0.0,0.307534859380531
8,3.601,0.07744959996145187,-0.06754141700161766,0.05313963839951097,0.10051102077272847,-0.019881468413559287,-0.020076338303209075,0.0029593502715823364,0.014900075067650082,-0.019881468413559263,0.10051102077272847,0.05313963839951097,-0.06754141700161766,0.07744959996145184,0.0,0.28513783447305213
9,3.603,0.06288257352313913,-0.05493856193626495,0.07524317385440087,0.09196172732573497,-0.05702440316441844,-0.028839910443297544,0.015706259388024082,0.017099940355352304,-0.05702440316441841,0.09196172732573497,0.07524317385440087,-0.05493856193626495,0.06288257352313911,0.0,0.240215308505262
10,3.605,0.047862476701641364,-0.040755224470393814,0.0924909583419869,0.07290625630942707,-0.0840430532080356,-0.03027895937539791,0.02306622464142693,0.011708654918703626,-0.08404305320803557,0.07290625630942707,0.0924909583419869,-0.040755224470393814,0.04786247670164134,0.0,0.18141874753398451
11,3.416,0.03249752963874212,-0.025399433399359878,0.10376992150758806,0.04552160208859232,-0.09614044584031765,-0.02402800728981576,0.022514919986072506,0.0011195639681034614,-0.09614044584031761,0.04552160208859232,0.10376992150758806,-0.025399433399359878,0.032497529638742105,0.0,0.12010482465485017
12,3.4,0.016898437130116586,-0.009312946874058337,0.1083521855452052,0.01293632747174869,-0.09116877344859434,-0.011674619574900225,0.014241432279401275,-0.00996653332584138,-0.09116877344859432,0.01293632747174869,0.1083521855452052,-0.009312946874058337,0.016898437130116576,0.0,0.06801073902749527
13,3.32,0.0011775909947417712,0.0070414561767701694,0.10594203814110534,-0.021126859288171426,-0.0700107217598835,0.0036437919804642198,0.0010834081390008578,-0.016628202516325193,-0.07001072175988349,-0.021126859288171426,0.10594203814110534,0.0070414561767701694,0.001177590994741759,0.0,0.03414600613226459
