Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,-0.063,1.687,3.445
1,-0.030,1.798,3.376
2,-0.018,1.813,3.397
3,-0.025,1.867,3.400
4,-0.002,1.790,3.402
5,0.030,1.601,3.589
6,0.003,1.600,3.538
7,0.016,1.600,3.600
8,0.018,1.600,3.601
9,0.021,1.600,3.603
10,0.104,1.601,3.605
11,0.096,1.659,3.416
12,0.019,1.801,3.400
13,0.042,1.805,3.320
14,0.008,1.810,3.145
15,-0.018,1.605,3.195
16,0.070,1.805,3.484
17,0.092,1.811,3.602
18,0.075,1.624,3.414
19,0.037,1.604,3.383
20,0.043,1.809,3.198
21,0.061,1.804,2.998
22,0.067,1.990,2.999
23,0.062,2.024,3.001
24,0.037,2.026,3.003
25,0.049,1.991,3.133
26,0.010,1.636,2.991
27,-0.005,1.608,2.825
28,0.014,1.614,3.007
29,-0.021,1.543,3.001
30,-0.064,1.419,3.003
31,-0.013,1.538,3.149
32,-0.032,1.807,3.104
33,-0.060,1.808,3.023
34,-0.098,1.608,3.023
35,-0.141,1.595,3.006
36,-0.204,1.311,2.909
37,-0.212,1.405,2.582
38,-0.220,1.650,2.802
39,-0.219,1.800,2.802
40,-0.187,1.642,2.887
41,-0.143,1.801,3.099
42,-0.086,1.803,2.993
43,-0.049,1.804,2.997
44,0.031,1.905,3.002
45,0.049,1.808,3.006
46,0.042,1.814,3.171
47,0.072,1.808,3.288
48,0.057,1.802,3.205
49,0.084,1.800,3.183
50,0.089,1.804,3.213
51,0.072,1.806,3.206
52,0.092,1.804,3.197
53,0.075,1.808,3.062
54,0.098,1.800,3.403
55,0.146,1.800,3.259
56,0.085,1.803,3.203
57,0.047,1.667,3.590
58,-0.088,1.418,3.800
59,-0.090,0.992,3.802
60,-0.093,1.189,3.814
61,-0.102,1.204,4.158
62,-0.035,1.603,4.401
63,-0.010,1.599,4.675
64,0.012,1.611,4.496
65,0.042,1.623,4.196
66,0.032,1.556,4.067
67,0.040,1.563,3.698
68,0.042,1.500,3.472
69,0.061,1.472,3.412
70,0.070,1.462,3.226
71,0.016,1.305,2.869
72,-0.007,1.220,2.846
73,0.007,1.055,2.766
