,raw_series,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_89,harmonic_90,harmonic_91,harmonic_92,all_8_harmonics
92,-0.2,-0.1565222491033646,0.11945409283125234,-0.15269865566916507,0.10592856447619092,0.11945409283125236,-0.1565222491033646,-0.13365297476774476,-0.06119570986620638,-0.6468395734180441
91,-0.7,-0.2580120128580468,0.14614941737453688,-0.12357132127225122,0.09931405260487915,0.14614941737453688,-0.2580120128580468,-0.06851480408600519,-0.06718440987679686,-0.6078974416835327
90,-0.6,-0.3489387344911962,0.1622359439188832,-0.080476517456149,0.07660228441364147,0.16223594391888324,-0.34893873449119617,-0.0021275904595528857,-0.07286656283454526,-0.5386137969760298
89,-0.85,-0.4255798633357157,0.16654597221834247,-0.02828532068285704,0.041474482694861814,0.1665459722183425,-0.4255798633357157,0.06429840970198755,-0.07821624237876479,-0.44604160419648553
88,-0.8,-0.48479770257176036,0.15876664286902467,0.027103012348121406,-0.00037568470293880557,0.15876664286902467,-0.48479770257176025,0.12955223290022969,-0.08320903914869844,-0.3387516289087692
87,-0.85,-0.5241678669032055,0.13946264737033293,0.07942784737452462,-0.0421649594798055,0.13946264737033295,-0.5241678669032055,0.1924442847319115,-0.08782217215783356,-0.2256661748528731
86,-0.65,-0.5420785371765242,0.11003523789622026,0.12277482234558859,-0.07711995307829671,0.11003523789622026,-0.5420785371765242,0.25182802650854375,-0.09203459273831831,-0.1148809008523434
85,-0.15,-0.5377964484463124,0.0726205122043866,0.15224435747945816,-0.09957500714636734,0.07262051220438659,-0.5377964484463122,0.30662087695902424,-0.09582708058120533,-0.012621403606886595
84,0.05,-0.5114969099283089,0.029934357050871146,0.16450546281388187,-0.10589050824029238,0.029934357050871146,-0.5114969099283088,0.3558239479716688,-0.09918233143431307,0.07753371581622591
83,0.1,-0.4642566278195053,-0.014924694532104281,0.15817224547306286,-0.09504281230133883,-0.0149246945321043,-0.4642566278195053,0.398540254587878,-0.1020850360575596,0.15506235541866262
82,0.1,-0.3980096248199336,-0.05870038175871561,0.13396055941585036,-0.06879016136504898,-0.05870038175871562,-0.39800962481993346,0.43399106727445214,-0.10452195007551379,0.22248324022330634
81,0.0,-0.3154680610160885,-0.09821508386663245,0.09460709128692328,-0.03138769999671704,-0.09821508386663245,-0.3154680610160885,0.4615301083683196,-0.10648195440844269,0.2849081095450439
80,0.25,-0.22001119772832148,-0.1306004795160795,0.044560028230115546,0.011102217163498145,-0.13060047951607953,-0.22001119772832148,0.48065533388874815,-0.10795610600612196,0.3492073697489254
79,0.35,-0.11554705015533888,-0.15350575454212445,-0.010523728010955103,0.05179263837411868,-0.15350575454212445,-0.11554705015533885,0.4910180859314934,-0.10893767865292305,0.42288310644614996
78,0.45,-0.006352392772794797,-0.165268244527579,-0.06441796998888195,0.08408828207313802,-0.165268244527579,-0.006352392772794873,0.492429448794329,-0.10942219365799223,0.5127816830101466
77,0.3,0.10310233231624195,-0.16503412547189697,-0.1110309430072937,0.10275452897955249,-0.16503412547189697,0.10310233231624195,0.4848636929601126,-0.10940744029048982,0.6238019135943278
76,0.45,0.2083360358062421,-0.15282039177583653,-0.14509390616038031,0.10476587209709623,-0.1528203917758365,0.20833603580624216,0.46845874415266686,-0.10889348586664785,0.7577609640453843
75,0.6,0.30504043751188986,-0.12951362263979416,-0.1627566667718051,0.08979630413011258,-0.12951362263979416,0.30504043751188975,0.4435136689144663,-0.10788267544262173,0.912567634029514
74,0.75,0.3892564478650713,-0.09680562642136677,-0.1620227739971605,0.06027215817288963,-0.09680562642136677,0.3892564478650713,0.4104832225447088,-0.10637962111453662,1.0818225399825057
73,0.95,0.4575362535069661,-0.057070634445350515,-0.14297518094224237,0.020978837022261533,-0.0570706344453505,0.4575362535069661,0.36996955879029914,-0.1043911809745508,1.2549199938193445
72,1.4,0.5070844711720586,-0.013192958609361136,-0.10776686833724426,-0.02171482585225977,-0.013192958609361136,0.5070844711720585,0.32271125242426596,-0.10192642781895417,1.4176717932994383
71,1.65,0.5358725910074714,0.03164237710245507,-0.06037748958838052,-0.06088885471207563,0.03164237710245509,0.5358725910074714,0.2695698348328988,-0.09899660775107956,1.5534146267088897
70,1.75,0.5427220240046824,0.07418083340882073,-0.006163544016482925,-0.0901937515042826,0.07418083340882074,0.5427220240046824,0.21151408807140434,-0.09561508886791267,1.644506802936849
69,1.45,0.5273523535720116,0.11133459854662495,0.04874707705971215,-0.10487965029631321,0.11133459854662496,0.5273523535720115,0.1496023837115883,-0.09179730026453185,1.6740728257798738
