,raw_series,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_89,harmonic_90,harmonic_91,harmonic_92,all_8_harmonics
0,-0.09,-0.009724889215961458,0.01681754990398495,-0.03291324203920586,0.019074742198669333,0.01681754990398495,-0.009724889215961458,-0.03927092329547624,-0.010985557573470616,-0.1301830092933172
1,-0.13,0.012252809495877436,0.008523516951491594,-0.03156651513425286,0.013872053800980295,0.008523516951491589,0.01225280949587744,-0.051095332350631614,-0.009681848594141246,-0.12377104207503091
2,-0.11,0.03372887674731113,-0.000389227120096891,-0.02665177317314759,0.006420922208584575,-0.0003892271200968934,0.03372887674731111,-0.06198826002403778,-0.008333963560306981,-0.11060076713994227
3,-0.09,0.05382407982173516,-0.009273717696276398,-0.018724537512610804,-0.002070940558211055,-0.009273717696276405,0.05382407982173516,-0.07175112537192298,-0.006948052562226088,-0.09185060151815004
4,0.01,0.0717157187441965,-0.017485041047390272,-0.008680836620472055,-0.010227136215322999,-0.017485041047390286,0.0717157187441965,-0.08020594878468856,-0.005530439193910074,-0.06931221541670878
5,-0.02,0.08667130771503126,-0.024427147785758187,0.002344073493847612,-0.016725672872939405,-0.024427147785758198,0.08667130771503125,-0.0871985966021222,-0.004087591700014573,-0.04522072635800302
6,-0.12,0.09807856316456641,-0.029596119323147395,0.013104029130829345,-0.0205132392670615,-0.029596119323147405,0.09807856316456641,-0.09260159101066606,-0.002626093462722507,-0.02203023607683541
7,-0.14,0.1054704707144023,-0.032616746672156374,0.022382814830736758,-0.020975930059262637,-0.03261674667215639,0.1054704707144023,-0.09631643399757178,-0.001152612963281209,-0.0021597902491781677
8,-0.07,0.1085444048009365,-0.0332697663834237,0.02913163420476112,-0.018038750300856516,-0.03326976638342371,0.1085444048009365,-0.0982754029956452,0.00032612664474806325,0.012261739253257393
9,-0.02,0.10717451820149429,-0.031507776597054116,0.03258765711358047,-0.012177770942415128,-0.03150777659705412,0.10717451820149429,-0.0984427854835036,0.0018033782116978112,0.019623226469034093
10,0.05,0.10141689423441173,-0.027458677882585193,0.032360243611016706,-0.004342965170451955,-0.027458677882585193,0.1014168942344117,-0.09681553003425733,0.00327240137749066,0.019005859857171858
11,0.0,0.09150725070139323,-0.02141638910135236,0.028475098618809494,0.004195767404452301,-0.021416389101352365,0.09150725070139323,-0.09342330194382656,0.004726493326356462,0.010285316550047599
12,-0.04,0.07785128957301427,-0.013819512214847392,0.021371366457089636,0.012054431634577917,-0.01381951221484739,0.07785128957301427,-0.08832794242477454,0.00615901937024328,-0.005849597219036049
13,0.09,0.06100808750237798,-0.005219494733156456,0.01185199364054497,0.01795926082602251,-0.005219494733156449,0.06100808750237797,-0.08162234122469587,0.007563443221377231,-0.027963509629858743
14,0.01,0.04166720716124841,0.003759399149654002,0.0009929705149613244,0.020953174419419244,0.0037593991496540045,0.04166720716124842,-0.07342874322162458,0.008933356815844439,-0.05401833279152167
15,-0.02,0.020620466463248388,0.012465403089469668,-0.009978289698961947,0.020550905795910495,0.012465403089469673,0.020620466463248388,-0.06389651986767345,0.010262509552116937,-0.08157788002783467
16,-0.03,-0.001270478554558964,0.02026655947171604,-0.01982168743807206,0.016817656414627603,0.020266559471716055,-0.0012704785545589712,-0.053199446108075185,0.011544836811113766,-0.10805010525798033
17,-0.01,-0.023109410031067788,0.026596592400778114,-0.027424607287348756,0.010358527674823738,0.026596592400778118,-0.023109410031067767,-0.04153253241810938,0.012774487627666888,-0.1309399146714956
18,-0.04,-0.044002239545664304,0.03099601293802431,-0.03192767872782389,0.0022204434326996334,0.03099601293802432,-0.044002239545664304,-0.029108469710717007,0.013945851387133255,-0.14808475009236177
19,-0.09,-0.0630936122032177,0.0331454728121412,-0.03282191219792532,-0.0062775399993434036,0.03314547281214121,-0.0630936122032177,-0.01615375192507444,0.015053583425342581,-0.1578476070281525
20,-0.19,-0.0796019249639867,0.03288894549889783,-0.0300062310196774,-0.013758032273009787,0.032888945498897836,-0.0796019249639867,-0.0029045469823595627,0.016092629415074087,-0.15924751493425168
21,-0.31,-0.09285132556390106,0.030245051985611796,-0.023798896261639207,-0.01900856246026776,0.030245051985611802,-0.09285132556390106,0.01039760861772489,0.017058248427792376,-0.15201512244440715
22,-0.24,-0.10229938198566178,0.025405709097659677,-0.014901533167555976,-0.021178101648058473,0.025405709097659677,-0.10229938198566177,0.023510213071030166,0.017946034565416918,-0.1365699859690558
23,-0.12,-0.10755928968926247,0.018722198503269498,-0.004319825302582953,-0.019915001429273466,0.018722198503269498,-0.10755928968926246,0.036194220140794785,0.018751937063424488,-0.11392539269556229
24,-0.09,-0.10841570743530485,0.010679667629597557,0.006750159511999833,-0.015423990615659343,0.010679667629597555,-0.10841570743530485,0.04821839703357324,0.01947227877355859,-0.08553496652026846
25,0.02,-0.10483357338064112,0.001861913435754253,0.017057162709264002,-0.008432991895961101,0.0018619134357542447,-0.10483357338064109,0.0593635398340329,0.020103772941813557,-0.053101914803179905
26,0.05,-0.09695954051435206,-0.007090994656655794,0.02543616678774507,-7.513694058776613e-05,-0.007090994656655797,-0.09695954051435206,0.06942646965013087,0.020643538205139235,-0.018375797466263853
27,0.12,-0.08511597266714316,-0.015529176578579457,0.030940079153267453,0.008294896538972354,-0.015529176578579468,-0.08511597266714316,0.07822373661789088,0.021089111738439706,0.01703733305087145
28,0.19,-0.06978774689823927,-0.02284011557082521,0.03294678355053958,0.015320456882728288,-0.022840115570825218,-0.06978774689823926,0.08559496424079636,0.021438460491879325,0.05182777064454293
29,0.18,-0.051602402571609376,-0.028493119986826094,0.0312294588853652,0.01986281052097582,-0.028493119986826104,-0.05160240257160938,0.09140577309561046,0.021689990467222836,0.08507941884508033
30,0.19,-0.031304449820672924,-0.03207784551584996,0.025982217185492176,0.021185712895238178,-0.03207784551584997,-0.031304449820672924,0.09555023060469538,0.021842553990883685,0.11630030490732936
31,0.24,-0.009724889215961461,-0.03333408154808238,0.01779816279927163,0.019074742198669333,-0.03333408154808238,-0.00972488921596145,0.09795278221483535,0.021895454950495406,0.14538394850012626
32,0.22,0.01225280949587744,-0.03217063952769909,0.00760235283694247,0.013872053800980295,-0.032170639527699094,0.01225280949587742,0.09856962877666423,0.021848451971112664,0.17250830316357008
33,0.23,0.03372887674731113,-0.028671972212702488,-0.0034527635540193297,0.006420922208584575,-0.028671972212702488,0.03372887674731113,0.09738952501470763,0.021701759516549766,0.19798733199059387
34,0.24,0.05382407982173514,-0.023092043357974802,-0.014117608409029826,-0.0020709405582110584,-0.023092043357974802,0.05382407982173514,0.0944339845317199,0.021456046910831483,0.22209682517290077
35,0.17,0.07171571874419648,-0.015835892813360588,-0.023186716796265907,-0.010227136215323,-0.015835892813360588,0.07171571874419647,0.08975688761003325,0.021112435284221034,0.24489999348920646
36,0.26,0.08667130771503125,-0.007430235202568703,-0.029634992497981856,-0.016725672872939402,-0.007430235202568699,0.08667130771503125,0.08344349895980345,0.020672492457759824,0.2660991579485683
37,0.34,0.09807856316456641,0.0015147736130702325,-0.03273357631980377,-0.0205132392670615,0.0015147736130702407,0.09807856316456638,0.07560891332086071,0.020138225789659646,0.2849373475573871
38,0.34,0.1054704707144023,0.010349826962831387,-0.03213223024267917,-0.02097593005926264,0.01034982696283139,0.1054704707144023,0.0663959572552541,0.019512073016187577,0.3001680493796173
39,0.37,0.10854440480093651,0.018433599701659552,-0.027898925401464526,-0.01803875030085652,0.018433599701659562,0.10854440480093651,0.05597258538136434,0.018796891128834464,0.3101033289649917
40,0.32,0.10717451820149429,0.025179301176563095,-0.020512159195904354,-0.012177770942415126,0.0251793011765631,0.10717451820149428,0.04452881851692385,0.017995943338518085,0.3127409573981537
41,0.33,0.10141689423441173,0.03009726960445741,-0.010806869943567858,-0.004342965170451957,0.030097269604457418,0.10141689423441173,0.0322732795494041,0.01711288418630017,0.30596114688941073
42,0.31,0.09150725070139325,0.03283051599042245,0.00011993756963898092,0.004195767404452299,0.032830515990422464,0.09150725070139325,0.019429390185766712,0.016151742868553694,0.2877741888944428
43,0.28,0.07785128957301428,0.03318063749912073,0.011033188342342463,0.01205443163457792,0.03318063749912074,0.07785128957301427,0.006231297915832756,0.015116904852664035,0.2565928266606205
44,0.25,0.06100808750237798,0.03112221926111527,0.020699339713816038,0.017959260826022512,0.031122219261115275,0.061008087502378,-0.007080392558197434,0.014013091867147116,0.2114985078382237
45,0.18,0.04166720716124842,0.02680467920551329,0.028025810717114734,0.020953174419419244,0.026804679205513292,0.04166720716124842,-0.020263005608908806,0.012845340357485129,0.15246938294993528
46,0.15,0.020620466463248395,0.02054142200490972,0.03218447830042067,0.020550905795910495,0.02054142200490971,0.020620466463248385,-0.03307621872434909,0.01161897850598102,0.08054029608845938
47,0.11,-0.0012704785545589689,0.012787089433799748,0.032705281435848436,0.016817656414627603,0.012787089433799748,-0.0012704785545589498,-0.04528644365079065,0.010339601920484677,-0.0021291026714028586
48,0.05,-0.023109410031067784,0.004104558507646771,0.029529352889539767,0.01035852767482374,0.004104558507646769,-0.023109410031067784,-0.05667108476818931,0.009013048102917715,-0.09229316680414111
