Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.309,3.208,29.425
2,0.269,2.455,29.072
4,0.169,2.984,27.965
6,0.159,2.782,25.599
8,0.093,2.430,25.385
10,0.042,2.017,25.020
12,-0.001,1.898,24.353
14,-0.027,1.880,23.469
16,-0.087,1.884,22.966
18,-0.155,2.229,22.494
20,-0.222,2.537,25.494
22,-0.283,2.970,34.336
24,-0.404,2.504,34.524
26,-0.524,3.325,34.502
28,-0.430,4.467,34.841
30,-0.327,4.549,34.009
32,-0.158,4.000,33.444
34,-0.016,3.358,29.284
36,0.027,2.969,27.938
38,0.077,3.005,27.626
40,0.146,2.149,27.997
42,0.133,2.087,28.972
44,0.125,2.017,38.411
46,0.104,2.203,40.051
48,0.093,1.706,38.875
50,0.074,1.581,37.031
52,0.031,2.074,35.015
54,0.027,1.568,30.381
56,-0.006,1.806,26.152
58,-0.019,1.566,16.798
60,-0.028,2.000,16.989
62,-0.069,1.527,17.600
64,-0.091,1.527,18.468
66,-0.117,1.537,18.747
68,-0.145,2.074,19.608
70,-0.161,2.534,20.170
72,-0.165,2.241,20.277
74,-0.171,2.190,20.597
76,-0.173,2.125,21.002
78,-0.143,2.525,21.382
80,-0.111,2.692,21.435
82,-0.092,2.988,21.263
84,-0.064,2.988,22.343
86,-0.035,3.064,23.002
88,-0.024,3.141,23.301
90,-0.009,3.160,23.242
92,0.006,3.097,23.267
94,0.020,3.426,23.253
96,0.012,3.826,23.468
98,0.018,4.476,23.092
100,0.069,7.171,22.945
102,0.135,9.498,22.743
104,0.185,9.314,22.477
106,0.231,9.931,21.738
108,0.254,10.402,20.955
110,0.276,9.439,20.914
112,0.307,9.126,20.645
114,0.342,7.900,20.441
116,0.374,7.760,20.224
118,0.411,7.737,20.236
120,0.415,7.527,20.482
122,0.372,6.820,20.397
124,0.322,5.234,20.356
126,0.345,3.556,20.304
128,0.234,3.988,19.983
130,-0.087,6.088,18.715
132,-0.233,7.574,17.428
134,-0.059,7.333,15.640
136,0.054,6.532,14.486
138,0.135,5.818,13.757
140,0.269,5.468,13.235
142,0.340,4.930,12.455
144,0.283,4.735,11.428
146,0.171,4.189,9.886
148,0.097,4.064,10.184
150,0.081,4.253,9.661
152,0.051,4.430,10.134
154,0.006,4.367,9.860
156,-0.027,3.832,10.264
158,-0.096,3.128,10.011
160,-0.377,2.964,9.761
162,-0.379,3.142,9.633
164,-0.320,2.499,9.405
166,-0.325,2.322,9.198
168,-0.322,1.894,9.845
170,-0.327,2.204,9.959
172,-0.211,2.877,10.151
174,-0.126,3.126,10.193
176,-0.078,3.257,10.748
178,-0.036,3.233,10.550
180,-0.012,3.499,10.472
182,-0.018,3.233,10.585
184,-0.032,3.275,10.771
186,-0.081,3.378,10.511
188,-0.080,3.605,10.678
190,-0.063,3.328,10.876
192,-0.040,3.547,10.884
194,-0.035,3.570,10.623
196,-0.038,3.443,10.524
198,-0.018,3.537,10.679
200,-0.026,3.404,10.449
202,-0.033,3.149,9.517
204,-0.025,3.066,9.314
206,-0.001,4.491,8.933
208,0.040,4.670,9.266
210,0.031,4.778,9.167
212,0.046,4.715,9.100
214,0.056,4.346,9.495
216,0.031,3.266,9.890
218,0.029,3.174,9.899
220,0.019,3.441,9.611
222,-0.001,3.421,9.707
224,-0.067,3.634,8.819
226,-0.123,3.642,6.139
