X,Y,Z,Label
39.8,-29.993,499.861,CL
40.0,-29.986,499.857,CL
40.2,-29.978,499.854,CL
40.4,-29.968,499.85,CL
40.6,-29.956,499.846,CL
40.8,-29.942,499.842,CL
41.0,-29.926,499.839,CL
41.2,-29.909,499.835,CL
41.4,-29.889,499.832,CL
41.6,-29.867,499.829,CL
41.8,-29.844,499.825,CL
42.0,-29.818,499.821,CL
42.2,-29.791,499.818,CL
42.4,-29.762,499.814,CL
42.6,-29.731,499.811,CL
42.8,-29.698,499.808,CL
43.0,-29.663,499.804,CL
43.2,-29.626,499.801,CL
43.4,-29.587,499.796,CL
43.6,-29.547,499.793,CL
43.8,-29.504,499.79,CL
44.0,-29.46,499.787,CL
44.2,-29.413,499.783,CL
44.4,-29.365,499.78,CL
44.6,-29.315,499.777,CL
44.8,-29.263,499.773,CL
45.0,-29.209,499.769,CL
45.2,-29.153,499.766,CL
45.4,-29.096,499.763,CL
45.6,-29.036,499.76,CL
45.8,-28.975,499.757,CL
46.0,-28.912,499.752,CL
46.2,-28.847,499.749,CL
46.4,-28.78,499.746,CL
46.6,-28.711,499.743,CL
46.8,-28.641,499.74,CL
47.0,-28.569,499.737,CL
47.2,-28.494,499.734,CL
47.4,-28.418,499.73,CL
47.6,-28.34,499.726,CL
47.8,-28.261,499.723,CL
48.0,-28.179,499.715,CL
48.2,-28.096,499.703,CL
48.4,-28.011,499.691,CL
48.6,-27.924,499.68,CL
48.8,-27.835,499.668,CL
49.0,-27.745,499.657,CL
49.2,-27.653,499.646,CL
49.4,-27.559,499.634,CL
49.6,-27.463,499.622,CL
49.8,-27.366,499.611,CL
50.0,-27.266,499.6,CL
50.2,-27.165,499.589,CL
50.4,-27.062,499.578,CL
50.6,-26.958,499.568,CL
50.8,-26.852,499.556,CL
51.0,-26.744,499.546,CL
51.2,-26.634,499.536,CL
51.4,-26.523,499.525,CL
51.6,-26.41,499.515,CL
51.8,-26.295,499.504,CL
52.0,-26.179,499.493,CL
52.2,-26.06,499.484,CL
52.4,-25.941,499.473,CL
52.6,-25.819,499.463,CL
52.8,-25.696,499.453,CL
53.0,-25.571,499.444,CL
53.2,-25.445,499.433,CL
53.4,-25.317,499.424,CL
53.6,-25.187,499.414,CL
53.8,-25.056,499.405,CL
54.0,-24.923,499.395,CL
54.2,-24.789,499.386,CL
54.4,-24.653,499.377,CL
54.6,-24.515,499.367,CL
54.8,-24.376,499.359,CL
55.0,-24.235,499.35,CL
55.2,-24.093,499.341,CL
55.4,-23.949,499.333,CL
55.6,-23.804,499.324,CL
55.8,-23.657,499.316,CL
56.0,-23.508,499.308,CL
56.2,-23.358,499.3,CL
56.4,-23.207,499.292,CL
56.6,-23.054,499.284,CL
56.8,-22.9,499.276,CL
