Rowid_,FID_,COUNT,AREA,MEAN
,0,762,7.620000000000060,995.811305569225738
,1,1613,16.130000000000127,995.658926162672401
,2,1855,18.550000000000146,995.744466003253478
,3,2013,20.130000000000159,995.889460207867614
,4,1956,19.560000000000151,995.889165929002502
,5,2074,20.740000000000162,996.031238699373148
,6,1954,19.540000000000152,995.996721500017998
,7,2253,22.530000000000175,996.152895531652234
,8,2497,24.970000000000194,996.308309522207878
,9,2390,23.900000000000187,996.358323790737813
,10,2171,21.710000000000171,996.288456815335621
,11,2291,22.910000000000178,996.392065680115479
,12,2190,21.900000000000173,996.467853814390651
,13,2275,22.750000000000178,996.590518490298791
,14,2266,22.660000000000178,996.590523082601862
,15,2401,24.010000000000186,996.584150601108604
,16,2517,25.170000000000197,996.666808500051161
,17,2296,22.960000000000178,996.686937950213974
,18,2172,21.720000000000169,996.706380854654071
,19,2466,24.660000000000192,996.763844486183984
,20,2449,24.490000000000190,996.816498961629691
,21,2631,26.310000000000205,997.071283355678133
,22,2557,25.570000000000199,997.073142889005680
,23,2630,26.300000000000207,997.147772634527996
,24,2673,26.730000000000210,997.159795382207449
,25,2571,25.710000000000200,997.165771698033609
,26,2324,23.240000000000183,997.150159747177895
,27,2568,25.680000000000202,997.259543920974465
,28,2572,25.720000000000201,997.287268915962500
,29,2573,25.730000000000203,997.298699887124144
,30,2747,27.470000000000216,997.332129479496075
,31,2498,24.980000000000196,997.228646124907755
,32,2571,25.710000000000200,997.256482356163133
,33,2366,23.660000000000185,997.247817851281866
,34,2314,23.140000000000182,997.204068090757005
,35,2318,23.180000000000181,997.148950058391506
,36,2186,21.860000000000170,997.100429524441779
,37,1929,19.290000000000152,997.025190211998620
,38,2272,22.720000000000176,997.163671412938129
,39,2272,22.720000000000176,997.265642139273609
,40,2130,21.300000000000168,997.455398573897810
,41,2100,21.000000000000163,997.587028895786830
,42,2396,23.960000000000189,997.701114711857031
,43,2286,22.860000000000181,997.633237663529371
,44,2796,27.960000000000218,997.880796920929129
,45,2607,26.070000000000203,997.912281710935986
,46,2810,28.100000000000222,998.058320547083554
,47,2880,28.800000000000225,998.099939176771386
,48,3057,30.570000000000238,998.167703625420359
,49,3240,32.400000000000254,998.271974031424861
,50,3161,31.610000000000248,998.340423748109288
,51,3361,33.610000000000262,998.433771516481556
,52,3240,32.400000000000254,998.421629013249913
,53,3068,30.680000000000241,998.426802773208351
,54,3268,32.680000000000256,998.496127965546634
,55,3543,35.430000000000277,998.590994580532879
,56,3439,34.390000000000271,998.575469092180242
,57,3585,35.850000000000279,998.622786815861446
,58,4022,40.220000000000312,998.734763670418147
,59,4219,42.190000000000332,998.816459603319799
,60,4564,45.640000000000356,998.895915560509252
,61,4672,46.720000000000368,998.941405936463184
,62,4780,47.800000000000374,998.962783200571266
,63,4782,47.820000000000377,999.001289894171009
,64,4856,48.560000000000379,999.066611753460620
,65,4801,48.010000000000375,999.100061004644999
,66,4978,49.780000000000392,999.100227181238097
,67,4855,48.550000000000381,999.111003953519230
,68,4748,47.480000000000373,999.153640965603927
,69,4964,49.640000000000391,999.229915560492600
,70,5042,50.420000000000393,999.252697034848666
,71,4966,49.660000000000387,999.218423672083418
,72,4964,49.640000000000391,999.241488140883916
,73,4643,46.430000000000362,999.289060580738123
,74,4539,45.390000000000356,999.349457304812290
,75,4533,45.330000000000354,999.395242222723482
,76,4638,46.380000000000365,999.429503986577402
,77,4034,40.340000000000316,999.414943742350147
,78,4333,43.330000000000339,999.503574747261155
,79,4536,45.360000000000355,999.577525574483957
,80,4437,44.370000000000346,999.576153345733474
,81,4537,45.370000000000353,999.578809207195718
,82,4534,45.340000000000352,999.653052546665663
,83,4232,42.320000000000334,999.649919563971253
,84,4133,41.330000000000325,999.681410498980199
,85,4335,43.350000000000342,999.745439610816788
,86,3629,36.290000000000283,999.696325256398154
,87,3531,35.310000000000279,999.773732736609645
,88,3427,34.270000000000266,999.837068547164563
,89,3527,35.270000000000273,999.891087098604316
,90,3452,34.520000000000273,999.892917566752544
,91,3629,36.290000000000283,999.929245705708354
,92,3471,34.710000000000271,999.978145193827004
