,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_84,harmonic_85,harmonic_86,harmonic_87,harmonic_88,harmonic_89,harmonic_90,harmonic_91,harmonic_92,harmonic_93,all_11_harmonics
92,9.124751758,0.0830924246984221,-0.6731558657251938,0.00600541118869527,-0.007595301630425862,-0.20472764059604898,0.0063563545115233175,-0.06109797468139339,0.03137409956788091,0.108940411184538,0.007706527971487684,0.02960466525444451,0.04810865805286465,0.108940411184538,0.03137409956788086,-0.06109797468139336,0.0063563545115233175,-0.204727640596049,-0.007595301630425948,0.00600541118869527,-0.6731558657251936,0.08309242469842205,0.0,-1.3361963116852082
91,9.072158457,0.19006032183444124,-0.6388631716692899,0.04453573422206475,0.033762833801919974,-0.13469548977391677,0.020796709346124376,0.0025279858740742686,0.041153132002562806,0.13803180864397055,0.08383784341929021,0.09646533485213135,0.08477252711043116,0.13803180864397052,0.04115313200256275,0.0025279858740743476,0.02079670934612438,-0.13469548977391685,0.033762833801919925,0.044535734222064756,-0.6388631716692896,0.19006032183444144,0.0,-0.3403045660542443
90,8.627364091,0.29616101731419214,-0.5929238335361635,0.08124275906365631,0.07267016860768258,-0.049438486494515814,0.03186624250770959,0.06559899513779595,0.039199993851567375,0.11764251333284106,0.12313496730857597,0.11245514471385944,0.06870227559820309,0.11764251333284106,0.03919999385156733,0.06559899513779605,0.03186624250770959,-0.04943848649451597,0.07267016860768252,0.08124275906365631,-0.5929238335361633,0.296161017314192,0.0,0.42833112719016975
89,8.82015,0.4009103979994712,-0.536175337573428,0.11462369580356292,0.10630246945739463,0.041406630120031346,0.03777075561276438,0.11426950973803784,0.02607149692604539,0.055081539506700486,0.10833269182862422,0.06914189091966647,0.009894663194334243,0.055081539506700486,0.026071496926045358,0.11426950973803793,0.03777075561276438,0.04140663012003117,0.10630246945739463,0.11462369580356292,-0.5361753375734278,0.4009103979994711,0.0,0.9078915611237854
88,8.568156661,0.5038305164915442,-0.4696522238261273,0.14331192496955925,0.13221841094337594,0.12757148731840723,0.0375532193345874,0.13785522750984536,0.005510388326124515,-0.027224685507812978,0.045934402900321164,-0.010633242577166663,-0.055068084365618976,-0.027224685507812978,0.005510388326124513,0.13785522750984538,0.0375532193345874,0.12757148731840703,0.13221841094337594,0.14331192496955927,-0.46965222382612704,0.5038305164915444,0.0,1.1621816070765432
87,8.82015,0.6044517718955049,-0.39456722619892376,0.16613294708886564,0.1485367882471872,0.19931672975880485,0.031248892905249553,0.1311785386103573,-0.01662165333987239,-0.09977159263305738,-0.03664518514721965,-0.08480095043751977,-0.08577484004389523,-0.09977159263305736,-0.01662165333987236,0.1311785386103573,0.031248892905249563,0.19931672975880463,0.14853678824718725,0.16613294708886567,-0.3945672261989234,0.6044517718955047,0.0,1.3325894170395973
86,9.072158457,0.7023150525014503,-0.3122891639972378,0.1821524668345614,0.15407307137482273,0.2485328748408829,0.019879609144938772,0.09570513047373069,-0.03401509886725141,-0.1365530659006645,-0.10312469577913094,-0.11424899540761606,-0.06312397019288568,-0.1365530659006645,-0.03401509886725137,0.09570513047373068,0.019879609144938772,0.24853287484088274,0.15407307137482282,0.1821524668345614,-0.3122891639972376,0.7023150525014502,0.0,1.5591040914308336
85,10.83618856,0.7969738306059114,-0.2243179879903754,0.19071464318604414,0.14842538866356156,0.2696569408445566,0.00528815132614736,0.03922223556433305,-0.041711325179956314,-0.12438393591900933,-0.12429632820447716,-0.08344799206140288,-0.001205814483340601,-0.12438393591900931,-0.04171132517995625,0.03922223556433298,0.005288151326147358,0.2696569408445565,0.1484253886635616,0.19071464318604414,-0.22431798799037522,0.7969738306059114,0.0,1.9107857474532057
84,10.33218678,0.8879961999153481,-0.1322574359134914,0.1914689396374711,0.13200369812844184,0.2603012398914615,-0.010160433204552783,-0.025870846021666533,-0.037516247998787874,-0.06762650865091838,-0.09085831686541153,-0.008640806536792042,0.06146243761375763,-0.06762650865091839,-0.03751624799878783,-0.025870846021666637,-0.010160433204552777,0.2603012398914614,0.13200369812844193,0.19146893963747114,-0.1322574359134912,0.887996199915348,0.0,2.358640525778165
83,10.58417953,0.9749668462355051,-0.0377857959057979,0.18438447520349485,0.10600002913788535,0.22152326222781357,-0.02396217025168605,-0.08528467933119271,-0.022625823954859542,0.01337320400468649,-0.017501666024045178,0.07072309625845802,0.08589698704660498,0.01337320400468649,-0.022625823954859518,-0.08528467933119278,-0.02396217025168605,0.22152326222781357,0.10600002913788545,0.18438447520349485,-0.037785795905797864,0.9749668462355051,0.0,2.800297112012716
82,11.34020548,1.0574889424548237,0.057374689124750064,0.16975128869043157,0.07230195453691472,0.15770614636486707,-0.03388001386776883,-0.12597655558930954,-0.0012851004230724037,0.0895789825286252,0.06354434910235877,0.11279127292191579,0.05689792743300955,0.0895789825286252,-0.0012851004230724071,-0.1259765555893096,-0.033880013867768836,0.15770614636486713,0.07230195453691482,0.16975128869043157,0.05737468912475014,1.0574889424548237,0.0,3.1193542170978072
81,11.34020548,1.1351859591755338,0.15148921844379365,0.14816846447345247,0.0333555741651119,0.07606324573333148,-0.03830643655148978,-0.13901366804080548,0.02042198689804364,0.1336731039153953,0.11667212788301487,0.0953791291879345,-0.007495407515979834,0.1336731039153953,0.020421986898043608,-0.1390136680408055,-0.03830643655148978,0.07606324573333162,0.03335557416511201,0.14816846447345253,0.1514892184437938,1.1351859591755336,0.0,3.2466307459797035
80,11.0881976,1.2077033827309382,0.24284205936539632,0.1205196059118749,-0.008012044380699001,-0.01417720850341173,-0.036523984340883685,-0.12153406936635673,0.036307057222460755,0.1298490110042902,0.11853995849813984,0.027668934759423273,-0.06722610308001228,0.1298490110042902,0.036307057222460706,-0.12153406936635676,-0.036523984340883685,-0.014177208503411556,-0.008012044380698921,0.1205196059118749,0.24284205936539632,1.2077033827309382,0.0,3.1929304094647697
79,11.34020548,1.2747103327499603,0.3297678255113182,0.08793666052381273,-0.048798078942664545,-0.1028151895758146,-0.02882156489161031,-0.07737493522547484,0.041841503716562096,0.07947753830309012,0.06832720878604633,-0.05463243380793887,-0.08513771472502135,0.07947753830309012,0.04184150371656204,-0.07737493522547478,-0.02882156489161031,-0.10281518957581445,-0.0487980789426645,0.08793666052381272,0.3297678255113182,1.2747103327499603,0.0,3.0404052445914442
78,10.83618856,1.3359010718883861,0.4106818372438269,0.051753577921786746,-0.0860419237953664,-0.17983180088828504,-0.016447620059645666,-0.016230215566689802,0.035447534673945895,0.0006155046683645236,-0.011905128673516759,-0.10812346463545018,-0.050088034942473054,0.0006155046683645331,0.03544753467394586,-0.016230215566689715,-0.016447620059645673,-0.17983180088828482,-0.08604192379536636,0.05175357792178678,0.410681837243827,1.3359010718883861,0.0,2.9015793039212063
77,10.08017775,1.390996400838244,0.48410901079334745,0.013451697758855644,-0.11704009620282109,-0.23652172835822594,-0.0014077729811356795,0.04847741130072379,0.0189479794122651,-0.0784671708437181,-0.08690694287288578,-0.10459573725238594,0.016119716491279357,-0.0784671708437181,0.018947979412265083,0.04847741130072388,-0.0014077729811356795,-0.23652172835822577,-0.11704009620282109,0.013451697758855644,0.4841090107933473,1.390996400838244,0.0,2.869708499801078
76,11.60067331,1.439744932250209,0.548710749424536,-0.025400896490830414,-0.1395424787487942,-0.26647721636596666,0.013860252103640608,0.10254312663780105,-0.0029533743493391548,-0.1294214749953432,-0.12372615538562319,-0.045909593771958655,0.07229993775721362,-0.12942147499534318,-0.002953374349339145,0.10254312663780113,0.013860252103640612,-0.2664772163659665,-0.13954247874879422,-0.025400896490830424,0.5487107494245359,1.4397449322502087,0.0,2.9847914275314578
75,11.33089442,1.4819242377564168,0.6033093464077321,-0.06321357505370324,-0.1519156524623891,-0.26631234689770555,0.02688174686446822,0.13409825709743745,-0.02401276323527726,-0.13398165952288058,-0.10618622980029913,0.03698690992634492,0.08350481424062337,-0.13398165952288058,-0.02401276323527722,0.13409825709743753,0.02688174686446822,-0.26631234689770544,-0.15191565246238917,-0.06321357505370324,0.603309346407732,1.4819242377564168,0.0,3.227860676274867
74,11.35381512,1.517341862860095,0.646909454923182,-0.09843828242659779,-0.15326146459766019,-0.23604575542025152,0.035546130438560815,0.13621572267124443,-0.03822645603926929,-0.09051302086197903,-0.04199333975619518,0.10037841828291448,0.04276417143348601,-0.09051302086197903,-0.03822645603926924,0.13621572267124452,0.035546130438560815,-0.23604575542025152,-0.15326146459766027,-0.09843828242659779,0.6469094549231819,1.517341862860095,0.0,3.540205633054854
73,11.60067331,1.5458362050612877,0.6787162334960184,-0.12963291495094031,-0.14348222438481786,-0.1790985244836002,0.03844904161430601,0.10843069075573998,-0.041542331804434895,-0.014597897430607222,0.040649341667032775,0.11083550781623648,-0.02457861536191671,-0.014597897430607213,-0.04154233180443484,0.10843069075573995,0.03844904161430601,-0.17909852448360022,-0.14348222438481792,-0.12963291495094034,0.6787162334960183,1.5458362050612873,0.0,3.8530627898672547
72,12.4100239,1.5672772512119952,0.6981498361659354,-0.15552036070597056,-0.12328779427740352,-0.10190749314090608,0.035119963842994845,0.056842617645694364,-0.03301508167517071,0.06655017980290694,0.10543271783353017,0.06284364695171564,-0.07663187723557817,0.06655017980290694,-0.03301508167517068,0.056842617645694295,0.03511996384299485,-0.10190749314090619,-0.12328779427740363,-0.1555203607059706,0.6981498361659353,1.5672772512119952,0.0,4.112062725289819
71,12.4100239,1.5815671707363548,0.7048559832319397,-0.17504078462083195,-0.09414406195093362,-0.013197690457281218,0.026098488620374335,-0.007223723010151149,-0.015075702960187941,0.12384180660660099,0.12389418533888788,-0.018288723446901363,-0.08101504136204839,0.12384180660660099,-0.015075702960187934,-0.007223723010151225,0.026098488620374335,-0.01319769045728139,-0.09414406195093375,-0.17504078462083195,0.7048559832319395,1.5815671707363548,0.0,4.287953392921706
