Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.0069,3.6172,7.6964
1,0.0059,3.3302,7.9141
2,0.0028,3.5474,7.7927
3,-0.0613,4.0543,7.6642
4,-0.1594,4.6993,7.6354
5,-0.2425,5.0962,7.5991
6,-0.2886,5.4098,7.8816
7,-0.3257,5.5570,7.9420
8,-0.4048,5.9676,8.2740
9,-0.7319,6.2874,8.4179
10,-1.0450,6.2555,8.4941
11,-1.2301,6.2959,8.5781
12,-1.2901,6.2339,8.2621
13,-1.0862,6.1778,7.9304
14,-0.8523,5.7959,7.7827
15,-0.6554,5.7575,7.5802
16,-0.4705,5.8844,7.3587
17,-0.2876,5.5851,7.3083
18,-0.0987,5.4927,7.2680
19,0.0982,5.8543,7.3413
20,0.2281,5.5801,7.1927
21,0.2511,5.3321,7.3143
22,0.2520,4.7492,7.1654
23,0.2699,2.7907,7.8052
24,0.2788,2.7690,8.1053
25,0.1757,2.8220,8.2657
26,0.0616,2.9897,8.6877
27,0.1475,3.1236,8.4016
28,0.2134,3.2764,8.1098
29,0.1343,3.4578,8.0690
30,0.0802,3.8736,8.0669
31,-0.0409,3.5464,8.0647
32,-0.0909,3.3069,8.0626
33,-0.1450,2.9565,8.0604
34,-0.1571,2.6652,8.1097
35,-0.1042,2.6569,8.2638
36,-0.0653,2.8221,8.4149
37,-0.0074,2.8685,8.5479
38,0.0235,2.8696,8.1084
39,-0.0586,2.8314,7.4087
40,-0.0917,2.8093,7.5649
41,-0.0858,2.8103,7.7112
42,-0.0018,2.8114,8.0523
43,0.0031,3.0394,8.2732
44,-0.0450,3.1461,8.0565
45,-0.0391,3.1513,8.0574
46,0.0208,3.4846,8.0584
47,0.1347,3.4927,8.0593
48,0.2446,3.5082,8.0603
49,0.3425,3.5267,8.0612
50,0.3814,3.5483,8.0622
51,0.3944,3.5775,8.3431
52,0.3883,3.2688,8.4548
53,0.4042,3.4532,8.4548
54,0.4341,2.8806,8.4548
55,0.4430,2.5991,8.4548
56,0.4469,2.1538,8.4227
