,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_13,harmonic_162,harmonic_163,harmonic_164,harmonic_165,harmonic_166,harmonic_167,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,all_22_harmonics
0,7.6964,0.04809459325933944,-0.10361234718609148,-0.2235042862116066,0.39816089864313275,-0.06615014251549636,0.013444426600565797,-0.04792051017280327,-0.014263329946755495,-0.09824067336379526,-0.0009924505153026657,-0.047306542897304966,-0.0009924505153026016,-0.09824067336379472,-0.014263329946755221,-0.04792051017280315,0.07585222162046962,0.013444426600565884,0.39816089864313253,-0.2235042862116065,-0.10361234718609151,0.048094593259339624,0.0,8.228594812123962
1,7.9141,0.03823360139942964,-0.110556354871957,-0.21236155527594272,0.40710176818273824,-0.09641488505799432,0.005449374678609902,-0.07547243986365115,-0.043115472566005446,-0.10508576421924162,-0.0235278757642639,-0.05280237131760949,-0.02352787576426393,-0.10508576421924105,-0.04311547256600529,-0.07547243986365107,0.1025875255260599,0.005449374678610043,0.40710176818273774,-0.2123615552759427,-0.11055635487195704,0.038233601399429835,0.0,7.9768800624317535
2,7.7927,0.02832218232268236,-0.11691729313101046,-0.1987002414632975,0.4074658127363378,-0.12350890804386688,-0.002803426503167933,-0.0966976517263051,-0.06740183061250399,-0.09822101815833761,-0.04235776077347662,-0.04674440146230197,-0.04235776077347679,-0.09822101815833707,-0.067401830612504,-0.09669765172630494,0.12272778527911653,-0.0028034265031677045,0.4074658127363374,-0.19870024146329757,-0.11691729313101049,0.02832218232268252,0.0,7.781834756771505
3,7.6642,0.0183734084381999,-0.12266161465039974,-0.1826823663363826,0.39924536260886395,-0.14654119191221018,-0.010923628781626987,-0.10981687472432763,-0.08455055986658584,-0.0785420326929479,-0.05451647884078641,-0.030458190497119467,-0.05451647884078665,-0.07854203269294749,-0.08455055986658594,-0.10981687472432747,0.13497824402071543,-0.010923628781626706,0.399245362608864,-0.18268236633638252,-0.12266161465039975,0.018373408438200133,0.0,7.66733586793049
4,7.6354,0.008400401423239626,-0.12775902412724838,-0.16449789999580183,0.38261360634323205,-0.1647542922824063,-0.018527155771802896,-0.11373034817443382,-0.09274566716359967,-0.04861619345721835,-0.05808908364831926,-0.0075073586055938255,-0.05808908364831955,-0.0486161934572181,-0.0927456671635999,-0.11373034817443368,0.1385513565217917,-0.018527155771802584,0.38261360634323166,-0.16449789999580183,-0.1277590241272485,0.008400401423239681,0.0,7.644178275784822
5,7.5991,-0.001583685083282882,-0.13218263804477162,-0.1443625080571748,0.35792094198201707,-0.17754924942436984,-0.025254369245579982,-0.1081100126910826,-0.09111931800604645,-0.012347724572798924,-0.05251290515277537,0.017086174262181005,-0.05251290515277564,-0.012347724572798889,-0.09111931800604675,-0.1081100126910825,0.13321741810250481,-0.025254369245579653,0.3579209419820166,-0.1443625080571746,-0.13218263804477176,-0.0015836850832827154,0.0,7.70839115451585
6,7.8816,-0.011565682829443563,-0.13590912645477857,-0.122514993882494,0.3256875948772474,-0.18450528577028194,-0.030787079613180893,-0.09342701081010807,-0.07984373733897578,0.02553166936354198,-0.03866616772112631,0.037941045289566926,-0.03866616772112654,0.025531669363541773,-0.07984373733897615,-0.09342701081010794,0.11931933165676642,-0.030787079613180522,0.3256875948772471,-0.12251499388249384,-0.1359091264547786,-0.011565682829443286,0.0,7.841947744505967
7,7.942,-0.021532426318234293,-0.1389188360188088,-0.09921446640055541,0.28659265757638347,-0.18539364369142897,-0.03486359593093536,-0.07091219196395993,-0.060112971503401544,0.06008011713627072,-0.01872967353272315,0.05049395614541562,-0.0187296735327233,0.06008011713627026,-0.0601129715034019,-0.0709121919639599,0.09775056345423586,-0.034863595930934986,0.2865926575763833,-0.09921446640055519,-0.13891883601880878,-0.0215324263182341,0.0,8.015766122860118
8,8.274,-0.03147077017185501,-0.14119589365898808,-0.07473726710577121,0.24145978269229712,-0.18018510846819413,-0.03729110358698022,-0.042452932604887854,-0.0340164427159705,0.08679031380074241,0.004156664477036536,0.05199817792000014,0.0041566644770365015,0.08679031380074187,-0.03401644271597089,-0.042452932604887826,0.06989770487512281,-0.037291103586979873,0.24145978269229684,-0.07473726710577104,-0.1411958936589881,-0.03147077017185493,0.0,8.194512514008686
9,8.4179,-0.04136760646946709,-0.14272829027195358,-0.04937369268079745,0.19123983018004068,-0.1690509690512798,-0.037954784214354303,-0.010434920858113792,-0.0043176862332569505,0.10217755861757293,0.026388345532759278,0.042124568673069414,0.026388345532759372,0.10217755861757233,-0.004317686233257208,-0.010434920858113829,0.037551332611491496,-0.037954784214354005,0.1912398301800405,-0.0493736926807972,-0.14272829027195366,-0.041367606469467064,0.0,8.342413746067564
10,8.4941,-0.05120988203554638,-0.14350794406434483,-0.02342455211228319,0.1369908346077911,-0.15235738501837115,-0.03682324646991227,0.022457831389273368,0.02583829880386033,0.10423438065482339,0.044463974541465216,0.02303359367625058,0.04446397454146538,0.10423438065482284,0.025838298803860123,0.02245783138927328,0.0027908978652209718,-0.036823246469912016,0.136990834607791,-0.023424552112282948,-0.14350794406434492,-0.0512098820355463,-0.0,8.42911487144127
11,8.5781,-0.06098461565603064,-0.1435307431758317,0.0028024008680599816,0.07985571447174317,-0.13065334497565148,-0.033950010809356175,0.05346798433962194,0.053258094277377134,0.0926924400959053,0.05553671690909126,-0.0010974105513967061,0.0555367169090915,0.09269244009590481,0.05325809427737702,0.05346798433962191,-0.032148955329364376,-0.03395001080935599,0.07985571447174297,0.0028024008680601897,-0.1435307431758317,-0.060984615656030514,-0.0,8.434611633523238
12,8.2621,-0.07067891519955426,-0.1427965673648877,0.0289961177062419,0.021038193175381137,-0.10465261240663111,-0.0294709780302049,0.07999601308184617,0.07503803540733942,0.06905753674097839,0.057862662865851636,-0.02498828806086879,0.05786266286585189,0.06905753674097811,0.0750380354073395,0.07999601308184608,-0.06502204866432999,-0.029470978030204775,0.021038193175380776,0.028996117706242164,-0.1427965673648877,-0.07067891519955413,-0.0,8.352446600032723
13,7.9304,-0.08027999462119169,-0.14130928864293862,0.054845944024979484,-0.038222561029775524,-0.07521025270078394,-0.023598001317756138,0.09981812105267755,0.08887169915606918,0.0364131583767778,0.05107548582856418,-0.04341142553700875,0.05107548582856444,0.03641315837677761,0.08887169915606935,0.09981812105267734,-0.09371506962080224,-0.02359800131775612,-0.03822256102977565,0.05484594402497965,-0.14130928864293874,-0.08027999462119148,-0.0,8.190654678805076
14,7.7827,-0.08977519082627858,-0.13907675085354232,0.08004530394779277,-0.09667804185591275,-0.04329451329891078,-0.01660886582899813,0.11127265687158537,0.09329414672620331,-0.0009818012546754934,0.0362441372775052,-0.05233561739772563,0.03624413727750539,-0.0009818012546754448,0.09329414672620355,0.11127265687158523,-0.1163834299887904,-0.016608865828998155,-0.0966780418559128,0.08004530394779297,-0.13907675085354224,-0.0897751908262786,0.0,7.970326613923589
15,7.5802,-0.09915198037207323,-0.13611072830429685,0.10429533605256631,-0.1530967085245252,-0.009954981710500521,-0.0088341497688198,0.11339940756400456,0.0878370556875839,-0.038248671842043024,0.01570449145038036,-0.04980814239284337,0.015704491450380467,-0.03824867184204274,0.0878370556875842,0.11339940756400438,-0.13156984890762632,-0.008834149768819915,-0.15309670852452523,0.10429533605256636,-0.13611072830429677,-0.09915198037207315,0.0,7.722061285032637
16,7.3587,-0.10839799598522543,-0.13242686366965262,0.12730843783259385,-0.20628993188246406,0.023711931434983027,-0.0006415884147572097,0.10602009147445716,0.07307831375878077,-0.0705254939949966,-0.007308544902826749,-0.03638204266089415,-0.007308544902826674,-0.07052549399499614,0.0730783137587811,0.10602009147445697,-0.13829803707922045,-0.0006415884147574062,-0.2062899318824642,0.12730843783259405,-0.13242686366965262,-0.10839799598522526,0.0,7.480929495931882
17,7.3083,-0.11750104287327115,-0.12804458549212522,0.14881167662822334,-0.25513703645534136,0.05659904917147936,0.007581319345777139,0.08975330329456774,0.05058082242738837,-0.09360132657243347,-0.029170516557172736,-0.01499511141192374,-0.0291705165571728,-0.09360132657243295,0.05058082242738871,0.08975330329456763,-0.13613545947720682,0.007581319345776863,-0.25513703645534125,0.14881167662822345,-0.12804458549212525,-0.11750104287327115,0.0,7.280813001793415
18,7.268,-0.12644911480863874,-0.12298700571700327,0.16855002657585133,-0.2986089108520049,0.08762483904364754,0.015445639274662129,0.06596265839136427,0.02272699090135934,-0.10446562001327675,-0.04643825607599239,0.009672931803241913,-0.04643825607599256,-0.10446562001327617,0.02272699090135967,0.06596265839136423,-0.12522114172575774,0.015445639274661811,-0.2986089108520048,0.16855002657585152,-0.12298700571700322,-0.12644911480863863,0.0,7.149072243234786
19,7.3413,-0.13523040996394944,-0.1172807978009498,0.18628939318444207,-0.33578968909580237,0.11576898060357947,0.02257939793270127,0.036642483402825526,-0.00753355307073255,-0.10170098260522385,-0.056392168019493864,0.03222442040164289,-0.05639216801949413,-0.10170098260522324,-0.0075335530707323455,0.036642483402825554,-0.10625673255941961,0.022579397932700973,-0.33578968909580204,0.18628939318444224,-0.11728079780094974,-0.13523040996394947,0.0,7.102421007537344
20,7.1927,-0.14383334647773377,-0.1109560560373482,0.2018193896684456,-0.36589604610007526,0.14010591987696017,0.028645176602647072,0.004250635450847744,-0.03699631892881455,-0.08566809810290942,-0.05746455364516756,0.04772481558172742,-0.057464553645167865,-0.085668098102909,-0.03699631892881444,0.004250635450847792,-0.08046139693160523,0.02864517660264671,-0.3658960461000751,0.20181938966844565,-0.11095605603734822,-0.1438333464777337,0.0,7.144661505000022
21,7.3143,-0.15224657773002506,-0.10404613684030146,0.21495583211014002,-0.3882937007705788,0.15983530731967008,0.033356070812953637,-0.028497535566034488,-0.06254129815113192,-0.058458669730443065,-0.04948651678370878,0.05278244316989191,-0.049486516783709036,-0.05845866973044277,-0.06254129815113192,-0.02849753556603446,-0.049493439558433654,0.03335607081295327,-0.38829370077057873,0.21495583211014002,-0.10404613684030145,-0.1522465777300248,-0.0,7.266600692431525
22,7.1654,-0.1604590073076911,-0.09658748282434955,0.22554292385906746,-0.40251077904726323,0.17430831827598092,0.03648926059483223,-0.05885680983264678,-0.08146336273831135,-0.02362252964963276,-0.0337145642664412,0.046290633002492865,-0.03371456426644142,-0.023622529649632663,-0.08146336273831149,-0.05885680983264671,-0.01534369748507728,0.036489260594831874,-0.40251077904726296,0.2255429238590674,-0.09658748282434947,-0.1604590073076911,-0.0,7.448088075851676
23,7.8052,-0.16845980363975985,-0.08861943060769871,0.2334551032618423,-0.4082477553526893,0.18304899035839595,0.03789654961479701,-0.08428222441814161,-0.09175872923548088,0.014295483903329607,-0.01263271145019976,0.02966987175931467,-0.012632711450199879,0.014295483903329527,-0.09175872923548115,-0.08428222441814143,0.0197924448534018,0.03789654961479668,-0.4082477553526892,0.2334551032618422,-0.0886194306076986,-0.1684598036397597,0.0,7.661754199219636
24,8.1053,-0.17623841428343906,-0.0801840033526008,0.23859853280848084,-0.40538376300052414,0.18576987604371267,0.037511374693649575,-0.10264241290534878,-0.09233715270906973,0.05034846126979147,0.010438739623226698,0.006556983276084397,0.010438739623226737,0.050348461269791166,-0.09233715270907006,-0.10264241290534865,0.05365619030906882,0.03751137469364934,-0.40538376300052403,0.238598532808481,-0.08018400335260069,-0.17623841428343914,0.0,7.8777505161812424
25,8.2657,-0.1837845798419869,-0.07132568913701617,0.2409122120341471,-0.3939791406163534,0.18238149573084478,0.03535195416958154,-0.11239827397409285,-0.08313738004470725,0.07983281159027292,0.031866133659218684,-0.017990652552350352,0.03186613365921882,0.07983281159027247,-0.08313738004470755,-0.11239827397409272,0.08407054031114167,0.035351954169581354,-0.39397914061635314,0.24091221203414706,-0.07132568913701609,-0.18378457984198693,0.0,8.068642551008809
26,8.6877,-0.19108834749607762,-0.062091206326417084,0.24036870097743643,-0.3742741609227873,0.1729952803852167,0.03152042619138043,-0.11273199147500175,-0.0651336364474972,0.09890190884952231,0.04827474734535903,-0.038601715737367495,0.04827474734535922,0.09890190884952169,-0.06513363644749764,-0.11273199147500162,0.10908024757096901,0.031520426191380305,-0.3742741609227874,0.24036870097743632,-0.06209120632641714,-0.19108834749607756,0.0,8.213612451063996
27,8.4016,-0.1981400841308133,-0.05252925718315241,0.23697444561506556,-0.3466839686708274,0.15791990699732814,0.02619801769949591,-0.10361559047488925,-0.040232458245948566,0.10506793544913585,0.05708029390192776,-0.05076625605621705,0.05708029390192804,0.1050679354491353,-0.040232458245948934,-0.10361559047488914,0.12707751306255138,0.026198017699495858,-0.3466839686708272,0.2369744456150658,-0.05252925718315233,-0.19814008413081335,0.0,8.30127976072063
