Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.427,1.917,6.312
1,0.275,2.532,6.316
2,0.320,0.984,6.478
3,0.274,2.046,6.654
4,0.201,2.530,6.650
5,0.111,3.007,6.654
6,0.045,3.468,6.658
7,0.000,3.160,6.661
8,-0.054,3.173,6.665
9,-0.072,3.186,6.920
10,-0.107,3.199,7.003
11,-0.093,3.530,7.010
12,-0.162,3.833,7.016
13,-0.213,3.861,7.063
14,-0.247,3.885,7.325
15,-0.202,4.096,7.352
16,-0.223,4.228,7.379
17,-0.308,4.215,7.406
18,-0.388,4.222,7.662
19,-0.435,4.239,7.407
20,-0.478,4.550,7.369
21,-0.512,4.550,7.364
22,-0.489,4.753,7.359
23,-0.532,4.892,7.354
24,-0.579,4.920,7.349
25,-0.594,4.951,7.344
26,-0.588,5.093,7.039
27,-0.586,5.244,6.988
28,-0.535,5.245,7.198
29,-0.515,5.245,7.348
30,-0.531,5.255,7.517
31,-0.530,5.388,7.657
32,-0.563,5.288,8.108
33,-0.587,5.752,8.389
34,-0.577,6.091,8.449
35,-0.566,6.359,8.442
36,-0.600,6.367,8.707
37,-0.620,6.417,9.026
38,-0.656,6.425,9.421
39,-0.675,6.400,9.806
40,-0.660,6.365,9.796
41,-0.604,6.472,9.796
42,-0.550,6.460,9.796
43,-0.549,6.559,9.796
44,-0.500,6.644,9.796
45,-0.479,6.630,9.796
46,-0.452,6.631,9.807
47,-0.394,6.425,9.533
48,-0.306,6.738,9.517
49,-0.228,6.923,9.501
50,-0.161,6.855,9.484
51,-0.118,6.368,9.468
52,-0.103,6.336,9.452
53,-0.065,6.309,9.436
54,-0.045,6.282,9.380
55,-0.010,6.262,9.181
56,0.045,6.066,9.248
57,0.056,6.003,9.477
58,0.066,5.962,9.460
59,0.070,5.432,9.442
60,0.042,5.210,9.230
61,0.013,4.659,9.185
62,0.005,4.195,9.196
63,0.052,5.642,9.219
64,0.077,5.751,9.038
65,0.082,5.701,8.916
66,0.084,5.542,8.895
67,0.081,5.600,8.873
68,0.070,5.517,8.852
69,0.063,5.657,8.831
70,0.117,6.076,8.865
71,0.167,6.868,8.870
72,0.180,6.477,8.866
73,0.217,6.341,8.862
74,0.247,5.840,8.541
75,0.266,5.094,8.607
76,0.264,4.712,8.339
77,0.066,4.358,8.124
78,-0.377,3.297,7.839
79,-0.368,3.537,7.666
80,-0.003,3.606,7.400
81,0.190,3.498,7.464
82,0.215,3.498,7.288
83,0.234,4.172,7.371
84,0.231,3.985,7.225
85,0.251,3.876,7.760
86,0.225,4.250,7.827
87,0.127,4.453,7.704
88,0.088,4.104,7.788
89,0.053,3.400,7.816
90,0.019,3.013,7.844
91,0.014,2.751,7.866
92,0.035,2.523,7.817
93,0.047,2.265,7.775
94,0.010,1.849,7.809
95,-0.048,1.679,8.053
96,-0.097,1.902,7.813
97,-0.149,3.260,7.786
98,-0.182,4.637,7.758
99,-0.156,4.581,8.051
100,-0.116,4.135,7.910
101,-0.121,3.239,7.843
102,-0.130,2.110,7.954
103,-0.160,2.194,8.149
104,-0.173,2.280,8.160
105,-0.175,2.276,8.179
106,-0.186,2.584,8.180
107,-0.210,2.904,8.215
108,-0.240,4.261,8.452
109,-0.259,3.854,8.480
110,-0.274,2.965,8.508
111,-0.242,2.679,8.536
112,-0.203,4.580,8.403
113,-0.180,4.871,8.469
114,-0.181,4.052,8.503
115,-0.231,3.868,8.579
116,-0.266,3.937,8.603
117,-0.270,5.365,8.526
118,-0.268,5.368,8.539
119,-0.276,5.497,8.759
120,-0.296,5.331,8.597
121,-0.325,5.711,8.548
122,-0.361,5.842,8.576
123,-0.399,6.313,8.591
124,-0.412,6.216,8.575
125,-0.424,6.119,8.850
126,-0.453,6.131,8.775
127,-0.487,6.087,8.569
128,-0.517,6.152,8.541
129,-0.553,6.306,8.513
130,-0.569,6.517,8.485
131,-0.565,6.689,8.281
132,-0.565,6.600,8.212
133,-0.566,6.346,8.167
134,-0.570,6.631,8.143
135,-0.578,6.499,8.134
136,-0.583,6.335,8.354
137,-0.594,5.008,8.175
138,-0.614,5.189,8.055
139,-0.609,5.207,8.136
140,-0.634,5.047,8.162
141,-0.663,5.135,8.341
142,-0.720,5.540,8.250
143,-0.830,5.733,8.503
144,-0.875,5.922,8.514
145,-0.808,5.932,8.284
146,-0.764,5.567,8.412
147,-0.710,5.071,8.503
148,-0.742,4.961,8.494
149,-0.753,4.941,8.243
150,-0.693,5.156,8.228
151,-0.670,5.017,8.212
152,-0.625,4.925,7.952
153,-0.566,5.278,8.125
154,-0.551,5.369,7.880
155,-0.559,4.210,8.239
156,-0.518,3.574,8.248
157,-0.519,4.053,8.059
158,-0.506,5.585,7.941
159,-0.501,5.269,7.581
160,-0.490,4.783,7.813
161,-0.497,4.810,7.844
162,-0.515,4.795,7.883
163,-0.463,4.540,7.987
164,-0.441,4.027,7.922
165,-0.404,3.968,7.941
166,-0.368,4.170,5.569
167,-0.353,4.329,5.012
168,-0.323,4.494,4.579
169,-0.271,4.237,6.290
170,-0.249,3.494,6.295
171,-0.252,2.608,7.385
172,-0.277,2.518,7.770
173,-0.286,1.933,7.701
174,-0.320,1.991,9.444
175,-0.291,2.169,9.392
176,-0.262,2.163,7.209
177,-0.261,3.563,7.234
178,-0.236,3.002,7.623
179,-0.237,1.715,7.298
180,-0.207,1.917,7.179
181,-0.230,2.467,8.184
182,-0.276,2.522,8.355
183,-0.338,2.521,8.230
184,-0.373,2.138,8.313
185,-0.371,2.113,7.642
186,-0.360,2.110,7.680
187,-0.358,2.127,7.434
188,-0.354,1.985,6.736
189,-0.299,2.012,6.165
