,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_174,harmonic_175,harmonic_176,harmonic_177,harmonic_178,harmonic_179,harmonic_180,harmonic_181,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_18_harmonics
0,0.427,-0.06568011567191247,0.11553932440672614,0.0671531680365532,-0.0022653430463997447,-0.005983909500810107,0.010334462505967841,0.014093816271622954,0.0007536914671429157,-0.008325526520171772,0.003903358866871374,0.023082208840014197,-0.004256310705459568,0.009595129526230508,0.00057512754482731,0.003730090579770066,0.008769364541298588,-0.004050265578785423,0.01672405675501599,-0.0026310043671970633,0.008769364541298588,0.003730090579770066,0.0005751275448273097,0.009595129526230506,-0.004256310705459573,0.023082208840014207,0.003903358866871374,-0.008325526520171767,0.000753691467142926,0.014093816271622952,0.010334462505967841,-0.005983909500810103,-0.002265343046399744,0.0671531680365532,0.11553932440672612,-0.06568011567191248,0.0,0.35207986109357636
1,0.275,-0.06300095996657232,0.11077899019449862,0.0669572639737775,0.0017778760611156241,-0.0006727999085001383,0.011109068583932952,0.019365474432452956,0.004382684489586371,-0.0019107488402514135,0.005476094768834154,0.024253408385739913,-0.0009682211115422077,0.01198880497784436,0.011000106415422475,0.005326210766346125,0.014831016078495789,0.0014629342136522976,0.015613728593690627,0.005619766183430618,0.014831016078495789,0.005326210766346123,0.011000106415422475,0.01198880497784436,-0.0009682211115422106,0.024253408385739923,0.005476094768834154,-0.0019107488402514113,0.00438268448958638,0.019365474432452952,0.011109068583932952,-0.0006727999085001347,0.0017778760611156248,0.0669572639737775,0.1107789901944986,-0.06300095996657233,0.0,0.46408496759313517
2,0.32,-0.06025291363647948,0.10553424764448534,0.06610288912644487,0.00579003236460072,0.004656661911455249,0.011447754052466367,0.023604046395242433,0.007706720773423281,0.004672037998560516,0.006455410832228617,0.02225053840544799,0.002470349882003181,0.012200674618350397,0.019109108137228756,0.0056384345450195645,0.01683657695659636,0.006525828964336149,0.009132553570432397,0.011723977060815079,0.01683657695659636,0.005638434545019563,0.019109108137228745,0.012200674618350399,0.002470349882003179,0.022250538405448002,0.006455410832228617,0.0046720379985605125,0.00770672077342329,0.02360404639524243,0.011447754052466367,0.004656661911455254,0.005790032364600718,0.06610288912644487,0.10553424764448531,-0.0602529136364795,0.0,0.5358274996097319
3,0.274,-0.05743898162994954,0.09982803068139805,0.06459844558333017,0.009701026025422372,0.009859102133477763,0.011337228870667421,0.026583417885877793,0.010494506629469012,0.010844019838875452,0.006735182965931581,0.017335716638134574,0.005524977886304458,0.010192180942333557,0.023194852618767886,0.004591499594135095,0.014237552271349712,0.009580011596019395,-0.0004900585791898144,0.013350027184292275,0.014237552271349712,0.004591499594135093,0.023194852618767883,0.01019218094233356,0.005524977886304458,0.01733571663813458,0.0067351829659315805,0.010844019838875443,0.010494506629469018,0.02658341788587779,0.011337228870667421,0.009859102133477767,0.009701026025422369,0.06459844558333017,0.099828030681398,-0.05743898162994955,0.0,0.5576774980721726
4,0.201,-0.05456224094031785,0.09368529114014046,0.062458728335467444,0.013442524704613426,0.014792611750060124,0.010781830054213295,0.028144648952923984,0.012552061842033111,0.016062503964706223,0.0062850935181444,0.010152151071284417,0.0077209111200272325,0.00632884354761907,0.022397121740534386,0.0024377721984145647,0.007744741585833372,0.009685375694722888,-0.009944099233130433,0.009876820674104876,0.007744741585833371,0.002437772198414562,0.02239712174053439,0.006328843547619076,0.007720911120027237,0.010152151071284423,0.006285093518144402,0.01606250396470622,0.012552061842033111,0.028144648952923984,0.010781830054213298,0.01479261175006013,0.013442524704613426,0.062458728335467444,0.09368529114014044,-0.05456224094031785,0.0,0.5304672863070927
5,0.111,-0.05162583724129269,0.08713288965778287,0.05970477977932441,0.016949157456024627,0.0193226174795617,0.009803351490567826,0.028204452906300515,0.013736217235096326,0.01986863722371782,0.005153916664392168,0.001639962622800954,0.008716856563879705,0.001313739345845365,0.016883870830876883,-0.00030358627428200163,-0.0008661555367251175,0.006809489190416914,-0.01597754538649869,0.0026310043671970637,-0.0008661555367251199,-0.00030358627428200396,0.016883870830876883,0.001313739345845369,0.008716856563879712,0.0016399626228009582,0.005153916664392168,0.01986863722371781,0.013736217235096328,0.028204452906300505,0.009803351490567828,0.019322617479561707,0.016949157456024627,0.05970477977932441,0.08713288965778286,-0.05162583724129269,0.0,0.4647326885788581
6,0.045,-0.04863298144720706,0.08019947821883075,0.05636368278177424,0.02015965687843181,0.02332555257452528,0.008440188745349998,0.02675963939613822,0.013964576695607411,0.021927752267693168,0.003464232968796272,-0.007086849490202215,0.00835802388892001,-0.003940448246169773,0.007815867126047236,-0.002971764517329754,-0.009240170347023862,0.001837577256123974,-0.016514998127048007,-0.005619766183430618,-0.009240170347023862,-0.002971764517329755,0.007815867126047234,-0.003940448246169771,0.008358023888920017,-0.007086849490202217,0.0034642329687962726,0.02192775226769315,0.013964576695607406,0.02675963939613822,0.008440188745349998,0.023325552574525284,0.020159656878431808,0.056363682781774255,0.08019947821883074,-0.04863298144720706,0.0,0.37751568793400864
7,0.0,-0.045586946201931176,0.07291537486738632,0.05246829434190398,0.023017929571075096,0.02669222740043327,0.006745832417718536,0.023887284607753287,0.01322125047460705,0.022058794329353818,0.0013991458779184136,-0.014886198021816543,0.0067001830453346225,-0.008477525759428036,-0.002897699719564127,-0.004923591501234678,-0.015087118337715567,-0.003699958405690548,-0.011371583204678832,-0.01172397706081508,-0.015087118337715566,-0.004923591501234678,-0.002897699719564123,-0.008477525759428034,0.006700183045334629,-0.01488619802181655,0.0013991458779184132,0.022058794329353804,0.013221250474607043,0.023887284607753283,0.006745832417718536,0.026692227400433272,0.023017929571075093,0.052468294341904,0.07291537486738629,-0.04558694620193118,0.0,0.28769895611240415
8,-0.054,-0.04249106230028426,0.06531243113405609,0.048056922468881394,0.025474036189779423,0.029330807844301157,0.004786769165610163,0.019740619493380126,0.011557960830591286,0.020250241085045702,-0.0008175603788170589,-0.020737373878158848,0.004000996469450581,-0.011471804386565622,-0.013001180982262082,-0.005688574456668749,-0.01680793502098978,-0.008098611738543385,-0.0023165445081691437,-0.013350027184292273,-0.016807935020989782,-0.005688574456668746,-0.013001180982262085,-0.011471804386565622,0.004000996469450587,-0.020737373878158858,-0.0008175603788170592,0.02025024108504569,0.011557960830591279,0.019740619493380122,0.004786769165610165,0.029330807844301157,0.025474036189779423,0.048056922468881394,0.06531243113405608,-0.04249106230028426,0.0,0.21122540312369426
9,-0.072,-0.039348715045859475,0.05742389275731154,0.04317294945352616,0.02748506398025167,0.031169320309886096,0.0026398727647444285,0.014540855390365372,0.00909044308203954,0.016661115794647834,-0.0029456712827513666,-0.023874627409464198,0.0006799730616152954,-0.012378364552959566,-0.02036737617471149,-0.005082312331613082,-0.013931999339050842,-0.010004435480673486,0.007535344583655837,-0.009876820674104876,-0.013931999339050842,-0.005082312331613078,-0.020367376174711495,-0.012378364552959566,0.0006799730616152974,-0.023874627409464208,-0.0029456712827513666,0.01666111579464782,0.009090443082039532,0.014540855390365367,0.002639872764744429,0.031169320309886096,0.02748506398025167,0.04317294945352615,0.0574238927573115,-0.03934871504585947,0.0,0.15752292934483322
