,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,harmonic_174,harmonic_175,harmonic_176,harmonic_177,harmonic_178,harmonic_179,harmonic_180,harmonic_181,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_23_harmonics
0,1.917,-0.21183874994304702,-0.8857718480175977,0.07501645186273223,-0.153119740626384,0.008033791943975242,0.02133484624450735,-0.058166988552064286,0.05516372831913898,-0.029965855191835797,-0.05146640378712097,0.015123983820194892,-0.11811016076241314,0.04138981570622901,-0.03267222840846478,-0.014331214716206473,0.010721490313367325,0.0405092489526439,-0.03556168158463419,0.007110328697506543,-0.017334119190177202,0.03638360513299239,-0.11503211480891352,0.00833544774424532,-0.021736803935962824,0.036383605132992394,-0.017334119190177202,0.00711032869750654,-0.03556168158463418,0.0405092489526439,0.010721490313367334,-0.014331214716206471,-0.032672228408464773,0.04138981570622902,-0.11811016076241314,0.0151239838201949,-0.05146640378712097,-0.029965855191835786,0.055163728319139016,-0.05816698855206428,0.021334846244507346,0.00803379194397525,-0.153119740626384,0.07501645186273223,-0.8857718480175977,-0.21183874994304702,0.0,-2.7235368705739464
1,2.532,-0.20506994353395344,-0.8741663712821174,0.08255662608023605,-0.1617432443963155,0.02996864391007816,0.03573741311182919,-0.0735990809154173,0.051311699218814844,-0.028575543705603442,-0.07570051571541848,0.012333529709713537,-0.07646363476943217,0.010962124098939978,-0.0008243791675795505,-0.04895583387357407,0.06302279991691731,0.0003505046473439901,-0.015235557141529734,-0.01569071835804141,-0.03097847602249241,-0.010430324001377694,-0.09257178717132739,0.007448148386619594,0.026940277033627797,-0.010430324001377689,-0.03097847602249241,-0.01569071835804141,-0.015235557141529714,0.0003505046473439995,0.06302279991691731,-0.04895583387357407,-0.0008243791675795505,0.010962124098939983,-0.07646363476943216,0.012333529709713544,-0.07570051571541848,-0.028575543705603428,0.051311699218814885,-0.0735990809154173,0.03573741311182918,0.029968643910078165,-0.1617432443963155,0.08255662608023605,-0.8741663712821174,-0.20506994353395344,0.0,-2.720563926129039
2,0.984,-0.19807689615241197,-0.8587383874257696,0.08928492234575673,-0.16754079262649435,0.05108602939273826,0.04873764144955078,-0.08510489742390323,0.04388929025580373,-0.024672629326875768,-0.09173130215142435,0.007928973359365061,-0.022933093189946546,-0.021460530818316313,0.03119703596821147,-0.07177952700426131,0.09808819063937531,-0.03991612831650545,0.010331329863340379,-0.032498444308719475,-0.03155862150725004,-0.05241295023150354,-0.02323708283579339,0.0024558050963373163,0.05951983040490509,-0.05241295023150356,-0.03155862150725004,-0.03249844430871948,0.010331329863340401,-0.03991612831650542,0.0980881906393753,-0.07177952700426131,0.03119703596821147,-0.02146053081831631,-0.02293309318994652,0.007928973359365068,-0.09173130215142432,-0.024672629326875754,0.04388929025580378,-0.08510489742390323,0.04873764144955077,0.05108602939273826,-0.16754079262649432,0.08928492234575673,-0.8587383874257697,-0.198076896152412,0.0,-2.597023021753032
3,2.046,-0.1908672545930636,-0.8395553590964994,0.09513517328240705,-0.17041109135809587,0.07080992116490402,0.059825401410429385,-0.09207063952207935,0.03341296882248632,-0.018600289216450926,-0.09782157864151685,0.0024867437751232555,0.034161720971373544,-0.04997764961788693,0.05665018533604377,-0.07730058587495628,0.10632773263276822,-0.06789619797458424,0.032344421870227937,-0.03689286911496229,-0.018829897281666157,-0.07011801436096748,0.057863882122866674,-0.0038900541669372735,0.056534711913531294,-0.0701180143609675,-0.018829897281666157,-0.03689286911496229,0.03234442187022796,-0.06789619797458421,0.10632773263276821,-0.07730058587495628,0.05665018533604377,-0.04997764961788694,0.03416172097137357,0.0024867437751232586,-0.09782157864151685,-0.01860028921645092,0.03341296882248636,-0.09207063952207933,0.059825401410429364,0.07080992116490405,-0.17041109135809587,0.09513517328240705,-0.8395553590964993,-0.1908672545930636,0.0,-2.36786577490447
4,2.53,-0.1834489024931025,-0.8167011687963083,0.10004984638220375,-0.17030399112965977,0.08860230287537926,0.06856560853685628,-0.09412470712104326,0.020611700196762353,-0.010892454748753728,-0.09331136922761801,-0.003280928629776846,0.0859471037185343,-0.0693994893997967,0.07017612875166948,-0.06418814545555299,0.08548801796214726,-0.07497717321094988,0.043231604030511406,-0.027195471861790763,0.0018397520417784473,-0.055344570020585675,0.10966506265786594,-0.008091911669401241,0.019768608759127382,-0.05534457002058568,0.0018397520417784477,-0.027195471861790763,0.043231604030511406,-0.07497717321094986,0.08548801796214724,-0.06418814545555297,0.0701761287516695,-0.06939948939979672,0.08594710371853434,-0.003280928629776843,-0.09331136922761801,-0.010892454748753718,0.02061170019676239,-0.09412470712104326,0.06856560853685627,0.08860230287537926,-0.17030399112965977,0.10004984638220377,-0.8167011687963084,-0.1834489024931025,0.0,-2.0759708554506
5,3.007,-0.17582995171163482,-0.7902757520844146,0.10398060979196455,-0.16722136318152736,0.10397784473237968,0.07461529650466801,-0.091157522276101,0.006376224549274494,-0.002226863760653868,-0.07868942508283347,-0.008619222391676137,0.12437454548779223,-0.07619152916909361,0.06892709595874992,-0.035602992258609585,0.041268438467314005,-0.05897946261286942,0.03924787797368763,-0.00711032869750654,0.021733543008490355,-0.014935643806459009,0.10593656601254776,-0.007833915369577523,-0.02880976064194843,-0.01493564380645901,0.02173354300849036,-0.007110328697506538,0.03924787797368761,-0.05897946261286941,0.041268438467313984,-0.035602992258609585,0.06892709595874993,-0.07619152916909364,0.12437454548779228,-0.008619222391676139,-0.07868942508283347,-0.0022268637606538575,0.00637622454927452,-0.091157522276101,0.074615296504668,0.10397784473237971,-0.16722136318152733,0.10398060979196455,-0.7902757520844145,-0.17582995171163485,0.0,-1.775384271117095
6,3.468,-0.16801873345947982,-0.7603946605844812,0.10688880761817292,-0.16121706676178993,0.11651714203509259,0.07773707514511412,-0.08332737482007009,-0.008302922698984527,0.006634531877179215,-0.05554026073809056,-0.012829509289704142,0.14347163444818464,-0.06911770646039327,0.053166059995658085,0.0015643511438430569,-0.014237524030331964,-0.02482731340322389,0.021763575101555015,0.01569071835804141,0.032461886359638564,0.03239143943609473,0.0485663427343745,-0.0032582598224432675,-0.06017353657556742,0.032391439436094745,0.032461886359638564,0.01569071835804141,0.021763575101555,-0.024827313403223892,-0.014237524030331973,0.0015643511438430638,0.053166059995658085,-0.06911770646039328,0.14347163444818464,-0.012829509289704147,-0.05554026073809057,0.00663453187717922,-0.008302922698984505,-0.0833273748200701,0.07773707514511412,0.11651714203509261,-0.16121706676178996,0.10688880761817293,-0.7603946605844812,-0.1680187334594798,0.0,-1.5139171551195867
7,3.16,-0.160023789189113,-0.7271885567067659,0.10874584007656911,-0.15239600810497367,0.1258781554406084,0.07780844565128095,-0.07105197810635498,-0.02240433449008233,0.014912563497281145,-0.026372447346436265,-0.015360784569136183,0.14027029167505004,-0.049465364551120786,0.02621137049950138,0.038354603795969215,-0.06584970825126052,0.01696691861120065,-0.0032070132108061866,0.032498444308719475,0.029500436067135687,0.06471487989635474,-0.03339579038733935,0.0031131842913054396,-0.05558203393115933,0.06471487989635474,0.029500436067135684,0.03249844430871948,-0.00320701321080621,0.016966918611200636,-0.06584970825126053,0.038354603795969215,0.026211370499501372,-0.0494653645511208,0.14027029167505004,-0.015360784569136192,-0.026372447346436276,0.014912563497281142,-0.022404334490082316,-0.07105197810635498,0.07780844565128094,0.12587815544060843,-0.15239600810497367,0.10874584007656912,-0.7271885567067659,-0.16002378918911303,0.0,-1.3207807100399511
8,3.173,-0.15185386125471353,-0.6908026422946458,0.1095334447480031,-0.14091230752485587,0.13180554090556543,0.07482660743963544,-0.0549861853359265,-0.03494680385833864,0.021879356718428607,0.005653229925887414,-0.01588177752366069,0.11526807143099167,-0.020810972810722677,-0.006261896074252875,0.06589938340911633,-0.09945285080380017,0.05353857197352244,-0.027074445621866793,0.03689286911496229,0.014098091931231826,0.06706253176655966,-0.09844772973862646,0.007768798158005954,-0.01777879689885361,0.06706253176655967,0.014098091931231826,0.03689286911496229,-0.02707444562186681,0.05353857197352243,-0.09945285080380017,0.06589938340911633,-0.006261896074252889,-0.020810972810722687,0.11526807143099164,-0.0158817775236607,0.005653229925887419,0.021879356718428604,-0.03494680385833865,-0.0549861853359265,0.07482660743963543,0.13180554090556543,-0.14091230752485592,0.10953344474800313,-0.6908026422946458,-0.1518538612547135,0.0,-1.2015098159572333
9,3.186,-0.14351788335252796,-0.6513960236939026,0.10924387617462401,-0.1269666066457119,0.1341376148060203,0.06890856804511411,-0.0359870552309761,-0.045057598449484246,0.02692233230226265,0.0370662920168409,-0.01432430524743923,0.07235083103855999,0.011630743979766073,-0.03741677465534847,0.0775589520620512,-0.10585692776091381,0.07363054452518714,-0.04162874693587892,0.027195471861790756,-0.007249685170876746,0.038346967916240926,-0.11364996747093631,0.008142642101882756,0.030647741199987727,0.03834696791624094,-0.0072496851708767455,0.027195471861790756,-0.041628746935878924,0.07363054452518711,-0.1058569277609138,0.0775589520620512,-0.037416774655348484,0.011630743979766078,0.07235083103855995,-0.014324305247439236,0.0370662920168409,0.026922332302262635,-0.04505759844948427,-0.0359870552309761,0.06890856804511411,0.1341376148060203,-0.12696660664571194,0.10924387617462404,-0.6513960236939025,-0.1435178833525279,0.0,-1.1396784089982699
