,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_147,harmonic_148,harmonic_149,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_10_harmonics
0,2.508,-0.7776132494798442,-0.186329358827301,0.17131063334303426,-0.5537700879371152,-0.30222798483528446,-0.09491887031169194,-0.20474267352517997,0.1366066926007031,-0.19967598162046254,0.07733453830655679,-0.02048951153101832,0.13660669260070313,-0.20474267352517997,-0.09491887031169208,-0.30222798483528446,-0.5537700879371154,0.1713106333430342,-0.18632935882730103,-0.7776132494798442,0.0,-3.766200752790284
1,2.502,-0.8050836189511102,-0.34805369026178157,0.19413336397881398,-0.6212093120826659,-0.3357046952777057,-0.19520017507990953,-0.10662928565320114,0.15681140290720974,-0.2262825159825845,0.04562445648149621,-0.10763352015054126,0.15681140290720974,-0.10662928565320116,-0.1952001750799096,-0.33570469527770563,-0.6212093120826659,0.1941333639788139,-0.34805369026178157,-0.8050836189511104,0.0,-4.4101636004923295
2,2.495,-0.831231238150416,-0.507491556049701,0.21408859259683694,-0.6723517282438624,-0.3554376160518308,-0.28399102923707403,1.2214752686645625e-05,0.16066887013314743,-0.22310320586601215,0.00651936306263961,-0.17372901675068214,0.16066887013314743,1.2214752686645625e-05,-0.28399102923707414,-0.3554376160518308,-0.6723517282438626,0.21408859259683688,-0.5074915560497008,-0.8312312381504162,0.0,-4.941779840054481
3,2.488,-0.8560131466080747,-0.6635955626047108,0.23088156482230515,-0.7058556660371094,-0.36061887906264734,-0.35606476265346626,0.10665273823385026,0.1477769618235502,-0.19055654775188335,-0.03364241725509408,-0.2058505497372788,0.1477769618235502,0.1066527382338502,-0.35606476265346637,-0.36061887906264734,-0.7058556660371096,0.23088156482230515,-0.6635955626047108,-0.8560131466080747,0.0,-5.3437230189168625
4,2.481,-0.8793886277135626,-0.8153402174287706,0.24426423528705668,-0.7208421830024079,-0.35103636279371997,-0.4071787578527637,0.20476327346520032,0.11947963100098048,-0.1329266980748177,-0.06835128733935149,-0.1977165214054182,0.11947963100098047,0.20476327346520026,-0.4071787578527638,-0.35103636279371997,-0.720842183002408,0.24426423528705668,-0.8153402174287707,-0.8793886277135626,0.0,-5.609552524895562
5,2.475,-0.9013192756128026,-0.96172866586982,0.2540389314541605,-0.7169181227839411,-0.3270823765869963,-0.43432419152253476,0.286497029763582,0.07872681202551501,-0.057799544468942914,-0.09198148161449797,-0.15091759972609764,0.078726812025515,0.28649702976358193,-0.4343241915225349,-0.3270823765869963,-0.7169181227839413,0.2540389314541604,-0.9617286658698198,-0.9013192756128026,0.0,-5.744918344075213
6,1.922,-0.9217690583088808,-1.1017992397491294,0.260061273396294,-0.6941864291957435,-0.28973759945225364,-0.4359031487799142,0.34531701621452265,0.029766896440494364,0.02493583390416846,-0.10070291476873958,-0.07460565173928357,0.02976689644049435,0.3453170162145226,-0.4359031487799142,-0.28973759945225364,-0.6941864291957436,0.260061273396294,-1.1017992397491292,-0.9217690583088808,0.0,-5.766873311473076
7,2.436,-0.9407043768625248,-1.2346317748385078,0.26224230640048707,-0.6532434455932035,-0.24053093095321323,-0.41182268436819064,0.37651886421399644,-0.022296152480785144,0.10438887794671547,-0.0931019787448211,0.016295970125629076,-0.02229615248078518,0.37651886421399644,-0.41182268436819064,-0.24053093095321323,-0.6532434455932037,0.26224230640048707,-1.2346317748385074,-0.940704376862525,0.0,-5.70135351963636
8,2.988,-0.9580941205950707,-1.3593536556860133,0.2605498148989868,-0.5951632703987035,-0.18147689787976398,-0.3635002938756793,0.37760707855751635,-0.07203487665521895,0.17010108624539272,-0.07041066652096843,0.10401079736952538,-0.07203487665521896,0.37760707855751624,-0.36350029387567934,-0.18147689787976395,-0.5951632703987038,0.2605498148989869,-1.359353655686013,-0.9580941205950707,0.0,-5.579231226173944
9,3.028,-0.9739097182032279,-1.475145548079968,0.2550087983184562,-0.5214695791986078,-0.11499317928448699,-0.29378047291379517,0.3484946248593063,-0.11426412373085733,0.2134226804103992,-0.03630688529684091,0.17138556219126966,-0.1142641237308574,0.3484946248593063,-0.29378047291379505,-0.11499317928448696,-0.5214695791986079,0.25500879831845624,-1.4751455480799678,-0.9739097182032277,0.0,-5.431617039161533
