,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_7_harmonics
0,0.374,0.12640909141681886,0.4280511698814433,-0.21124625487712084,0.11603950654077161,0.06609630785820876,-0.011131329702482345,-0.009908845168830775,0.04015090294050985,0.06609630785820876,0.11603950654077164,-0.21124625487712084,0.42805116988144337,0.12640909141681886,0.0,1.06981036970944
1,0.361,0.1348805875237846,0.43114727104376754,-0.2375583481179077,0.11712210812769493,0.05579000907429779,-0.03956955731550915,-0.025929587925414305,0.025002582312395744,0.055790009074297806,0.11712210812769498,-0.23755834811790763,0.4311472710437676,0.1348805875237846,0.0,0.9622666923747467
2,0.357,0.14313047517961616,0.4314110407255414,-0.2603615182730295,0.11513212778489694,0.04319966076383735,-0.06567852449703808,-0.03987650600586691,0.007247797593500422,0.04319966076383735,0.11513212778489695,-0.2603615182730295,0.43141104072554154,0.14313047517961616,0.0,0.8467163394523203
3,0.349,0.15114519984055744,0.4288407461472171,-0.27931894463794105,0.11012177066595218,0.028840713265960785,-0.08792132792317534,-0.05063413768536612,-0.011262554047590113,0.028840713265960775,0.1101217706659522,-0.2793189446379411,0.42884074614721723,0.1511451998405574,0.0,0.7294409509073613
4,0.266,0.15891159333503538,0.4234532723194105,-0.29415061115956054,0.1022224785028378,0.013301023578335843,-0.10498864584707941,-0.05734209744225049,-0.028598809256210448,0.013301023578335843,0.10222247850283782,-0.2941506111595606,0.42345327231941055,0.15891159333503538,0.0,0.6165459606065777
5,0.198,0.16641689549893154,0.415284011120368,-0.304637442492951,0.09164148136292517,-0.0027832115773900597,-0.11587581127197392,-0.059463888803443235,-0.042953701642621106,-0.0027832115773900597,0.0916414813629252,-0.304637442492951,0.4152840111203681,0.16641689549893154,0.0,0.5135500661057292
6,0.105,0.17364877514049787,0.4043866287964534,-0.31062453991595523,0.07865636117442788,-0.01875350172412415,-0.11994195163430763,-0.05682981284063511,-0.05283076531923022,-0.01875350172412413,0.07865636117442792,-0.3106245399159551,0.40438662879645343,0.17364877514049787,0.0,0.4250249171484268
7,0.082,0.1805953503004727,0.3908327134130089,-0.31202346930478797,0.06360776964080514,-0.033956021306829676,-0.11694771374194389,-0.04965054053503059,-0.05720033817058992,-0.03395602130682969,0.06360776964080517,-0.31202346930478797,0.39083271341300907,0.1805953503004727,0.0,0.354314093037774
8,0.115,0.18724520777410836,0.3747113045715896,-0.30881356737539034,0.04689049158238787,-0.04776837738757053,-0.10706935329038021,-0.038500263505364694,-0.055606901859161305,-0.04776837738757054,0.0468904915823879,-0.3088135673753904,0.37471130457158963,0.18724520777410833,0.0,0.3033535996753437
9,0.151,0.1935874218630367,0.35612830848299387,-0.3010422468963391,0.028943088149564665,-0.059625090485518215,-0.09088835957818107,-0.02427077068852034,-0.04821656860786572,-0.059625090485518215,0.028943088149564665,-0.3010422468963392,0.3561283084829939,0.1935874218630367,0.0,0.27260726335290864
