,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_9,harmonic_10,harmonic_13,harmonic_15,harmonic_18,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_29,harmonic_32,harmonic_38,harmonic_42,harmonic_53,harmonic_57,harmonic_63,harmonic_66,harmonic_71,harmonic_72,harmonic_73,harmonic_77,harmonic_80,harmonic_82,harmonic_85,harmonic_86,harmonic_88,harmonic_89,harmonic_90,harmonic_91,harmonic_92,harmonic_93,all_38_harmonics
92,0.839833698,-0.18603389114157734,0.083295756272187,-0.23928390176758568,0.012848039586437454,-0.11252715688115347,-0.002142474007796018,-0.04207348556413695,-0.06204594677089144,-0.004674831755640482,-0.0035494685278963946,0.025088605023903622,-3.8933554947393555e-05,-0.04163922717232928,-0.02239136806568854,-0.06718524497324133,0.007940907279536754,-0.005807297255594847,0.04549580848517903,-0.006636081063919974,-0.01675910821516776,-0.007446270001723204,-0.02805589491815376,-0.015761275023891953,0.00033760658394936185,-0.022391368065688543,-0.04163922717232928,-0.021796889330109474,-0.0418502989199417,-0.0035494685278964033,-0.048306464695034114,0.06779315615768257,-0.04207348556413696,-0.11252715688115346,0.012848039586437463,-0.23928390176758568,0.08329575627218698,-0.18603389114157734,0.0,1.0527318185954266
91,1.193907727,-0.18798486328799469,0.08003548070335292,-0.2698814553988427,0.03902785271699001,-0.15636221412228019,0.07388545157999217,-0.04995874071206141,-0.09510812147066,-0.027732117834381075,0.014399326375629332,0.04531481006147427,-0.03840555506600831,-0.039380494718239574,0.05258956716730243,-0.045540394472119404,-0.04411903958456895,0.018362017097745712,-0.022932638360270912,0.009406101084206142,0.016904048449725612,0.022268114261849672,0.015973672887502132,0.040702694837077225,0.02076677691340049,0.05258956716730242,-0.039380494718239574,0.04239174792622631,-0.008629046731229405,0.014399326375629322,-0.045605078199997755,0.054400989275886144,-0.04995874071206141,-0.15636221412228019,0.03902785271699003,-0.2698814553988427,0.08003548070335292,-0.18798486328799469,0.0,1.4011802980574353
90,1.936394446,-0.18907810361946367,0.07531613721725929,-0.28943003053634647,0.06237468427809982,-0.18252339346371377,0.13793769979684026,-0.04687689830754639,-0.09407659135914563,-0.03860528634790389,0.021936387180480688,0.02285120229074042,-0.02663796847074397,0.0297126255879018,0.03126334017229709,0.06564693780871451,-0.0034717219096953886,-0.00810299149209808,-0.019933967760941078,-0.00915844224692498,-0.015498524220775434,-0.032864116533292624,0.0038155868128940604,-0.020089182493875903,-0.010748097024340902,0.03126334017229709,0.0297126255879018,0.04026388428490067,0.03373096168483874,0.021936387180480684,-0.018853917349067394,0.025499876776668623,-0.04687689830754639,-0.18252339346371368,0.06237468427809984,-0.2894300305363464,0.07531613721725927,-0.18907810361946373,0.0,2.212936344710965
89,2.134834379,-0.18930862393109768,0.06922376069007066,-0.29712930621710765,0.08119381783232592,-0.18805365383266087,0.1796324019104731,-0.033504493943960066,-0.05932113225130618,-0.03251720616376642,0.013611884433630693,-0.021139882852468827,0.019902542316000135,0.04837912843144273,-0.047315375024103226,0.047757879760311525,0.04447071924289939,-0.012223532922767932,0.04515201412080379,0.005972558815906155,0.012671452300892028,0.037223463022646903,-0.021763887861747863,-0.02300837787732331,-0.015378701441173561,-0.04731537502410321,0.04837912843144273,-0.02485170807593396,0.04036755293173099,0.013611884433630698,0.01783983050897763,-0.010670886650672598,-0.033504493943960066,-0.18805365383266087,0.08119381783232592,-0.29712930621710765,0.06922376069007065,-0.18930862393109768,0.0,1.8261744850801787
88,2.223668339,-0.18867537241158688,0.061869416752336995,-0.29266407319012927,0.09411919670986857,-0.17232790081572416,0.19221149811462798,-0.012777079260031217,-0.003300641926642377,-0.012142677856270314,-0.004554976046336063,-0.04521567671370861,0.04046248345337029,-0.015060737795938105,-0.03924554481931621,-0.0640337262972755,-0.0010330880249298155,0.01736302384951853,-0.030394676296606204,-0.0008705504886111926,-0.008682135930988174,-0.03451887625049459,0.029211466580058392,0.040354692601878385,0.018457517942502874,-0.03924554481931622,-0.015060737795938101,-0.051089962238914176,0.0042521186967292525,-0.004554976046336055,0.04512576864007154,-0.04379953259158966,-0.012777079260031214,-0.17232790081572416,0.09411919670986858,-0.29266407319012927,0.061869416752336995,-0.18867537241158688,0.0,2.3426250385890164
87,2.08533492,-0.18718123844237206,0.05338717703326251,-0.27621713862017855,0.1002125843030499,-0.13712364210721606,0.1736361134408561,0.010755199451348646,0.05390303979949816,0.013566741044180961,-0.019428265828402073,-0.026695048515792685,0.008203123777004115,-0.0529403565354789,0.040694567938204376,-0.04992087244134227,-0.044366069143299554,-0.0009299607263330323,-0.011272620823231199,-0.004510749096603378,0.0038964811414223814,0.02526360831395554,-0.022564987225028758,-0.012535563342223438,0.0061258542181753285,0.04069456793820437,-0.0529403565354789,0.0025955350927292786,-0.03636660279925761,-0.019428265828402066,0.04861469564291675,-0.06444155690901857,0.010755199451348648,-0.137123642107216,0.10021258430304991,-0.27621713862017855,0.053387177033262505,-0.1871812384423721,0.0,2.1297339449805364
86,2.40168684,-0.18483303941406004,0.04393167499955276,-0.24846184194098192,0.09903166945342279,-0.08642007289477183,0.1269170275370745,0.03192646345543811,0.09178393080138014,0.03331560659467366,-0.020253541659895825,0.016974236876135557,-0.03476450749839075,-0.000972543264996818,0.046110805194813524,0.0623474511425234,0.005527297078427777,-0.016658524874354475,0.04295969099318645,0.008444903678936045,0.0012465646932810464,-0.011214040530407383,0.005031268110840858,-0.02931351503708744,-0.021528439686569697,0.046110805194813524,-0.000972543264996818,0.05222064770972396,-0.03847058122441375,-0.020253541659895825,0.026466730730671073,-0.0667122130784252,0.03192646345543812,-0.08642007289477184,0.09903166945342279,-0.24846184194098192,0.04393167499955277,-0.18483303941406004,0.0,2.3635567017688666
85,2.40168684,-0.18164148962023374,0.033675286946542364,-0.21053448825969462,0.09066217324916329,-0.025948300891144797,0.05962667432477294,0.04608913128136871,0.09676274998464443,0.03842724645868076,-0.006434070590162202,0.04465256933627364,-0.032350915910512625,0.05264581640518789,-0.032915576789632986,0.052026904501324654,0.04380616313740551,0.013549755701981131,-0.03661235261413562,-0.009669752135597974,-0.006275273760425847,-0.00496362677602592,0.014929956131937323,0.038354564510083594,0.0046664616278603325,-0.03291557678963297,0.05264581640518789,0.020153195142920792,0.00016844182963529004,-0.006434070590162209,-0.009638427703301233,-0.049964169433309905,0.04608913128136872,-0.025948300891144777,0.09066217324916329,-0.21053448825969467,0.03367528694654237,-0.18164148962023374,0.0,2.228140830248185
84,2.134834379,-0.17762115137058807,0.02280498953287823,-0.16398782789230348,0.07571162664166976,0.03745645018436948,-0.017328231233703403,0.05013417020661872,0.067054724514772,0.026655859524795475,0.012037689788760849,0.03026496741890056,0.012293221438266546,0.016916621211299988,-0.05166373317806801,-0.06059003641499975,-0.009964788584273068,0.006393802144170556,-0.0021497714645415293,0.007792336825766127,0.010728405385677865,0.02019934173752178,-0.027687719083949836,-0.004468736754474194,0.019189118839147007,-0.05166373317806801,0.016916621211299988,-0.04344136940124466,0.03862907335707969,0.012037689788760839,-0.04066077473645888,-0.018972054184439834,0.05013417020661872,0.03745645018436944,0.07571162664166975,-0.1639878278923035,0.022804989532878236,-0.1776211513705881,0.0,1.704717508521969
83,2.34548169,-0.1727903685464508,0.01151895114672976,-0.11072748658324978,0.05526527055616704,0.09662743717032703,-0.09147450123231977,0.04317360075323622,0.013309382899255965,0.0031732095639879516,0.021805346796915783,-0.012634412259640647,0.040889916670301674,-0.047522523699360004,0.024199794850966072,-0.05407357291947365,-0.042796746618511676,-0.018393430203947996,0.0390085930687587,-0.00341497282522314,-0.014197511713672069,-0.03160180771104983,0.02708660737562895,-0.034418553447041436,-0.01428606408555177,0.024199794850966065,-0.047522523699360004,-0.03907743367533793,0.036178849294719914,0.021805346796915776,-0.0502407189464213,0.01742872293829927,0.04317360075323622,0.096627437170327,0.055265270556167034,-0.11072748658324978,0.01151895114672977,-0.1727903685464508,0.0,2.467804810466975
