,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_5,harmonic_6,harmonic_8,harmonic_10,harmonic_11,harmonic_12,harmonic_14,harmonic_15,harmonic_17,harmonic_18,harmonic_19,harmonic_21,harmonic_22,harmonic_24,harmonic_26,harmonic_27,harmonic_29,harmonic_30,harmonic_31,harmonic_32,harmonic_34,harmonic_36,harmonic_37,harmonic_38,harmonic_40,harmonic_42,harmonic_43,harmonic_44,harmonic_46,all_32_harmonics
92,9.124751758,0.08309242469842215,-0.6731558657251936,0.00600541118869527,-0.20472764059604892,0.0063563545115233175,0.0313740995678809,0.007706527971487684,0.02960466525444449,0.04810865805286465,-0.009026642862557357,0.0023212810221165366,0.029956619156672613,0.03817825592646677,-0.001307943351958563,0.043751763501930906,0.05046473310538921,-0.0003921490779963543,0.036928257765603385,0.044210823313677046,0.0542503754122217,0.05109296094924195,0.002455658779569914,0.01923788796366948,0.02107134855709354,0.04015223758608011,0.05709910473347145,0.028804715497995376,0.045920678886546294,0.03642480808447294,0.057650427693949936,0.003653543373363506,0.059367349654625715,8.201557597035592
91,9.072158457,0.19006032183444127,-0.6388631716692897,0.04453573422206477,-0.13469548977391677,0.020796709346124383,0.04115313200256284,0.08383784341929018,0.09646533485213135,0.0847725271104312,0.06202285390736848,0.0775517493646191,0.07478890594929871,0.13577206552860765,0.059660929010596095,0.05653064725852565,0.03292814094909315,0.013068561993587908,0.04446690670610067,0.002087685311609726,0.02769848893502926,0.061165425576570905,0.0343874351021505,0.010019970591957125,-0.028644148631072158,-0.015636476070592716,-0.02731686759885453,-0.016243238671643075,-0.04524035157706651,-0.0239374238436428,-0.04938115508663489,-0.0009855300223714015,-0.060074707945442916,8.30507057574602
90,8.627364091,0.2961610173141922,-0.5929238335361633,0.08124275906365636,-0.049438486494515876,0.031866242507709606,0.039199993851567465,0.12313496730857595,0.11245514471385949,0.06870227559820315,0.08159945999961535,0.07972288768144424,0.03134340829797346,0.05613044716888642,0.035100550611124236,-0.026631142951423447,-0.04490968552164592,-0.0009316745277884815,-0.053356650363807955,-0.045257390533505665,-0.0752335809560362,-0.10496675235215308,-0.03684309388172042,-0.03040663742499969,0.016973500456421684,-0.016423631128372747,-0.013337423045155943,-0.001529417311622815,0.03597471816446939,0.009254463488139355,0.038363566960660817,-0.0017105319165042069,0.06071351990470531,7.993309445197837
89,8.82015,0.40091039799947126,-0.5361753375734278,0.11462369580356298,0.04140663012003125,0.03777075561276439,0.026071496926045483,0.10833269182862418,0.06914189091966653,0.009894663194334283,0.03345651081001715,0.006789327401026365,-0.04909857441148364,-0.09678326723604182,-0.03977959056929349,-0.0645960368376071,-0.04050450064791061,-0.012974184912666536,-0.024754179538111928,0.020600073769680358,0.02929529497501164,0.03128806211120265,0.002455658779569914,0.023872755164535946,0.006100128544718332,0.0405596031161187,0.04868344851199675,0.018811403436637744,-0.019882127032739286,0.006277330021733435,-0.025210848819114586,0.004357911416794981,-0.06128305663637894,8.319984758829962
88,8.568156661,0.5038305164915443,-0.46965222382612715,0.14331192496955933,0.12757148731840703,0.03755321933458741,0.005510388326124599,0.04593440290032115,-0.010633242577166614,-0.05506808436561899,-0.0424520637078281,-0.07254026798250496,-0.07158659572270074,-0.12335712136600904,-0.057632148816706974,0.007067874363578238,0.038076489903260985,0.0022459378921611344,0.0625021342758416,0.03493046922333201,0.05304070258750017,0.07740859321746178,0.0343874351021505,0.0037968965143429594,-0.025075625341889327,-0.045126225506729026,-0.06465356803615072,-0.030058288096792948,1.6485060182822063e-05,-0.02123335748636824,0.010655017143132378,-0.006881262974163863,0.06178266828872125,8.208488038866477
87,8.82015,0.6044517718955049,-0.3945672261989236,0.16613294708886572,0.1993167297588047,0.03124889290524958,-0.01662165333987234,-0.036645185147219664,-0.08480095043751978,-0.08577484004389527,-0.08312958553115522,-0.08353170952546313,-0.009576709408834816,0.011098114783579898,0.007136106755642594,0.06673658185072355,0.046928085676945216,0.012746675137663872,0.0016626340232459187,-0.0381108948973073,-0.06947669141120226,-0.09946864557775088,-0.03684309388172042,-0.02810496178731122,0.02720504635640587,0.02792017718327583,0.05489170900461834,0.031661829604208123,0.019852285298490552,0.034241829824106174,0.004493821094050634,0.00920877097030272,-0.062211784795773696,8.376688714896924
86,9.072158457,0.7023150525014503,-0.31228916399723766,0.1821524668345615,0.24853287484088274,0.019879609144938786,-0.03401509886725141,-0.10312469577913093,-0.11424899540761609,-0.06312397019288572,-0.054817697829462574,-0.015830268137606844,0.06373713540187831,0.13106598848803316,0.061674118275648525,0.013143670172236435,-0.030159621794841652,-0.0035371548945206527,-0.06311639792727003,-0.015825284598019955,-0.000408095090210038,0.01020222633413951,0.002455658779569914,0.027530268964036677,-0.011057823564754037,0.002756903057064117,-0.023283069943837813,-0.02310757746969136,-0.03595366791165496,-0.044109590605931115,-0.01939255505098365,-0.011274193574828572,0.0625699165278173,8.430536020060126
85,10.83618856,0.7969738306059114,-0.22431798799037542,0.19071464318604425,0.26965694084455644,0.005288151326147367,-0.041711325179956356,-0.12429632820447716,-0.08344799206140292,-0.0012058144833406296,0.018987507090300736,0.06678442528822381,0.06181825647283851,0.0799416977588054,0.027796793075236186,-0.06275594832585364,-0.052016078176645095,-0.012388367226741357,0.021655852494986277,0.04604419021372457,0.06978584701818807,0.09048264395690625,0.0343874351021505,-0.0025816229526848078,-0.012518164460994774,-0.0321038223593238,-0.01759217998937569,0.0071399191474638204,0.04523208753290799,0.0499315541376012,0.03321199347706965,0.013018748014893756,-0.0628566548500491,9.205731859846845
84,10.33218678,0.8879961999153481,-0.1322574359134914,0.19146893963747122,0.2603012398914614,-0.010160433204552777,-0.03751624799878797,-0.09085831686541151,-0.008640806536792086,0.06146243761375765,0.07703494184746607,0.0864833829932874,-0.013068379509763457,-0.07553764538210093,-0.04592970854161768,-0.032149657732588585,0.021384398503684895,0.004792075901127049,0.05511559748509237,-0.007256901147724563,-0.05245871563966879,-0.08989828076632599,-0.03684309388172042,-0.02465266571185744,0.027684314474952624,0.045961168912182625,0.051465780795022474,0.011118378289010506,-0.04592676932684785,-0.051173721265568094,-0.04518301347473907,-0.01439278355696508,0.06307167258884182,8.888841809787296
83,10.58417953,0.9749668462355053,-0.03778579590579794,0.18438447520349496,0.22152326222781352,-0.023962170251686055,-0.02262582395485964,-0.017501666024045168,0.070723096258458,0.08589698704660505,0.07115092407911483,0.02470876890132003,-0.07252963154335118,-0.1324109398162713,-0.053811885833834956,0.0530192458898962,0.05562367179759533,0.01190293790393314,-0.04201842639189034,-0.042406268915667816,-0.030045339317076373,-0.011301289787754,0.002455658779569914,0.030060690317480498,-0.024251843187259203,-0.0376429981218241,-0.06485611349969318,-0.025809661636138126,0.037905882844830124,0.04772215857350381,0.054639366148516486,0.01535719458702572,-0.06321472440505498,9.10671004488329
