,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25,harmonic_26,all_26_harmonics
92,0.839833698,-0.18603389114157734,0.083295756272187,-0.23928390176758568,0.012848039586437454,-0.11252715688115347,-0.002142474007796018,-0.04207348556413695,0.06779315615768255,-0.06204594677089144,-0.004674831755640482,-0.048306464695034135,-0.06835878303194425,-0.0035494685278963946,-0.07075874648400134,0.025088605023903622,-0.041850298919941686,-0.01741945948646424,-3.8933554947393555e-05,-0.013174148301026204,-0.02179688933010948,-0.04163922717232928,-0.02239136806568854,-0.06718524497324133,0.007940907279536754,0.0014514119344140187,-0.009605653493559579,1.8274175381238311
91,1.193907727,-0.18798486328799469,0.08003548070335292,-0.2698814553988427,0.03902785271699001,-0.15636221412228019,0.07388545157999217,-0.04995874071206141,0.05440098927588613,-0.09510812147066,-0.027732117834381075,-0.04560507819999777,-0.06931500545959748,0.014399326375629332,-0.06146491013313394,0.04531481006147427,-0.008629046731229408,-0.053785218509993404,-0.03840555506600831,-0.027532693446815207,0.04239174792622631,-0.039380494718239574,0.05258956716730243,-0.045540394472119404,-0.04411903958456895,0.011009523851216809,-0.02204798769932648,1.8865001828112222
90,1.936394446,-0.18907810361946367,0.07531613721725929,-0.28943003053634647,0.06237468427809982,-0.18252339346371377,0.13793769979684026,-0.04687689830754639,0.025499876776668602,-0.09407659135914563,-0.03860528634790389,-0.018853917349067398,-0.02715270848248229,0.021936387180480688,-0.0011612217602798393,0.02285120229074042,0.033730961684838724,-0.026665091951577624,-0.02663796847074397,-0.002420672494841499,0.04026388428490068,0.0297126255879018,0.03126334017229709,0.06564693780871451,-0.0034717219096953886,-0.004048706516180966,0.017751329115183748,2.2897818068108293
89,2.134834379,-0.18930862393109768,0.06922376069007066,-0.29712930621710765,0.08119381783232592,-0.18805365383266087,0.1796324019104731,-0.033504493943960066,-0.010670886650672609,-0.05932113225130618,-0.03251720616376642,0.017839830508977642,0.031900369644125307,0.013611884433630693,0.06010616687713634,-0.021139882852468827,0.040367552931730985,0.031929425221340575,0.019902542316000135,0.026161597885988194,-0.02485170807593396,0.04837912843144273,-0.047315375024103226,0.047757879760311525,0.04447071924289939,-0.010054379592504917,0.015489721666304485,2.492860811451946
88,2.223668339,-0.18867537241158688,0.061869416752336995,-0.29266407319012927,0.09411919670986857,-0.17232790081572416,0.19221149811462798,-0.012777079260031217,-0.04379953259158966,-0.003300641926642377,-0.012142677856270314,0.04512576864007154,0.07110930726465943,-0.004554976046336063,0.07149132724202197,-0.04521567671370861,0.004252118696729255,0.05283574678113392,0.04046248345337029,0.017238889664681466,-0.05108996223891419,-0.015060737795938105,-0.03924554481931621,-0.0640337262972755,-0.0010330880249298155,0.006420669735621648,-0.02347403949962461,2.4054658153678066
87,2.08533492,-0.18718123844237206,0.05338717703326251,-0.27621713862017855,0.1002125843030499,-0.13712364210721606,0.1736361134408561,0.010755199451348646,-0.06444155690901857,0.05390303979949816,0.013566741044180961,0.04861469564291677,0.06608355104335217,-0.019428265828402073,0.023545691945252436,-0.026695048515792685,-0.03636660279925759,0.011376900592088535,0.008203123777004115,-0.0163973009217353,0.0025955350927292834,-0.0529403565354789,0.040694567938204376,-0.04992087244134227,-0.044366069143299554,0.008539657344657477,-0.006817188195189745,2.3982868684853837
86,2.40168684,-0.18483303941406004,0.04393167499955276,-0.24846184194098192,0.09903166945342279,-0.08642007289477183,0.1269170275370745,0.03192646345543811,-0.06671221307842519,0.09178393080138014,0.03331560659467366,0.026466730730671077,0.01994945386317902,-0.020253541659895825,-0.043940560254414895,0.016974236876135557,-0.038470581224413734,-0.04351077658947751,-0.03476450749839075,-0.026526501496205977,0.05222064770972396,-0.000972543264996818,0.046110805194813524,0.0623474511425234,0.005527297078427777,-0.008435289627559461,0.0259926640764733,2.547451908794498
85,2.40168684,-0.18164148962023374,0.033675286946542364,-0.21053448825969462,0.09066217324916329,-0.025948300891144797,0.05962667432477294,0.04608913128136871,-0.049964169433309884,0.09676274998464443,0.03842724645868076,-0.009638427703301235,-0.038594523512638174,-0.006434070590162202,-0.07496045349437686,0.04465256933627364,0.00016844182963528646,-0.04704010178019138,-0.032350915910512625,0.0013723983282514787,0.0201531951429208,0.05264581640518789,-0.032915576789632986,0.052026904501324654,0.04380616313740551,-0.006549659199290486,-0.0027858564452634405,2.5577469560427586
84,2.134834379,-0.17762115137058807,0.02280498953287823,-0.16398782789230348,0.07571162664166976,0.03745645018436948,-0.017328231233703403,0.05013417020661872,-0.018972054184439813,0.067054724514772,0.026655859524795475,-0.040660774736458904,-0.07313015377857195,0.012037689788760849,-0.04377051624785572,0.03026496741890056,0.03862907335707968,0.00495479700943236,0.012293221438266546,0.027303843024050794,-0.04344136940124467,0.016916621211299988,-0.05166373317806801,-0.06059003641499975,-0.009964788584273068,0.00998044222276975,-0.024963423528946135,2.4253182213542335
83,2.34548169,-0.1727903685464508,0.01151895114672976,-0.11072748658324978,0.05526527055616704,0.09662743717032703,-0.09147450123231977,0.04317360075323622,0.01742872293829928,0.013309382899255965,0.0031732095639879516,-0.05024071894642131,-0.062173989968069616,0.021805346796915783,0.023744660096761596,-0.012634412259640647,0.0361788492947199,0.051101254819604855,0.040889916670301674,0.014092799067749318,-0.03907743367533793,-0.047522523699360004,0.024199794850966072,-0.05407357291947365,-0.042796746618511676,0.004195138798667259,0.012008645991641292,2.4674429632759303
