,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_6,harmonic_92,harmonic_93,all_6_harmonics
92,18.24950352,0.16618484941629413,-1.3463117309558013,0.012010822910367118,0.012712708944735963,0.16618484941629408,0.0,13.247804995998541
91,18.14431691,0.38012064363573084,-1.277726342795157,0.08907146907052133,0.041593418416924724,0.38012064363573095,0.0,13.952911662357613
90,17.25472818,0.5923220345427823,-1.1858476664899749,0.16248551882147513,0.06373248458770753,0.5923220345427819,0.0,14.731585803351608
89,17.6403,0.8018207958612807,-1.072350674536191,0.22924739234063995,0.07554151071475484,0.8018207958612806,0.0,15.559267543190863
88,17.13631332,1.0076610327939952,-0.9393044470244091,0.2866238506819541,0.0751064381581271,1.0076610327939952,0.0,16.409370186589655
87,17.6403,1.2089035435513478,-0.7891344517642674,0.3322658948994765,0.06249778538201049,1.2089035435513473,0.0,17.255685683653155
86,18.14431691,1.4046301047137633,-0.624578327366711,0.36430493434022937,0.0397592180133993,1.404630104713763,0.0,18.074683345102954
85,21.67237713,1.5939476608745293,-0.44863597537024646,0.38142928696508094,0.010576302572639652,1.593947660874529,0.0,18.84745129358971
84,20.66437357,1.7759923994467859,-0.2645148712448681,0.3829378797655439,-0.020320866279026597,1.7759923994467852,0.0,19.561071577224336
83,21.16835906,1.9499336920422348,-0.07557159126848284,0.36876895077511507,-0.04792434018464289,1.9499336920422345,0.0,20.20928476715041
82,22.68041096,2.1149778844379625,0.11474937874371033,0.33950257761144115,-0.06776002727981922,2.114977884437962,0.0,20.792380860301815
81,22.68041096,2.2703719178386264,0.302978437323885,0.29633692903049563,-0.07661287258413671,2.2703719178386255,0.0,21.31634124300668
80,22.176395199999998,2.4154067649110167,0.4856841191012241,0.2410392117569309,-0.07304796818389646,2.4154067649110162,0.0,21.791341392183018
79,22.68041096,2.549420664913155,0.6595356513204484,0.1758733208331326,-0.05764312938701874,2.5494206649131548,0.0,22.229796294381007
78,21.67237713,2.6718021431567793,0.8213636747074173,0.10350715549018807,-0.032895239888976614,2.671802143156779,0.0,22.644182074878326
77,20.16035549,2.781992801026097,0.9682180217244035,0.02690339503990091,-0.0028155459351742055,2.7819928010260964,0.0,23.04489222954883
76,23.20134662,2.879489863822594,1.0974214989022153,-0.050801793564334535,0.027720504026768768,2.879489863822594,0.0,23.438382333314795
75,22.66178883,2.963848474810672,1.2066186927830735,-0.1264271507710888,0.053763493370072635,2.9638484748106713,0.0,23.825823681835956
74,22.70763024,3.0346837249968943,1.2938189097290298,-0.19687656557071523,0.07109226039807269,3.0346837249968934,0.0,24.20242779893324
73,23.20134662,3.091672409381443,1.357432466791898,-0.2592658306438623,0.0768980827070243,3.091672409381442,0.0,24.557526743624454
72,24.82004779,3.134554501668407,1.396299672052576,-0.3110407221480081,0.0702399272064044,3.134554501668406,0.0,24.875407401381935
71,24.82004779,3.1631343407061205,1.4097119661105197,-0.35008156994168144,0.05219697688089909,3.16313434070612,0.0,25.136811272973677
70,25.20001065,3.177281523244132,1.397424839308452,-0.3747900371291043,0.02569371208892119,3.1772815232441314,0.0,25.320934503159908
69,24.82004779,3.1769314989333206,1.359662289207888,-0.38415455616050215,-0.004974102013628535,3.1769314989333197,0.0,25.407704725530564
68,23.74090205,3.1620858648543346,1.2971127370545226,-0.3777917425264451,-0.0348356918913609,3.1620858648543337,0.0,25.3800783421994
67,24.28049004,3.132812358230479,1.2109164776773975,-0.35596209056471056,-0.059050960359894725,3.132812358230478,0.0,25.226097862702314
66,24.88338347,3.089244547358303,1.102644891613492,-0.31955930879148703,-0.07369499072144278,3.0892445473583026,0.0,24.940474376590345
65,24.01302728,3.0315812221660976,0.9742717984261835,-0.27007373136971546,-0.0763942144416058,3.031581222166097,0.0,24.525512281753393
64,24.28049004,2.9600854871810465,0.828137473454146,-0.2095313036533518,-0.06671112952596658,2.960085487181046,0.0,23.99126618121277
63,23.89787387,2.8750835610436147,0.666905983974834,-0.140410639746537,-0.04621521275818621,2.8750835610436147,0.0,23.35490519478691
62,23.89787387,2.7769632880467134,0.4935166225555416,-0.06554154775094928,-0.018228532033685747,2.776963288046713,0.0,22.639348188915292
61,23.35475121,2.6661723684911465,0.3111303229748603,0.012010822910367118,0.01271270894473596,2.6661723684911456,0.0,21.871314655581287
60,22.81162854,2.5432163159318266,0.1230720355664081,0.08907146907052133,0.041593418416924724,2.5432163159318266,0.0,21.079001009099215
59,21.09548214,2.4086561506353634,-0.06722988750248787,0.16248551882147513,0.06373248458770753,2.408656150635363,0.0,20.2896335838124
58,20.09595244,2.263105839773266,-0.2563061919947998,0.22924739234063995,0.07554151071475484,2.263105839773266,0.0,19.527162928297415
57,17.92339784,2.1072294960305595,-0.4407099670233269,0.28662385068195406,0.0751064381581271,2.1072294960305595,0.0,18.810347608341633
56,17.22494861,1.9417383474119205,-0.6170794831450627,0.3322658948994765,0.0624977853820105,1.94173834741192,0.0,18.151431510357476
55,17.72725981,1.7673874920714223,-0.7821994775753721,0.36430493434022937,0.0397592180133993,1.767387492071422,0.0,17.555551580161726
54,16.37032053,1.5849724529728488,-0.933059769276369,0.38142928696508094,0.01057630257263966,1.5849724529728488,0.0,17.020930617532944
53,15.34207749,1.3953255481008655,-1.0669101353509713,0.382937879765544,-0.02032086627902659,1.3953255481008653,0.0,16.53982147365493
52,16.2249608,1.1993120927849625,-1.1813104483315033,0.36876895077511507,-0.04792434018464289,1.199312092784962,0.0,16.10008473510431
51,16.82587413,0.9978264514640739,-1.2741751603468519,0.3395025776114411,-0.06776002727981924,0.9978264514640739,0.0,15.687211236142332
50,15.62401725,0.7917879569067703,-1.3438113232100832,0.29633692903049563,-0.07661287258413671,0.7917879569067702,0.0,15.286551500582227
49,16.2249608,0.5821367155066988,-1.388949451310292,0.24103921175693094,-0.07304796818389646,0.5821367155066985,0.0,14.88549202176728
48,15.32357628,0.36982931779272993,-1.40876666467003,0.17587332083313265,-0.057643129387018724,0.36982931779273026,0.0,14.475325630479778
47,14.422190599999999,0.15583447372577724,-1.4029016902642775,0.10350715549018809,-0.032895239888976614,0.15583447372577724,0.0,14.05259922148411
46,14.06002785,-0.05887140730256923,-1.371461448122948,0.02690339503990091,-0.0028155459351742076,-0.05887140730256934,0.0,13.619782711798821
45,13.03897854,-0.2733086716021482,-1.315019102150552,-0.05080179356433452,0.027720504026768775,-0.2733086716021479,0.0,13.185181409636943
44,13.97949902,-0.4864988911193222,-1.2346036111970826,-0.1264271507710888,0.05376349337007264,-0.4864988911193222,0.0,12.762101102180901
43,11.4377728,-0.6974693277797734,-1.1316809708668618,-0.19687656557071523,0.0710922603980727,-0.6974693277797734,0.0,12.367361245140373
42,11.9783049,-0.9052573718692289,-1.0081274880321136,-0.2592658306438623,0.0768980827070243,-0.9052573718692285,0.0,12.019326898839825
41,10.50029861,-1.108914934200804,-0.8661955752639332,-0.31104072214800815,0.07023992720640442,-1.108914934200804,0.0,11.735685968706203
40,10.65449733,-1.3075127720285071,-0.7084726887571908,-0.3500815699416814,0.05219697688089909,-1.3075127720285071,0.0,11.53122852495875
39,11.35764045,-1.5001447289687588,-0.5378341583218309,-0.3747900371291043,0.025693712088921187,-1.5001447289687582,0.0,11.415886055672845
38,11.35255008,-1.6859318695841325,-0.3573907693622585,-0.38415455616050204,-0.004974102013628529,-1.6859318695841323,0.0,11.393260303429534
37,9.648383162,-1.8640264897641663,-0.17043205243915546,-0.3777917425264451,-0.034835691891360904,-1.864026489764166,0.0,11.45981701521466
36,10.93485231,-2.033615984604786,0.019633685740037057,-0.35596209056471056,-0.059050960359894725,-2.033615984604785,0.0,11.604845619793402
35,11.57807236,-2.1939265561381034,0.20934149665110957,-0.31955930879148703,-0.07369499072144278,-2.193926556138103,0.0,11.811199921493348
34,11.57807236,-2.3442267439950677,0.39523295687832916,-0.27007373136971546,-0.0763942144416058,-2.3442267439950673,0.0,12.0567470650549
33,11.83029418,-2.4838307628913605,0.5739192160852383,-0.20953130365335176,-0.06671112952596658,-2.48383076289136,0.0,12.316372203361233
32,12.84930175,-2.612101631708356,0.7421427766498736,-0.14041063974653695,-0.046215212758186214,-2.612101631708355,0.0,12.564323507203872
