X,Y,Z,Label
42.4,5.92,495.367,CL
42.6,5.912,495.356,CL
42.8,5.903,495.343,CL
43.0,5.894,495.327,CL
43.2,5.885,495.306,CL
43.4,5.875,495.28,CL
43.6,5.865,495.248,CL
43.8,5.854,495.212,CL
44.0,5.843,495.171,CL
44.2,5.832,495.126,CL
44.4,5.82,495.08,CL
44.6,5.808,495.032,CL
44.8,5.796,494.986,CL
45.0,5.783,494.942,CL
45.2,5.769,494.903,CL
45.4,5.756,494.869,CL
45.6,5.742,494.843,CL
45.8,5.727,494.825,CL
46.0,5.712,494.815,CL
46.2,5.697,494.813,CL
46.4,5.682,494.819,CL
46.6,5.666,494.832,CL
46.8,5.649,494.851,CL
47.0,5.633,494.873,CL
47.2,5.615,494.897,CL
47.4,5.598,494.922,CL
47.6,5.58,494.945,CL
47.8,5.562,494.966,CL
48.0,5.543,494.982,CL
48.2,5.524,494.993,CL
48.4,5.505,494.999,CL
48.6,5.485,494.998,CL
48.8,5.465,494.992,CL
49.0,5.445,494.98,CL
49.2,5.424,494.964,CL
49.4,5.403,494.944,CL
49.6,5.381,494.923,CL
49.8,5.359,494.9,CL
50.0,5.337,494.877,CL
50.2,5.314,494.854,CL
50.4,5.292,494.833,CL
50.6,5.268,494.813,CL
50.8,5.245,494.795,CL
51.0,5.221,494.776,CL
51.2,5.196,494.765,CL
51.4,5.171,494.735,CL
51.6,5.146,494.71,CL
51.8,5.121,494.679,CL
52.0,5.095,494.642,CL
52.2,5.069,494.597,CL
52.4,5.043,494.543,CL
52.6,5.016,494.481,CL
52.8,4.989,494.41,CL
53.0,4.961,494.342,CL
53.2,4.934,494.247,CL
53.4,4.906,494.16,CL
53.6,4.877,494.073,CL
53.8,4.848,493.989,CL
54.0,4.819,493.91,CL
54.2,4.79,493.841,CL
54.4,4.76,493.784,CL
54.6,4.73,493.741,CL
54.8,4.7,493.714,CL
55.0,4.669,493.702,CL
55.2,4.638,493.706,CL
55.4,4.607,493.725,CL
55.6,4.575,493.755,CL
55.8,4.543,493.793,CL
56.0,4.511,493.837,CL
56.2,4.479,493.882,CL
56.4,4.446,493.924,CL
56.6,4.413,493.961,CL
56.8,4.379,493.987,CL
57.0,4.345,494.002,CL
57.2,4.311,494.004,CL
57.4,4.277,493.992,CL
57.6,4.243,493.966,CL
57.8,4.208,493.929,CL
58.0,4.173,493.881,CL
58.2,4.137,493.825,CL
58.4,4.102,493.765,CL
58.6,4.066,493.703,CL
58.8,4.029,493.642,CL
59.0,3.993,493.585,CL
59.2,3.956,493.534,CL
59.4,3.919,493.49,CL
59.6,3.882,493.454,CL
59.8,3.844,493.427,CL
60.0,3.806,493.408,CL
60.2,3.768,493.398,CL
60.4,3.73,493.393,CL
60.6,3.691,493.395,CL
60.8,3.653,493.401,CL
61.0,3.614,493.41,CL
61.2,3.574,493.421,CL
61.4,3.535,493.433,CL
61.6,3.495,493.446,CL
61.8,3.455,493.457,CL
62.0,3.415,493.467,CL
62.2,3.374,493.474,CL
62.4,3.333,493.479,CL
62.6,3.292,493.479,CL
62.8,3.251,493.474,CL
63.0,3.21,493.464,CL
