X,S,C
0.0,0.49085194879460337,-0.0
0.2,0.4907205358586808,-0.0
0.4,0.4904577451692561,-0.0
0.6000000000000001,0.49006364708175143,-0.0
0.8,0.48953834710575483,-0.0
1.0,0.48888198587677145,-0.0
1.2000000000000002,0.4880947391185737,-0.0
1.4000000000000001,0.4871768175961555,-0.0
1.6,0.4861284670593049,-0.0
1.8,0.48494996817680924,-0.0
2.0,0.48364163646131875,-0.0
2.2,0.4822038221848679,-0.0
2.4000000000000004,0.48063691028510647,-0.0
2.6,0.47894132026224057,-0.0
2.8000000000000003,0.4771175060667199,-0.0
3.0,0.4751659559777073,-0.0
3.2,0.473087192472347,-0.0
3.4000000000000004,0.4708817720859013,-0.0
3.6,0.468550285262733,-0.0
3.8000000000000003,0.4660933561982432,-0.0
4.0,0.4635116426717545,-0.0
4.2,0.4608058358704046,-0.0
4.4,0.457976660204098,-0.0
4.6000000000000005,0.45502487311158824,-0.0
4.800000000000001,0.45195126485763915,-0.0
5.0,0.44875665832151057,-0.0
5.2,0.4454419087766208,-0.0
5.4,0.4420079036615743,-0.0
5.6000000000000005,0.43845556234258254,-0.0
5.800000000000001,0.43478583586730934,-0.0
6.0,0.43099970671027243,-0.0
6.2,0.4270981885097953,-0.0
6.4,0.4230823257966563,-0.0
6.6000000000000005,0.4189531937143869,-0.0
6.800000000000001,0.41471189773151096,-0.0
7.0,0.410359573345513,-0.0
7.2,0.4058973857788821,-0.0
7.4,0.40132652966712,-0.0
7.6000000000000005,0.396648228738929,-0.0
7.800000000000001,0.39186373548862363,-0.0
8.0,0.386974330840701,-0.0
8.200000000000001,0.3819813238070431,-0.0
8.4,0.3768860511363563,-0.0
8.6,0.3716898769563457,-0.0
8.8,0.3663941924084888,-0.0
9.0,0.3610004152755799,-0.0
9.200000000000001,0.3555099896022149,-0.0
9.4,0.34992438530807846,-0.0
9.600000000000001,0.34424509779451284,-0.0
9.8,0.3384736475441308,-0.0
10.0,0.3326115797136957,-0.0
10.200000000000001,0.3266604637205539,-0.0
10.4,0.3206218928223201,-0.0
10.600000000000001,0.3144974836904666,-0.0
10.8,0.3082888759774072,-0.0
11.0,0.30199773187754175,-0.0
11.200000000000001,0.29562573568228956,-0.0
11.4,0.2891745933291112,-0.0
11.600000000000001,0.28264603194479676,-0.0
11.8,0.27604179938310125,-0.0
12.0,0.2693636637567849,-0.0
12.200000000000001,0.26261341296422813,-0.0
12.4,0.25579285421079234,-0.0
12.600000000000001,0.24890381352500057,-0.0
12.8,0.24194813526960246,-0.0
13.0,0.23492768164788913,-0.0
13.200000000000001,0.2278443322050272,-0.0
13.4,0.2206999833249732,-0.0
13.600000000000001,0.21349654772264515,-0.0
13.8,0.20623595393197647,-0.0
14.0,0.19892014578946515,-0.0
14.200000000000001,0.19155108191386105,-0.0
14.4,0.18413073518176049,-0.0
14.600000000000001,0.17666109219941006,-0.0
14.8,0.16914415277085482,-0.0
15.0,0.16158192936254423,-0.0
15.200000000000001,0.1539764465645561,-0.0
15.4,0.1463297405485413,-0.0
15.600000000000001,0.1386438585225882,-0.0
15.8,0.13092085818319532,-0.0
16.0,0.12316280716426675,-0.0
16.2,0.11537178248369173,-0.0
16.400000000000002,0.107549869987146,-0.0
16.6,0.09969916378975796,-0.0
16.8,0.09182176571540879,-0.0
17.0,0.08391978473404649,-0.0
17.2,0.07599533639705669,-0.0
17.400000000000002,0.06805054227088547,-0.0
17.6,0.06008752936902084,-0.0
17.8,0.052108429582574445,-0.0
18.0,0.044115379109506137,-0.0
18.2,0.036110517882690374,-0.0
18.400000000000002,0.028095988997066,-0.0
18.6,0.020073938135798386,-0.0
18.8,0.012046512995883774,-0.0
19.0,0.004015862713149687,-0.0
19.200000000000003,-0.004015862713149687,-0.0
19.400000000000002,-0.012046512995883774,-0.0
19.6,-0.020073938135798386,-0.0
19.8,-0.028095988997066,-0.0
20.0,-0.036110517882690374,-0.0
20.200000000000003,-0.044115379109506137,-0.0
20.400000000000002,-0.052108429582574445,-0.0
20.6,-0.06008752936902084,-0.0
20.8,-0.06805054227088192,-0.0
21.0,-0.07599533639706024,-0.0
21.200000000000003,-0.08391978473404293,-0.0
21.400000000000002,-0.09182176571541234,-0.0
21.6,-0.09969916378975796,-0.0
21.8,-0.107549869987146,-0.0
22.0,-0.11537178248369173,-0.0
22.200000000000003,-0.12316280716426675,-0.0
22.400000000000002,-0.13092085818319177,-0.0
22.6,-0.13864385852259176,-0.0
22.8,-0.14632974054854486,-0.0
23.0,-0.15397644656455256,-0.0
23.200000000000003,-0.16158192936254423,-0.0
23.400000000000002,-0.16914415277085482,-0.0
23.6,-0.1766610921994065,-0.0
23.8,-0.18413073518176049,-0.0
24.0,-0.1915510819138646,-0.0
24.200000000000003,-0.1989201457894616,-0.0
24.400000000000002,-0.20623595393197647,-0.0
24.6,-0.2134965477226487,-0.0
24.8,-0.22069998332496965,-0.0
25.0,-0.22784433220503075,-0.0
25.200000000000003,-0.23492768164788913,-0.0
25.400000000000002,-0.24194813526960246,-0.0
25.6,-0.24890381352500057,-0.0
25.8,-0.25579285421079234,-0.0
26.0,-0.26261341296422813,-0.0
26.200000000000003,-0.2693636637567849,-0.0
26.400000000000002,-0.2760417993830977,-0.0
26.6,-0.2826460319448003,-0.0
26.8,-0.28917459332910767,-0.0
27.0,-0.2956257356822931,-0.0
27.200000000000003,-0.30199773187754886,-0.0
27.400000000000002,-0.30828887597739296,-0.0
27.6,-0.31449748369047015,-0.0
27.8,-0.3206218928223237,-0.0
28.0,-0.3266604637205397,-0.0
28.200000000000003,-0.332611579713717,-0.0
28.400000000000002,-0.3384736475441166,-0.0
28.6,-0.34424509779451995,-0.0
28.8,-0.34992438530807846,-0.0
29.0,-0.3555099896022007,-0.0
29.200000000000003,-0.3610004152756048,-0.0
29.400000000000002,-0.3663941924084746,-0.0
29.6,-0.37168987695634925,-0.0
29.8,-0.3768860511363563,-0.0
30.0,-0.3819813238070324,-0.0
30.200000000000003,-0.38697433084070454,-0.0
30.400000000000002,-0.39186373548862363,-0.0
30.6,-0.3966482287389361,-0.0
30.8,-0.40132652966712,-0.0
31.0,-0.40589738577887147,-0.0
31.200000000000003,-0.41035957334551654,-0.0
31.400000000000002,-0.4147118977315145,-0.0
31.6,-0.41895319371439044,-0.0
31.8,-0.4230823257966563,-0.0
32.0,-0.4270981885097882,-0.0
32.2,-0.430999706710276,-0.0
32.4,-0.43478583586730757,-0.0
32.6,-0.43845556234257543,-0.0
32.800000000000004,-0.44200790366157783,-0.0
33.0,-0.44544190877663503,-0.0
33.2,-0.44875665832151057,-0.0
33.4,-0.4519512648576285,-0.0
33.6,-0.45502487311159,-0.0
33.800000000000004,-0.4579766602041051,-0.0
34.0,-0.46080583587039214,-0.0
34.2,-0.46351164267175804,-0.0
34.4,-0.466093356198245,-0.0
34.6,-0.46855028526272413,-0.0
34.800000000000004,-0.4708817720859031,-0.0
35.0,-0.47308719247234876,-0.0
35.2,-0.4751659559777224,-0.0
35.4,-0.4771175060667101,-0.0
35.6,-0.478941320262245,-0.0
35.800000000000004,-0.48063691028510913,-0.0
36.0,-0.48220382218485813,-0.0
36.2,-0.48364163646131964,-0.0
36.4,-0.4849499681768128,-0.0
36.6,-0.4861284670592947,-0.0
36.800000000000004,-0.4871768175961577,-0.0
37.0,-0.4880947391185768,-0.0
37.2,-0.48888198587678744,-0.0
37.4,-0.48953834710574395,-0.0
37.6,-0.4900636470817543,-0.0
37.800000000000004,-0.4904577451692589,-0.0
38.0,-0.4907205358586702,-0.0
38.2,-0.4908519487946062,0.0
38.400000000000006,-0.4908519487946062,0.0
38.6,-0.4907205358586702,0.0
38.800000000000004,-0.4904577451692591,0.0
39.0,-0.4900636470817543,0.0
39.2,-0.48953834710574395,0.0
39.400000000000006,-0.48888198587678744,0.0
39.6,-0.48809473911857637,0.0
39.800000000000004,-0.4871768175961586,0.0
40.0,-0.48612846705929424,0.0
40.2,-0.4849499681768128,0.0
40.400000000000006,-0.4836416364613205,0.0
40.6,-0.48220382218485636,0.0
40.800000000000004,-0.4806369102851109,0.0
41.0,-0.47894132026224323,0.0
41.2,-0.4771175060667101,0.0
41.400000000000006,-0.47516595597772326,0.0
41.6,-0.47308719247235054,0.0
41.800000000000004,-0.4708817720859013,0.0
